Years,Cash and Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,Notes Receivable,Loans Receivable,Other Current Receivables,Total Receivables,"Inventories, Raw Materials & Components","Inventories, Work In Process","Inventories, Inventories Adjustments","Inventories, Finished Goods","Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"Machinery, Furniture, Equipment",Construction In Progress,Other Gross PPE,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Long-Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Current Payables,Current Accrued Expense,Accounts Payable & Accrued Expense,Short-Term Debt,Short-Term Capital Lease Obligation,Short-Term Debt & Capital Lease Obligation,Current Deferred Revenue,Current Deferred Taxes Liabilities,Deferred Tax And Revenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Long-Term Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,Debt-to-Equity,Pension And Retirement Benefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,Equity-to-Asset
1994,1203,55,1258,1581,0,0,0,1581,469,207,0,412,0,1088,549,4476,0,484,0,731,0,237,1452,-785,667,0,0,160,827,5303,882,0,0,178,1060,292,0,292,0,0,0,592,1944,305,0,305,0.251,0,671,0,976,2920,298,0,2096,0,0,0,-11,2383,0,2383,0.449
1995,756,196,952,1931,0,0,0,1931,841,291,0,643,0,1775,566,5224,0,504,0,783,0,205,1492,-781,711,0,0,296,1007,6231,1165,0,0,291,1456,461,0,461,0,0,0,408,2325,303,0,303,0.263,0,702,0,1005,3330,398,0,2464,0,0,0,39,2901,0,2901,0.466
1996,1552,193,1745,1496,0,0,0,1496,213,43,0,406,0,662,612,4515,0,480,0,680,0,188,1348,-750,598,0,0,251,849,5364,791,0,0,555,1346,186,0,186,0,0,0,471,2003,949,0,949,0.552,0,354,0,1303,3306,439,0,1634,0,0,0,-15,2058,0,2058,0.384
1997,1230,229,1459,1035,0,0,0,1035,141,15,0,281,0,437,493,3424,0,453,0,570,0,172,1195,-709,486,0,0,323,809,4233,685,0,0,586,1271,25,0,25,0,0,0,522,1818,951,0,951,0.813,0,264,0,1215,3033,498,150,589,0,0,0,-37,1200,0,1200,0.283
1998,1481,819,2300,955,0,0,0,955,32,5,0,41,0,78,365,3698,0,338,0,357,0,129,824,-476,348,0,0,243,591,4289,719,0,0,337,1056,0,0,0,0,0,0,464,1520,954,0,954,0.581,0,173,0,1127,2647,633,150,898,-39,0,0,0,1642,0,1642,0.383
1999,1326,1900,3226,681,0,0,0,681,4,3,0,13,0,20,358,4285,339,323,0,281,0,125,729,-411,318,0,0,219,876,5161,812,0,0,275,1087,0,0,0,0,0,0,462,1549,300,0,300,0.097,0,208,0,508,2057,1349,150,1499,106,0,0,0,3104,0,3104,0.601
2000,1191,2836,4027,953,0,0,0,953,1,2,0,30,0,33,414,5427,786,324,0,351,0,131,806,-387,419,0,0,171,1376,6803,1157,0,0,257,1414,0,0,0,105,0,105,414,1933,300,0,300,0.073,0,463,0,763,2696,1502,76,2285,244,0,0,0,4107,0,4107,0.604
2001,2310,2026,4336,466,0,0,0,466,1,0,0,10,0,11,330,5143,128,337,0,437,0,186,960,-396,564,76,66,110,878,6021,801,0,0,218,1019,0,0,0,184,0,184,315,1518,317,0,317,0.081,0,266,0,583,2101,1693,0,2260,-22,0,0,-11,3920,0,3920,0.651
2002,2252,2085,4337,565,0,0,142,707,9,0,0,36,0,45,299,5388,39,342,0,434,0,281,1057,-436,621,119,85,131,910,6298,911,0,0,205,1116,0,0,0,240,0,240,302,1658,316,0,316,0.077,0,229,0,545,2203,1826,0,2325,-49,0,0,-7,4095,0,4095,0.65
2003,3396,1170,4566,766,0,0,184,950,2,4,0,50,0,56,315,5887,0,350,0,467,0,357,1174,-505,669,109,85,150,928,6815,1154,0,0,191,1345,304,0,304,368,0,368,340,2357,0,0,0,0.072,0,235,0,235,2592,1926,0,2394,-35,0,0,-62,4223,0,4223,0.62
