enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
2,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0
2,2011,9.644,1.131,10.775,3373.104,0,0,0,3373.104,172.463,223.93,0,439.877,0,836.27,3998.34,8218.493,137.36,109.478,1338.983,4382.678,270.787,0,6101.926,-3744.363,2357.563,9888.36,6197.18,532.929,12916.212,21134.705,356.784,0,0,1556.106,1912.89,0,0,0,0,0,0,1848.358,3761.248,0,0,0,0,0,0,1670.458,1670.458,5431.706,0,0,0,288.289,0,0,15414.71,15702.999,0,15702.999,0.743
2,2012,27,626,653,3817,0,0,0,3817,236,207,0,429,0,872,2012,7354,229,106,1305,4331,206,0,5948,-3804,2144,9010,6100,784,12167,19521,417,0,0,5464,5881,16,0,16,0,0,0,0,5897,32,0,32,0.004,397,646,617,1692,7589,11957,0,0,-25,0,0,0,11932,0,11932,0.611
2,2013,5901,2075,7976,4298,0,0,0,4298,258,286,0,547,0,1091,1989,15354,119,48,1324,4865,305,0,6542,-4295,2247,8453,6130,835,11654,27008,556,0,923,4255,5734,1042,0,1042,0,0,0,0,6776,14630,0,14630,4.66,979,360,900,16869,23645,3713,0,0,-350,0,0,0,3363,0,3363,0.125
2,2014,9595,300,9895,3854,0,0,949,4803,261,404,0,485,0,1150,2000,17848,118,50,1263,5214,382,0,6909,-4611,2298,8167,6277,767,11350,29198,933,0,1519,3996,6448,431,0,431,0,0,0,0,6879,14292,0,14292,3.278,1628,570,1337,17827,24706,16,0,1567,-442,3671,-320,0,4492,0,4492,0.154
2,2015,8348,26,8374,3735,0,0,0,3735,154,629,0,341,0,1124,2848,16081,92,48,1228,5324,505,0,7105,-4620,2485,7375,5862,1480,11432,27513,1401,0,791,4762,6954,4439,0,4439,0,0,0,0,11393,10538,0,10538,8.598,2220,159,1461,14378,25771,16,0,535,-2031,4194,-972,0,1742,0,1742,0.063
2,2016,8399,8,8407,4730,0,0,0,4730,169,1081,0,469,0,1719,1458,16314,145,46,1284,5656,348,0,7334,-4769,2565,32877,13168,1149,36736,53050,1597,0,924,5942,8463,2431,0,2431,0,0,0,0,10894,29240,0,29240,8.028,1949,5276,1746,38211,49105,17,0,2248,-2561,13080,-8839,0,3945,0,3945,0.074
2,2017,5100,1323,6423,4758,0,0,0,4758,141,1080,0,223,0,1444,3562,16187,1783,46,1344,5726,410,0,7526,-4922,2604,44313,15416,1212,49912,66099,1407,0,1028,6944,9379,402,0,402,0,0,0,0,9781,36440,0,36440,7.947,2085,6890,6267,51682,61463,18,0,4378,-2586,13678,-10852,0,4636,0,4636,0.07
2,2018,9303,486,9789,5088,0,0,0,5088,173,822,0,610,0,1605,4741,21223,2090,48,1428,5991,604,0,8071,-5268,2803,43344,15785,1326,49563,70786,1474,0,1143,7609,10226,6415,0,6415,0,0,0,0,16641,30953,0,30953,7.331,2740,2490,12865,49048,65689,18,0,5459,-2727,14270,-11923,0,5097,0,5097,0.072
2,2019,7289,772,8061,5384,0,0,0,5384,270,862,0,473,0,1605,1895,16945,1420,73,1603,6362,358,0,8396,-5513,2883,36896,15663,1208,42407,59352,1546,0,1607,8778,11931,5308,0,5308,0,0,0,0,17239,35002,0,35002,-4.773,1840,1067,12650,50559,67798,18,0,3368,-2480,14756,-24108,0,-8446,0,-8446,-0.142
2,2020,39924,0,39924,5428,0,0,0,5428,386,942,0,485,0,1813,2354,49519,93,72,1613,6012,491,0,8188,-5226,2962,34253,15604,2288,39596,89115,1452,0,1771,8609,11832,3753,0,3753,0,0,0,0,15585,62975,0,62975,-8.165,2949,1130,14648,81702,97287,18,0,4717,-3596,15193,-24504,0,-8172,0,-8172,-0.092
