enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
5,1994,94.7,0,94.7,49.8,0,0,0,49.8,0,0,0,0,4.1,4.1,155.7,304.3,0,0,0,0,0,62.5,62.5,-39.2,23.3,11.8,0,13.5,48.6,352.9,9.8,0,0,0,9.8,0,0,0,0,0,0,63.9,73.7,0,0,0,0,0,0,6.9,6.9,80.6,0,0,222.7,0,0,0,49.6,272.3,0,272.3,0.772
5,1995,204.12,240.648,444.768,111.29,0,0,0,111.29,0,0,0,0,10.113,10.113,32.35,598.522,0,0.782,8.761,127.12,0,0,136.663,-90.095,46.568,0,0,64.91,111.478,710,34.354,0,0,88.954,123.308,0,0,0,15.707,0,15.707,56.67,195.685,0,0,0,0,0,0,0,0,195.685,204,0,315.611,-5.329,0,0,0.033,514.315,0,514.315,0.724
5,1996,58.493,457.547,516.04,133.208,0,0,0,133.208,0,0,0,0,7.277,7.277,36.26,692.787,0,0.782,13.405,141.756,0,0,155.943,-104.235,51.708,0,0,140.237,191.945,884.732,25.639,0,0,94.848,120.487,0,0,0,18.257,0,18.257,47.571,186.315,0,0,0,0,0,0,0,0,186.315,293,0,390.793,14.366,0,0,0.258,698.417,0,698.417,0.789
5,1997,110.745,453.371,564.116,115.823,0,0,0,115.823,0,0,0,0,0,0,45.88,725.814,0,0.782,17.651,139.17,0,0,157.603,-77.372,80.231,0,0,195.348,275.579,1001.393,43.056,0,0,83.065,126.121,0,0,0,15.537,0,15.537,78.064,219.722,0,0,0,0,0,3.809,71.348,75.157,294.879,0,0,529.546,28.366,148.595,0,0.007,706.514,0,706.514,0.706
5,1998,267.576,235.38,502.956,130.974,0,0,0,130.974,0,0,0,0,0,0,45.02,678.946,0,0.782,24.393,162.31,0,0,187.485,-106.507,80.978,0,0,180.147,261.125,940.071,57.857,0,0,102.741,160.598,0,0,0,15.706,0,15.706,48.343,224.647,0,0,0,0,0,0,0,0,224.647,0,0,663.861,-1.03,291.274,-238.688,0.007,715.424,0,715.424,0.761
5,1999,110.871,161.676,272.547,141.18,0,0,0,141.18,0,0,0,0,0,0,42.22,455.945,0,7.421,29.306,184.788,0,0,221.515,-127.628,93.887,0,0,217.499,311.386,767.331,48.681,0,0,117.539,166.22,0,0,0,11.333,0,11.333,73.413,250.966,0,0,0,0,0,0,0,0,250.966,307,0,732.73,-1.879,0,-521.345,-0.141,516.365,0,516.365,0.673
5,2000,171.145,327.571,498.716,68.371,0,0,10.395,78.766,0,0,0,0,0,0,45.53,623.015,0,0.846,30.272,183.498,6.592,0,221.208,-152.07,69.138,0,0,111.706,180.844,803.859,35.692,0,0,150.902,186.594,0,0,0,15.676,0,15.676,65.359,267.629,0,0,0,0,0,24.021,0,24.021,291.65,369,0,896.239,40.332,0,-793.419,0.057,512.209,0,512.209,0.637
5,2001,236.866,442.987,679.853,140.514,0,0,19.599,160.113,0,0,0,0,0,0,37.95,877.912,0,0,27.013,165.029,7.915,0,199.957,-135.689,64.268,0,0,127.236,191.504,1069.416,40.28,0,0,181.861,222.141,0,0,0,17.696,0,17.696,74.768,314.605,0,0,0,0,0,2.267,0,2.267,316.872,531,0,1172.504,-0.698,0,-950.063,-0.199,752.544,0,752.544,0.704
5,2002,218.662,362.951,581.613,124.106,0,0,18.299,142.405,0,0,0,0,0,0,43.35,767.364,0,3.382,38.384,165,12.593,0,219.359,-138.366,80.993,0,0,82.266,163.259,930.623,30.891,0,0,128.831,159.722,0,0,0,21.701,0,21.701,132.228,313.651,0,0,0,0,0,0,0,0,313.651,625,0,1366.205,3.918,0,-1378.537,0.386,616.972,0,616.972,0.663
5,2003,183.684,434.053,617.737,116.506,0,0,30.367,146.873,0,0,0,0,0,0,49.56,814.172,0,0,45.658,187.351,2.315,0,235.324,-164.234,71.09,99.772,0,66.576,237.438,1051.61,37.765,0,0,135.028,172.793,0,0,0,31.185,0,31.185,173.311,377.289,0,0,0,0,0,0,0,0,377.289,30,0,1545.776,-3.95,710.273,-1607.354,-0.424,674.321,0,674.321,0.641
