enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
7,1994,60.4,0,60.4,263.6,0,0,0,263.6,0,0,0,0,104.1,104.1,536.1,964.2,0,0,0,0,0,1998.3,1998.3,-1094,904.3,0,0,60.7,965,1929.2,127.2,0,0,0,127.2,52.2,0,52.2,0,0,0,275.2,454.6,79.5,0,79.5,0.097,0,42.8,0,122.3,576.9,0,0,731.6,0,0,0,620.7,1352.3,0,1352.3,0.701
7,1995,121.343,256.511,377.854,337.107,0,0,0,337.107,21.604,72.632,0,34.454,0,128.69,142.97,986.619,0,0,0,0,0,2464.929,2464.929,-1200.718,1264.211,0,0,194.872,1459.083,2445.702,149.122,0,0,82.57,231.692,60.354,0,60.354,83.8,0,83.8,216.321,592.167,75.752,0,75.752,0.078,0,42.518,0,118.27,710.437,1,0.034,1035.602,0,698.673,0,-0.044,1735.265,0,1735.265,0.71
7,1996,126.316,383.349,509.665,284.238,0,0,0,284.238,29.494,68.827,0,57.665,0,155.986,188.05,1137.942,0,28.851,893.646,1843.662,180.742,0,2946.901,-1305.267,1641.634,0,0,298.891,1940.525,3078.467,241.916,0,0,103.404,345.32,68.412,0,68.412,100.057,0,100.057,162.644,676.433,214.965,0,214.965,0.135,0,84.607,0,299.572,976.005,1,0,1192.423,0,908.989,0,0.05,2102.462,0,2102.462,0.683
7,1997,166.194,220.004,386.198,220.028,0,0,0,220.028,22.05,83.853,0,48.107,0,154.01,268.84,1029.077,0,32.244,938.573,1963.808,392.143,0,3326.768,-1539.366,1787.402,0,0,328.804,2116.206,3145.283,224.139,0,0,103.436,327.575,42.363,0,42.363,95.466,0,95.466,118.069,583.473,444.83,0,444.83,0.241,0,95.102,0,539.932,1123.405,1,0,1087.221,-23.949,957.226,0,0.38,2021.878,0,2021.878,0.643
7,1998,240.658,226.374,467.032,329.111,0,0,0,329.111,33.375,96.712,0,38.43,0,168.517,210.61,1175.267,0,29.421,1012.68,2295.498,461.452,0,3799.051,-1808.362,1990.689,0,0,349.315,2340.004,3515.271,359.536,0,0,134.656,494.192,72.965,0,72.965,83.508,0,83.508,76.105,726.77,662.689,0,662.689,0.362,0,96.269,0,758.958,1485.728,1,0,1066.1,-56.9,1018.884,0,0.459,2029.543,0,2029.543,0.577
7,1999,361.9,0,361.9,415.6,0,0,0,415.6,0,0,0,0,175.1,175.1,609.4,1562,0,0,0,0,0,4380.4,4380.4,-2111.9,2268.5,0,0,422.5,2691,4253,334,0,0,0,334,151.6,0,151.6,0,0,0,355.1,840.7,1372.4,0,1372.4,0.76,0,34.8,0.1,1407.3,2248,0,0,962.2,0,0,0,1042.8,2005,0,2005,0.471
7,2000,294.125,302.386,596.511,429.809,0,0,0,429.809,0,0,0,0,198.213,198.213,185.35,1409.878,0,0,0,0,0,4938.302,4938.302,-2415.066,2523.236,0,0,444.584,2967.82,4377.698,387.193,0,0,0,387.193,47.626,0,47.626,0,0,0,475.833,910.652,1427.282,0,1427.282,0.745,0,60.491,0,1487.773,2398.425,3,0,873.235,-17.414,1120.479,0,-0.027,1979.273,0,1979.273,0.452
7,2001,591.457,701.708,1293.165,547.2,0,0,0,547.2,34.413,154.854,0,154.274,0,343.541,473.78,2657.689,0,33.094,1420.313,3563.125,445.269,0,5461.801,-2825.334,2636.467,0,0,473.579,3110.046,5767.735,477.369,0,0,276.721,754.09,129.57,0,129.57,92.828,0,92.828,247.621,1224.109,1167.973,0,1167.973,0.409,0,203.986,0,1371.959,2596.068,3,0,1856.261,-94.025,1406.29,0,0.141,3171.667,0,3171.667,0.55
7,2002,427.288,442.709,869.997,659.783,0,0,0,659.783,26.489,236.679,0,117.306,0,380.474,442.86,2353.109,0,33.207,1461.228,4162.652,469.191,0,6126.278,-3387.14,2739.138,0,0,554.995,3294.133,5647.242,304.99,0,0,573.037,878.027,331.698,0,331.698,47.978,0,47.978,56.234,1313.937,672.945,0,672.945,0.283,0,105.305,0,778.25,2092.187,3,0,1795.68,-133.247,1982.653,-93.436,0.405,3555.055,0,3555.055,0.63
7,2003,397.698,608.957,1006.655,395.828,0,0,0,395.828,22.741,254.957,0,154.905,0,432.603,275.73,2110.815,0,34.443,1392.972,5256.502,355.746,0,7039.663,-4158.854,2880.809,0,0,718.694,3599.503,5710.318,352.438,0,0,666.955,1019.393,72.261,0,72.261,57.184,0,57.184,110.674,1259.512,1568.707,0,1568.707,0.665,0,91.137,323.697,1983.541,3243.053,3,0,492.668,49.905,2014.464,-93.217,0.445,2467.265,0,2467.265,0.432
