enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
11,2008,309,0,309,218,0,0,0,218,0,0,0,0,140,140,50,717,0,0,0,0,0,292,292,0,292,899,122,43,1234,1951,194,0,0,34,228,0,2,2,0,0,0,91,321,903,4,907,1.312,0,0,30,937,1258,0,0,-386,4,1075,0,0,693,0,693,0.355
11,2009,213,0,213,184,0,0,0,184,21,87,0,80,0,188,34,619,0,11,129,375,0,0,515,-216,299,890,169,63,1252,1871,174,0,0,32,206,0,2,2,0,0,0,120,328,703,5,708,0.91,0,0,55,763,1091,0,0,-312,8,1084,0,0,780,0,780,0.417
11,2010,472,0,472,186,0,0,0,186,22,70,0,70,0,162,44,864,0,11,128,419,0,0,558,-294,264,818,171,24,1106,1970,154,0,0,80,234,364,2,366,0,0,0,33,633,230,3,233,0.576,0,0,64,297,930,0,0,-356,3,1393,0,0,1040,0,1040,0.528
11,2011,561,0,561,285,0,0,0,285,32,96,0,61,0,189,52,1087,0,11,130,499,0,0,640,-359,281,745,172,44,1070,2157,198,0,0,94,292,230,2,232,0,0,0,41,565,0,4,4,0.157,0,0,83,87,652,0,0,59,-4,1450,0,0,1505,0,1505,0.698
11,2012,829,0,829,328,0,0,0,328,40,106,0,48,0,194,42,1393,0,11,133,563,30,0,737,-421,316,676,177,61,1053,2446,221,10,0,5,236,0,2,2,10,0,10,102,350,0,4,4,0.003,0,0,86,90,440,0,0,525,2,1479,0,0,2006,0,2006,0.82
11,2013,1084,0,1084,341,0,0,18,359,53,99,0,42,0,194,54,1691,0,11,158,692,127,0,988,-485,503,602,180,66,1171,2862,248,16,0,5,269,0,1,1,8,0,8,68,346,0,2,2,0.001,0,0,95,97,443,1479,0,951,-11,0,0,0,2419,0,2419,0.845
11,2014,985,0,985,418,0,0,0,418,78,154,0,53,0,285,130,1818,0,12,182,955,83,0,1232,-571,661,883,391,53,1597,3415,278,15,0,0,293,0,0,0,0,0,0,121,414,0,0,0,0,62,0,53,115,529,1587,0,1305,-6,0,0,0,2886,0,2886,0.845
11,2015,1604,0,1604,782,0,0,0,782,84,250,0,185,0,519,930,3835,0,37,300,1316,198,0,1851,-693,1158,5213,1596,285,6656,10491,515,57,0,0,572,46,0,46,0,0,0,398,1016,5463,0,5463,1.699,506,0,263,6232,7248,2009,0,1284,-50,0,0,0,3243,0,3243,0.309
11,2016,1822,0,1822,1019,0,0,0,1019,76,271,0,177,0,524,394,3759,0,37,419,1627,153,0,2236,-776,1460,4951,1674,345,6756,10515,617,0,0,0,617,46,0,46,0,0,0,456,1119,3826,0,3826,0.821,475,9,372,4682,5801,2547,0,2240,-73,0,0,0,4714,0,4714,0.448
11,2017,3097,0,3097,2181,0,0,0,2181,373,596,0,431,0,1400,447,7125,0,268,534,2475,361,0,3638,-1129,2509,39800,24732,532,42841,49966,1261,117,0,331,1709,454,0,454,0,0,0,915,3078,13188,0,13188,0.722,531,10287,1006,25012,28090,19241,0,-215,-134,0,0,0,18892,2984,21876,0.378
