enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
15,2006,55.972,134.366,190.338,0,0,0,4.28,4.28,0,0,0,0,0,0,24.58,219.194,0,0,0.364,20.999,0.892,3.54,25.795,-11.31,14.485,0,0,27.726,42.211,261.405,1.112,16.295,45.699,19.374,82.48,0,0,0,155.566,0,155.566,-0.001,238.045,0,0,0,0,0,4.749,0,4.749,242.794,0,0,-34.662,53.273,0,0,-0.001,18.61,0,18.61,0.071
15,2007,586.462,129.256,715.718,0,0,0,3.572,3.572,0,0,0,0,0,0,36.29,755.577,0,4.847,0,30.471,5.227,0,40.545,-18.967,21.578,0,0,44.412,65.99,821.567,1.748,20.837,48.062,0,70.647,0,0,0,0,0,0,251.032,321.679,0,0,0,0,0,9.527,-0.001,9.526,331.205,0,0,0,490.295,0,0,0.066,490.361,0,490.361,0.597
15,2008,392.324,572.429,964.753,0,0,0,1.85,1.85,0,0,0,0,0,0,72.21,1038.809,4.628,6.444,0,50.37,30.525,-0.001,87.338,-30.941,56.398,0.965,0,53.409,115.4,1154.209,2.273,22.866,78.36,0,103.499,0,0,0,0,0,0,317.501,421,0,0,0,0,0,17.257,0,17.257,438.257,0,0,0,715.881,0,0,0.071,715.952,0,715.952,0.62
15,2009,402.591,661.7,1064.291,5.555,0,0,0,5.555,0,0,0,0,0,0,122.82,1192.661,3.836,0,71.983,83.175,0.668,-0.001,155.825,-41.124,114.701,53.92,29.679,19.978,192.435,1385.096,3.502,5.079,118.021,0,126.602,0,0,0,0,0,0,473.481,600.083,0,0,0,0,0,40.121,9.901,50.022,650.105,0,0,0,728.906,0,0,0.071,728.977,6.014,734.991,0.526
15,2010,464.106,1022.98,1487.086,8.145,0,0,42.645,50.79,0,0,0,0,0,0,122.35,1660.228,9.634,0,48.549,104.726,4.208,28.41,185.893,-68.422,117.471,90.128,55.309,33.173,250.406,1910.634,2.403,28.546,182.005,57.902,270.856,13.943,0,13.943,616.786,0,616.786,58.55,960.135,0,0,0,0.016,0,69.748,8.07,77.818,1037.953,0,0,0,865.116,0,0,0.073,865.189,7.491,872.681,0.453
15,2011,540.791,1294.659,1835.449,7.166,0,1.18,79.784,88.13,0,0,0,0,0,0,162.22,2085.803,36.95,0,50.452,119.11,11.766,31.338,212.666,-97.238,115.428,106.984,71.707,64.253,323.615,2409.418,2.588,74.419,60.941,57.089,195.037,202.654,0,202.654,625.235,0,625.235,73.623,1096.549,0,0,0,0.173,0,109.353,18.901,128.254,1224.803,0,0,0,1168.41,0,0,0.076,1168.486,16.129,1184.615,0.485
15,2012,2670.416,868.119,3538.535,24.554,0,92.04,100.119,216.713,0,0,0,0,0,0,664.4,4419.644,299.406,0,136.713,493.307,111.208,0,741.228,-351.05,390.178,2137.347,1811.644,232.237,3059.168,7478.812,126.891,118.02,204.515,237.94,687.366,203.248,0,203.248,807.129,0,876.515,94.416,1861.545,0,0,0,0.041,0,165.703,4.752,170.455,2032,0,0,1988.436,-162.218,3291.564,0,-129.584,4988.198,458.614,5446.812,0.667
15,2013,4890.433,469.64,5360.073,21.72,0,712.102,36.684,770.506,0,0,0,0,0,0,813.78,6944.364,289.121,0,143.514,624.578,276.732,0,1044.824,-432.152,612.672,2175.725,1817.099,240.692,3318.21,10262.574,142.388,178.91,388.069,651.286,1360.653,876.532,0,876.532,1289.056,0,1453.487,169.9,3860.572,3613.927,0,3613.927,2.678,0,166.039,858.674,4638.64,8499.212,0,1680.825,-3296.811,-54.22,3484.088,0,-136.918,1676.964,86.398,1763.362,0.163
15,2014,5353.238,1948.679,7301.916,43.578,0,2131.737,406.94,2582.255,0,0,0,0,0,0,1104.67,10988.838,3351.585,0,394.304,963.405,126.359,-0.001,1484.067,-579.954,904.113,2488.134,1910.447,338.091,7081.923,18070.761,331.449,319.461,584.49,754.265,1989.665,1678.952,0,1678.952,1815.516,0,2074.552,312.98,6056.149,4975.133,0,4975.133,1.037,0,424.112,21.87,5421.115,11477.264,0,1665.992,191.644,267.459,4380.923,0,-87.317,6418.701,174.796,6593.497,0.355
15,2015,17342.513,2854.166,20196.679,171.032,0,133.844,1479.98,1784.856,0,0,0,0,0,0,797.45,22778.989,7772.257,0,453.307,1644.439,291.412,0,2389.158,-924.246,1464.912,8273.17,6721.54,654.794,18165.133,40944.122,826.788,539.865,255.506,1323.053,2945.212,318.982,0,318.982,2422.819,0,2698.522,396.403,6359.119,8111.275,0,8111.275,0.362,0,1104.575,31.577,9247.427,15606.546,0,0,3981.983,619.53,18776.969,0,-65.72,23312.762,2024.813,25337.576,0.569
