enterprise_id,years,balance_statement_cash_and_cash_equivalents,money_market_investments,gross_loan,allowance_for_loans_and_lease_losses,unearned_income,net_loan,securities_&_investments,accounts_receivable,notes_receivable,other_current_receivables,total_receivables,"property,_plant_and_equipment",intangible_assets,goodwill,other_assets_for_banks,total_assets,total_deposits,accounts_payable_&_accrued_expense,short-term_debt_&_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,other_liabilities_for_banks,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
16,1994,9128,7044,94959,-2169,-1255,91535,39664,1117,0,0,1117,2259,1367,0,5572,157686,91113,0,15877,8352,2.428,32365,147707,0,208,5247,0,0,0,4524,9979,0,9979,0.063
16,1995,11741,11112,103689,-2186,0,101503,35766,1408,0,0,1408,2439,1712,0,3923,169604,100470,0,5640,11007,1.512,41476,158593,0,111,6451,0,0,0,4449,11011,0,11011,0.065
16,1996,9744,6230,118696,-2163,0,116533,42714,1597,0,0,1597,2508,1514,0,6458,187298,100691,0,6916,17775,1.929,49115,174497,0,105,7826,0,0,0,4870,12801,0,12801,0.068
16,1997,10776,6959,123845,-2315,0,121530,33076,1159,0,0,1159,2712,2030,0,7552,185794,106498,0,4623,22985,2.014,37979,172085,0,171,9673,0,0,0,3865,13709,0,13709,0.074
16,1998,36829,20200,342140,-6778,0,335362,102968,3584,0,0,3584,8123,17794,0,46123,570983,346297,0,18045,42887,1.367,119170,526399,0,708,28438,0,0,0,15438,44584,0,44584,0.078
16,1999,35027,27146,357328,-7122,0,350206,120189,3734,0,0,3734,7289,14708,0,59380,617679,357260,0,31491,45888,1.684,137102,571741,0,83,30998,0,0,0,14857,45938,0,45938,0.074
16,2000,31827,37928,370662,-6828,0,363834,121529,3777,0,0,3777,6713,13992,0,52974,632574,347273,0,47671,60441,2.433,132757,588142,11671,77,35681,-2997,0,0,0,44432,0,44432,0.07
16,2001,32961,28055,392193,-6838,0,385355,108879,4432,0,0,4432,6433,13142,0,62934,642191,364244,0,42198,67547,2.304,115619,589608,8613,72,39815,-872,0,0,0,47628,4955,52583,0.074
16,2002,32769,28108,329153,-6875,0,322278,132843,2800,0,0,2800,6414,12148,0,84404,621764,373495,0,22217,68026,1.86,109506,573244,5076,65,42980,399,0,0,0,48520,0,48520,0.078
16,2003,31786,44878,342755,-6358,0,336397,133144,0,0,0,0,6717,12484,0,95545,660951,386458,0,25234,61145,1.717,131764,604601,496,58,48517,1248,0,0,0,50319,6031,56350,0.076
16,2004,35135,76492,371463,-6163,0,365300,136787,0,0,0,0,6036,12363,0,104332,736445,414113,0,42478,75343,2.456,156531,688465,14,54,50213,-2301,0,0,0,47980,0,47980,0.065
16,2005,41297,91360,521837,-8626,0,513211,318895,0,0,0,0,7517,49149,0,89028,1110457,618570,0,78598,98078,1.773,215566,1010812,44236,271,58006,-2868,0,0,0,99645,0,99645,0.09
16,2006,49799,149785,553086,-7813,0,545273,353310,0,0,20473,20473,7786,51354,45354,114023,1291803,634670,31938,116269,100848,2.138,306545,1190270,41693,271,67552,-7556,0,0,-427,101533,0,101533,0.079
16,2007,50381,135478,684626,-8799,0,675827,345898,0,0,21647,21647,9255,78129,65662,143122,1459737,693497,42132,141300,146515,2.128,301021,1324465,61574,2851,79024,-7711,0,0,-466,135272,0,135272,0.093
16,2008,54304,129552,888186,-11370,0,876816,376120,0,0,22364,22364,11240,91173,77530,154177,1715746,805177,53969,191089,197508,2.647,321200,1568943,60328,4409,81393,1129,0,0,-456,146803,0,146803,0.086
