enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
18,1994,83,0,83,0,0,0,3625,3625,0,0,0,0,1525,1525,838,6071,0,0,0,0,0,7965,7965,-4138,3827,353,0,4556,8736,14807,2055,0,0,0,2055,1533,0,1533,0,0,0,1083,4671,3895,0,3895,2.468,0,24,4018,7937,12608,0,0,1234,0,0,0,965,2199,0,2199,0.149
18,1995,419,0,419,0,0,0,4290,4290,0,0,0,0,1835,1835,865,7409,0,0,0,0,0,8230,8230,-4454,3776,237,0,4828,8841,16250,2624,0,0,0,2624,1633,0,1633,0,0,0,1241,5498,4270,0,4270,2.028,0,23,3548,7841,13339,0,0,1961,0,0,0,950,2911,0,2911,0.179
18,1996,638,0,638,4285,0,0,0,4285,0,0,0,0,1921,1921,803,7647,0,0,0,0,0,8303,8303,-4659,3644,170,0,5369,9183,16830,2579,0,0,0,2579,2436,0,2436,0,0,0,1034,6049,3964,0,3964,1.889,0,36,3393,7393,13442,0,0,2840,0,0,0,548,3388,0,3388,0.201
18,1997,487,0,487,5222,0,0,0,5222,0,0,0,0,2222,2222,852,8783,0,0,0,0,0,8817,8817,-5050,3767,233,0,5945,9945,18728,2858,0,0,0,2858,2927,0,2927,0,0,0,1228,7013,4532,0,4532,1.812,0,48,3019,7599,14612,0,0,3904,0,0,0,212,4116,0,4116,0.22
18,1998,292,0,292,5991,0,0,0,5991,0,0,0,0,2603,2603,928,9814,0,0,0,0,0,9403,9403,-5345,4058,228,0,6656,10942,20756,3358,0,0,0,3358,1626,0,1626,0,0,0,1395,6379,6942,0,6942,1.831,0,58,2698,9698,16077,0,0,5026,0,0,0,-347,4679,0,4679,0.225
18,1999,360,0,360,7176,0,0,0,7176,0,0,0,0,2842,2842,1081,11459,0,0,0,0,0,10395,10395,-5529,4866,1241,0,7562,13669,25128,3558,0,0,0,3558,3048,0,3048,0,0,0,1339,7945,9404,0,9404,2.427,0,58,2590,12052,19997,0,0,6123,0,0,0,-992,5131,0,5131,0.204
18,2000,548,0,548,7439,0,0,0,7439,0,0,0,0,2594,2594,1229,11810,0,0,0,0,0,10730,10730,-5529,5201,1543,0,8157,14901,26711,2003,0,0,0,2003,3874,0,3874,0,0,0,2377,8254,9928,0,9928,2.526,0,528,2536,12992,21246,1045,0,6617,78,0,-2275,0,5465,0,5465,0.205
18,2001,334,0,334,8079,0,0,0,8079,0,0,0,0,2692,2692,1416,12521,0,0,0,0,0,11438,11438,-5850,5588,1507,0,8848,15943,28464,2339,0,0,0,2339,3733,0,3733,0,0,0,2496,8568,11334,0,11334,2.691,0,448,2514,14296,22864,1048,0,7205,23,0,-2676,0,5600,0,5600,0.197
18,2002,400,0,400,8441,0,0,0,8441,1085,0,0,1658,182,2925,1634,13400,0,149,3077,8928,636,0,12790,-6187,6603,1671,0,8983,17257,30657,2123,0,0,2711,4834,5311,0,5311,0,11,11,120,10276,11291,0,11291,2.959,0,376,3103,14770,25046,1043,0,7533,-269,0,-2696,0,5611,0,5611,0.183
18,2003,309,0,309,0,0,0,8258,8258,1087,311,0,1365,0,2763,3150,14480,747,149,3039,10011,305,0,13504,-6495,7009,1683,1402,8786,18225,32705,1790,0,120,1620,3530,6087,0,6087,259,70,329,1779,11725,11774,0,11774,3.264,3333,401,0,15508,27233,1034,0,7849,-742,0,-2669,0,5472,0,5472,0.167
