enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
20,1994,119,0,119,1398,0,0,0,1398,103,0,0,0,435,538,288,2343,0,0,0,0,0,18038,18038,-10077,7961,0,0,731,8692,11035,1349,0,0,1054,2403,18,0,18,0,0,0,0,2421,3208,0,3208,1.2,0,901,1817,5926,8347,346,0,2751,-501,977,-885,0,2688,0,2688,0.244
20,1995,193,0,193,1462,0,0,0,1462,95,0,0,0,432,527,283,2465,0,0,0,0,0,18293,18293,-10251,8042,0,0,929,8971,11436,1371,0,0,1052,2423,18,0,18,0,0,0,0,2441,3106,0,3106,1.058,0,944,1992,6042,8483,346,0,2905,-435,996,-859,0,2953,0,2953,0.258
20,1996,67,0,67,1522,0,0,0,1522,87,0,0,0,418,505,315,2409,0,0,0,0,0,19088,19088,-10595,8493,0,0,1076,9569,11978,1494,0,0,1302,2796,19,0,19,0,0,0,0,2815,3097,0,3097,0.977,0,948,1930,5975,8790,383,0,3030,-375,1966,-1816,0,3188,0,3188,0.266
20,1997,615,0,615,1988,0,0,0,1988,81,0,0,0,391,472,231,3306,0,0,0,0,0,20103,20103,-10983,9120,0,0,1122,10242,13548,1793,0,0,770,2563,574,0,574,0,0,0,0,3137,2555,0,2555,0.736,0,1047,2558,6160,9297,383,0,3939,-324,1999,-1746,0,4251,0,4251,0.314
20,1998,163,0,163,1717,0,0,0,1717,90,0,0,0,410,500,268,2648,0,0,0,0,0,21426,21426,-11404,10022,0,0,1190,11212,13860,1546,0,0,665,2211,234,0,234,0,0,0,0,2445,2775,0,2775,0.625,0,1257,2569,6601,9046,383,0,4491,-350,2031,-1741,0,4814,0,4814,0.347
20,1999,97,0,97,1282,0,0,0,1282,89,0,0,0,451,540,441,2360,0,0,0,0,0,22868,22868,-12283,10585,0,0,1271,11856,14216,1340,0,0,625,1965,167,0,167,0,0,0,0,2132,4106,0,4106,1.013,0,1317,2442,7865,9997,383,0,4343,-316,2055,-2246,0,4219,0,4219,0.297
20,2000,138,0,138,1808,0,0,0,1808,85,0,0,0,430,515,312,2773,0,0,0,0,0,22728,22728,-11642,11086,0,0,1342,12428,15201,1668,0,0,821,2489,31,0,31,0,0,0,0,2520,4271,0,4271,0.946,0,1480,2381,8132,10652,383,0,4563,-317,2098,-2178,0,4549,0,4549,0.299
20,2001,149,0,149,1779,0,0,0,1779,129,0,0,0,228,357,321,2606,0,0,0,0,0,24383,24383,-9599,14784,0,0,3119,17903,20509,1914,0,0,1316,3230,262,0,262,0,0,0,0,3492,6622,0,6622,1.13,0,1894,2408,10924,14416,383,0,6019,-363,2153,-2099,0,6093,0,6093,0.297
20,2002,142,0,142,1229,0,0,0,1229,221,0,0,0,2231,2452,2675,6498,0,0,0,0,0,33090,33090,-10957,22133,3142,0,3444,28719,35217,2531,0,0,1617,4148,44,0,44,0,0,0,629,4821,8610,0,8610,0.603,0,4015,3426,16051,20872,538,0,7197,-492,9069,-1972,0,14340,5,14345,0.407
20,2003,307,0,307,4380,0,0,0,4380,450,0,0,0,3395,3845,2371,10903,0,0,0,0,0,54559,54559,-11529,43030,15563,0,7340,65933,76836,5949,0,0,5066,11015,849,0,849,0,0,0,952,12816,18917,0,18917,0.67,0,8361,6574,33852,46668,7,0,5621,-1289,25178,0,0,29517,651,30168,0.384
20,2004,490,0,490,5005,0,0,0,5005,490,0,0,0,3467,3957,1740,11192,0,0,0,0,0,58957,58957,-11529,47428,16169,0,7666,71263,82455,6598,0,0,5493,12091,1440,0,1440,0,0,0,480,14011,16340,0,16340,0.517,0,8565,8331,33236,47247,7,0,9234,-236,25361,0,0,34366,842,35208,0.417
20,2005,1387,0,1387,8788,0,0,0,8788,519,0,0,0,3147,3666,1180,15021,0,0,0,0,0,69151,69151,-18249,50902,16086,0,10852,77840,92861,9131,0,0,4505,13636,632,0,632,0,0,0,1318,15586,14370,0,14370,0.351,0,10385,8692,33447,49033,14,0,16128,1350,26047,-816,0,42723,1105,43828,0.46
20,2006,2214,0,2214,11940,0,0,0,11940,541,0,0,0,3183,3724,1734,19612,0,0,0,0,0,76332,76332,-21663,54669,16439,0,16279,87387,106999,12267,0,0,6122,18389,1758,0,1758,0,0,0,1212,21359,10758,0,10758,0.237,0,11439,9503,31700,53059,14,0,28018,-131,26754,-1924,0,52731,1209,53940,0.493
20,2007,817,0,817,14106,0,0,0,14106,802,0,0,0,4351,5153,4990,25066,0,0,0,0,0,113272,113272,-27071,86201,32439,31488,21075,139715,164781,14634,0,0,6859,21493,4043,0,4043,0,0,0,895,26431,23091,0,23091,0.328,0,20074,11337,54502,80933,17,0,41292,1141,41926,-1730,0,82646,1202,83848,0.502
20,2008,1456,0,1456,16354,0,0,0,16354,850,0,0,0,3373,4223,2702,24735,0,0,0,0,0,125361,125361,-36358,89003,30232,29336,33787,153022,177757,17861,0,0,6703,24564,1398,0,1398,0,0,0,920,26882,20289,0,20289,0.244,0,21018,19412,60719,87601,17,0,50510,4432,42724,-8700,0,88983,1173,90156,0.501
20,2009,755,0,755,11995,0,0,0,11995,863,0,0,0,4232,5095,2998,20843,0,0,0,0,0,126444,126444,-42497,83947,4624,3778,33451,122022,142865,13990,0,0,6481,20471,370,0,370,0,0,0,939,21780,27085,0,27085,0.498,0,18167,19568,64820,86600,17,0,30642,-2679,43396,-16211,0,55165,1100,56265,0.386
20,2010,542,0,542,13215,0,0,0,13215,985,0,0,3955,0,4940,2470,21167,35742,0,0,0,0,141242,141242,-53534,87708,4461,3638,3060,130971,152138,15485,3402,0,2234,21121,1728,0,1728,0,0,0,846,23695,26925,0,26925,0.462,4130,17956,16819,65830,89525,17,0,32214,3065,43681,-16211,-743,62023,590,62613,0.408
20,2011,9454,2056,11510,13787,0,0,2025,15812,943,0,0,4254,0,5197,2141,34660,31581,0,0,0,0,143225,143225,-60671,82554,4434,3633,3085,121654,156314,18399,4874,0,2129,25402,936,0,936,0,0,0,1081,27419,22656,0,22656,0.344,3683,17335,16112,59786,87205,17,0,40397,4726,44132,-20077,-633,68562,547,69109,0.439
20,2012,5780,581,6361,16526,0,0,0,16526,998,0,0,3633,0,4631,2700,30218,32108,0,0,0,0,149209,149209,-65029,84180,4077,3332,2647,123012,153230,19653,4220,0,2071,25944,1013,0,1013,0,0,0,1111,28068,21610,0,21610,0.347,4068,18040,15695,59413,87481,17,0,49049,3246,44725,-31787,-11,65239,510,65749,0.426
20,2013,3618,0,3618,9182,0,0,0,9182,721,0,0,244,0,965,10224,23989,22880,0,0,0,0,126179,126179,-58916,67263,0,0,3012,93155,117144,10013,3366,0,2367,15746,955,0,955,0,0,0,742,17443,20770,0,20770,0.453,3346,13185,13973,51274,68717,18,0,35338,4087,45324,-36780,0,47987,440,48427,0.41
20,2014,6246,272,6518,8487,0,0,0,8487,742,0,0,452,0,1194,2824,19023,23437,0,0,0,0,138148,138148,-65321,72827,0,0,2770,99034,118057,9314,2713,0,1671,13698,589,0,589,0,0,0,842,15129,21073,0,21073,0.416,2459,15220,11684,50436,65565,18,0,41160,2002,45690,-36780,0,52090,402,52492,0.441
20,2015,5062,0,5062,6807,0,0,0,6807,793,0,0,538,0,1331,1868,15068,23891,0,0,0,0,146230,146230,-70786,75444,0,0,2136,101471,116539,8026,1051,0,1400,10477,182,0,182,0,0,0,878,11537,22383,0,22383,0.435,2964,15070,12312,52729,64266,18,0,44504,-1902,46071,-36780,0,51911,362,52273,0.445
20,2016,2368,0,2368,4514,0,0,0,4514,718,0,0,406,0,1124,783,8789,19971,0,0,0,0,136859,136859,-70413,66446,0,0,2278,88695,97484,4933,499,0,1510,6942,1427,0,1427,0,0,0,887,9256,23453,0,23453,0.626,2286,10999,11408,48146,57402,18,0,36414,-6247,46357,-36780,0,39762,320,40082,0.408
20,2017,3610,50,3660,3414,0,0,0,3414,600,0,0,418,0,1018,517,8609,20460,0,0,0,0,131406,131406,-73075,58331,0,0,2372,81163,89772,3653,484,0,994,5131,1089,0,1089,0,0,0,689,6909,26186,0,26186,0.78,2552,8949,9950,47637,54546,18,0,31548,-6193,46507,-36906,0,34974,252,35226,0.39
20,2018,6325,3772,10097,4320,0,0,0,4320,548,0,0,512,0,1060,1035,16512,9224,0,0,0,0,110431,110431,-64748,45683,0,0,1943,56850,73362,4030,1038,0,1029,6097,2575,0,2575,0,0,0,725,9397,17128,0,17128,0.644,1854,5282,8900,33164,42561,18,0,29391,-5518,46622,-39906,0,30607,194,30801,0.417
20,2019,5915,1710,7625,4067,0,0,0,4067,575,0,0,432,0,1007,575,13274,9091,0,0,0,0,110597,110597,-64899,45698,0,0,1917,56706,69980,3895,1320,0,1259,6474,112,0,112,0,0,0,809,7395,14856,0,14856,0.469,1764,5021,8880,30521,37916,18,0,34010,-6063,46879,-42905,0,31939,125,32064,0.456
20,2020,5088,5139,10227,3401,0,0,0,3401,554,0,0,472,0,1026,2259,16913,8444,0,0,0,0,97746,97746,-55477,42269,0,0,2888,53601,70514,3200,1030,0,2045,6275,105,0,105,0,0,0,663,7043,14790,0,14790,0.426,1781,4634,7216,28421,35464,18,0,39742,-5357,46983,-46405,0,34981,69,35050,0.496
20,2021,2991,4865,7856,2754,0,0,0,2754,541,0,0,461,0,1002,454,12066,7880,0,0,0,0,102106,102106,-62213,39893,0,0,2779,50552,62618,2698,320,0,1121,4139,619,0,619,0,0,0,608,5366,14750,0,14750,0.515,1697,3747,7209,27403,32769,18,0,35213,-5218,47133,-47297,0,29849,0,29849,0.477
20,2022,5028,1563,6591,6670,0,0,0,6670,561,0,0,647,0,1208,1581,16050,7015,0,0,0,0,129646,129646,-64735,64911,0,0,2685,74611,90661,5025,2862,0,2179,10066,1200,0,1200,0,0,0,755,12021,18734,0,18734,0.439,1153,6179,7168,33234,45255,21,0,40674,-4950,60581,-50920,0,45406,0,45406,0.501
20,2023,6458,2785,9243,7088,0,0,0,7088,578,0,0,641,0,1219,1199,18749,8083,0,0,0,0,131496,131496,-66630,64866,0,0,2131,75080,93829,6163,3193,0,2346,11702,417,0,417,0,0,0,728,12847,16226,0,16226,0.347,1074,7726,7953,32979,45826,21,0,53029,-6000,61142,-60189,0,48003,0,48003,0.512
