enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
21,1994,53.6,0,53.6,0,0,0,130.3,130.3,0,0,0,0,1260.5,1260.5,89.9,1534.3,0,0,0,0,0,2571.5,2571.5,-425.1,2146.4,0,0,555,2701.4,4235.7,1073.3,0,0,0,1073.3,156.1,0,156.1,0,0,0,417.9,1647.3,795.5,0,795.5,0.565,0,65.7,7.4,868.6,2515.9,0,0,1143.2,0,0,0,541.8,1685,34.8,1719.8,0.398
21,1995,45.7,0,45.7,0,0,0,146.7,146.7,0,0,0,0,1422.3,1422.3,87.6,1702.3,0,0,0,0,0,3062,3062,-526.4,2535.6,0,0,199.5,2735.1,4437.4,1233.1,0,0,0,1233.1,88.4,0,88.4,0,0,0,371.4,1692.9,1094.6,0,1094.6,0.773,0,64.3,4.1,1163,2855.9,0,0,1277.1,0,0,0,253.6,1530.7,50.8,1581.5,0.345
21,1996,102,0,102,0,0,0,137.5,137.5,0,0,0,0,1500.8,1500.8,88,1828.3,0,0,0,0,0,3543.5,3543.5,-655.2,2888.3,0,0,195.3,3083.6,4911.9,1220.4,0,0,0,1220.4,59.9,0,59.9,0,0,0,491.3,1771.6,1229.2,0,1229.2,0.725,0,56.7,4.3,1290.2,3061.8,0,0,1525.9,0,0,0,251.9,1777.8,72.3,1850.1,0.362
21,1997,175.5,0,175.5,0,0,0,147.1,147.1,0,0,0,0,1686.5,1686.5,100.9,2110,0,0,0,0,0,3950.3,3950.3,-795.7,3154.6,0,0,211.7,3366.3,5476.3,1394.3,0,0,0,1394.3,25.5,0,25.5,0,0,0,544.2,1964,917,0,917,0.382,0,39,0,956,2920,0,0,1838.1,0,0,0,630,2468.1,88.2,2556.3,0.451
21,1998,362,0,362,0,0,0,171.6,171.6,0,0,0,0,1910.8,1910.8,183.8,2628.2,0,0,0,0,0,4331,4331,-935.6,3395.4,0,0,236.2,3631.6,6259.8,1605.5,0,0,0,1605.5,0,0,0,0,0,0,591.4,2196.9,930,0,930,0.314,0,61.5,0,991.5,3188.4,0,0,2297.9,0,0,0,668,2965.9,105.5,3071.4,0.474
21,1999,440.6,256.7,697.3,168.6,0,0,0,168.6,0,0,0,0,2210.5,2210.5,239.5,3315.9,0,0,0,0,0,5024.2,5024.2,-1117.3,3906.9,0,0,282.2,4189.1,7505,1912.6,0,0,0,1912.6,0,0,0,0,0,0,953.6,2866.2,918.9,0,918.9,0.26,0,67,0,985.9,3852.1,2,0,2695.2,-118.1,952.8,0,0.2,3532.1,120.8,3652.9,0.471
21,2000,524.505,48.026,572.531,174.375,0,0,0,174.375,0,0,0,0,2490.088,2490.088,233.12,3470.118,0,0,0,0,0,6141.389,6141.389,-1307.273,4834.116,0,0,329.706,5163.822,8633.94,2197.139,0,0,0,2197.139,9.5,0,9.5,0,0,0,1197.72,3404.359,790.053,0,790.053,0.189,0,90.391,0,880.444,4284.803,2,0,3326.659,-117.029,1028.414,0,0.236,4240.28,108.857,4349.137,0.491
21,2001,602.585,4.999,607.584,324.768,0,0,0,324.768,0,0,0,0,2738.504,2738.504,211.6,3882.457,0,1877.158,3834.714,1529.307,133.995,0,7375.174,-1548.589,5826.585,0,0,380.744,6207.329,10089.786,2727.639,0,0,636.337,3363.976,194.552,0,194.552,322.583,0,322.583,231.078,4112.189,859.393,0,859.393,0.216,0,119.434,0,978.827,5091.016,2,0,3928.748,-173.61,1125.543,0,0.259,4882.94,115.83,4998.77,0.484
21,2002,805.518,0,805.518,474.861,0,0,0,474.861,0,0,0,0,3127.221,3127.221,222.94,4630.539,0,2017.184,4367.395,1733.979,198.744,0,8317.302,-1793.683,6523.619,0,0,466.105,6989.724,11620.263,2884.269,0,0,753.2,3637.469,103.774,0,103.774,360.515,0,360.515,347.975,4449.733,1210.638,0,1210.638,0.231,0,145.925,0,1356.563,5806.296,2,0,4628.731,-157.725,1220.954,0,0.277,5694.237,119.73,5813.967,0.49
21,2003,1545.439,0,1545.439,556.09,0,0,0,556.09,0,0,0,0,3339.428,3339.428,270.58,5711.538,0,2173.685,4831.236,1846.324,154.181,0,9005.426,-2045.418,6960.008,0,0,520.142,7480.15,13191.688,3131.32,0,0,941.653,4072.973,47.421,0,47.421,401.357,0,401.357,489.356,5011.107,1289.649,0,1289.649,0.204,0,209.835,0,1499.484,6510.591,2,0,5349.731,-77.98,1280.942,0,0.287,6554.98,126.117,6681.097,0.497
