enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
25,1994,6.8,0,6.8,0,0,0,135.4,135.4,0,0,0,0,107.6,107.6,28,277.8,0,0,0,0,0,358.3,358.3,-122.6,235.7,337.6,0,21.4,594.7,872.5,72.4,0,0,0,72.4,2.2,0,2.2,0,0,0,160.8,235.4,131.4,0,131.4,0.367,0,0,142,273.4,508.8,0,0,123.1,0,0,0,240.6,363.7,0,363.7,0.417
25,1995,2,0,2,0,0,0,193.4,193.4,0,0,0,0,142.4,142.4,50.9,388.7,0,0,0,0,0,421.7,421.7,-148.6,273.1,442.7,0,30.4,746.2,1134.9,94.6,0,0,0,94.6,68.8,0,68.8,0,0,0,232.8,396.2,116.5,0,116.5,0.389,0,0,146.1,262.6,658.8,0,0,200.7,0,0,0,275.4,476.1,0,476.1,0.42
25,1996,7.9,0,7.9,0,0,0,224.7,224.7,0,0,0,0,201.9,201.9,32,466.5,0,0,0,0,0,460.5,460.5,-168.6,291.9,608.1,0,119.5,1019.5,1486,92.3,0,0,0,92.3,15,0,15,0,0,0,296.8,404.1,268.6,0,268.6,0.484,0,0,227,495.6,899.7,0,0,304.4,0,0,0,281.9,586.3,0,586.3,0.395
25,1997,26.4,0,26.4,0,0,0,266.7,266.7,0,0,0,0,204.2,204.2,49.4,546.7,0,0,0,0,0,538.4,538.4,-218.8,319.6,792.8,0,106,1218.4,1765.1,110.2,0,0,0,110.2,16.8,0,16.8,0,0,0,347.6,474.6,219.6,0,219.6,0.295,0,0,270.6,490.2,964.8,0,0,506.8,0,0,0,293.5,800.3,0,800.3,0.453
25,1998,70.8,0,70.8,0,0,0,403.9,403.9,0,0,0,0,265.1,265.1,92.3,832.1,0,0,0,0,0,666.7,666.7,-263.2,403.5,863.4,0,84.9,1351.8,2183.9,152.1,0,0,0,152.1,35.9,0,35.9,0,0,0,392.3,580.3,163.1,0,163.1,0.175,0,0,301.3,464.4,1044.7,0,0,806.2,0,0,0,333,1139.2,0,1139.2,0.522
25,1999,47.8,0,47.8,0,0,0,485.5,485.5,0,0,0,0,337.5,337.5,60.9,931.7,0,0,0,0,0,1003.5,1003.5,-493.3,510.2,1299.6,0,99.4,1909.2,2840.9,161.8,0,0,0,161.8,59.7,0,59.7,0,0,0,479.7,701.2,443.9,0,443.9,0.36,0,0,295,738.9,1440.1,0,0,1069.6,0,0,0,331.2,1400.8,0,1400.8,0.493
25,2000,260.281,0,260.281,0,0,0,544.738,544.738,0,0,0,0,324.673,324.673,72.43,1202.117,0,0,0,0,0,1052.913,1052.913,-552.724,500.189,1292.289,0,52.476,1844.954,3047.071,213.209,0,0,0,213.209,33.597,0,33.597,0,0,0,461.98,708.786,341.037,0,341.037,0.219,0,0,288.494,629.531,1338.317,2,0,1321.283,-34.105,420.036,0,-0.46,1708.754,0,1708.754,0.561
25,2001,176.924,0,176.924,0,0,0,704.214,704.214,0,0,0,0,460.61,460.61,132.56,1474.306,0,0,0,0,0,1208.104,1208.104,-632.573,575.531,1863.9,0,117.942,2557.373,4031.679,262.095,0,0,0,262.095,81.633,0,81.633,0,0,0,674.812,1018.54,713.557,0,713.557,0.409,0,0,357.249,1070.806,2089.346,2,0,1635.481,-59.13,364.426,0,-0.444,1942.333,0,1942.333,0.482
25,2002,706.559,0,706.559,585.318,0,0,0,585.318,181.801,95.119,0,131.316,0,408.236,174.5,1874.615,0,31.641,287.655,945.698,0,0,1264.994,-731.422,533.572,2292.657,2292.66,119.639,2945.868,4820.483,235.501,0,0,709.437,944.938,72.356,0,72.356,0,0,0,0,1017.294,1119.333,0,1119.333,0.535,0,0,455.27,1574.603,2591.897,2,0,1921.47,-69.736,375.279,0,-0.427,2228.586,0,2228.586,0.462
25,2003,810.463,0,810.463,759.028,0,0,0,759.028,200.654,119.872,0,165.061,0,485.587,332.19,2387.266,0,37.802,350.293,1041.206,0,0,1429.301,-831.922,597.379,3007.704,0,36.796,3641.879,6029.145,366.587,0,0,786.183,1152.77,112.542,0,112.542,0,0,0,0,1265.312,1197.422,0,1197.422,0.435,0,0,556.812,1754.234,3019.546,2,0,2198.345,-105.973,915.562,0,-0.335,3009.599,0,3009.599,0.499
25,2004,1230.156,0,1230.156,868.097,0,0,0,868.097,222.973,121.76,0,191.494,0,536.227,307.67,2942.151,0,43.954,326.108,1142.906,0,0,1512.968,-939.603,573.365,3341.972,0,32.562,3947.899,6890.05,472.994,0,0,892.624,1365.618,14.385,0,14.385,0,0,0,0,1380.003,1284.498,0,1284.498,0.356,0,0,578.84,1863.338,3243.341,2,0,2719.853,-74.607,999.786,0,-0.323,3646.709,0,3646.709,0.529
25,2005,609.115,0,609.115,1231.065,0,0,0,1231.065,284.41,138.261,0,281.325,0,703.996,374.51,2918.69,0,55.714,451.683,1260.605,0,0,1768.002,-1015.036,752.966,4730.532,0,91.705,5575.203,8493.893,612.066,0,0,1165.457,1777.523,424.763,0,424.763,0,0,0,0,2202.286,925.535,0,925.535,0.292,0,0,746.39,1671.925,3874.211,3,0,3448.122,116.037,1052.154,0,0.369,4619.682,0,4619.682,0.544
25,2006,315.551,0,315.551,1407.858,0,0,0,1407.858,331.861,178.63,0,314.772,0,825.263,396.35,2945.019,0,66.672,474.363,1337.916,0,0,1878.951,-1130.779,748.172,5309.138,0,160.78,6218.09,9163.109,782.854,0,0,1301.781,2084.635,183.951,0,183.951,0,0,0,0,2268.586,857.771,0,857.771,0.205,0,0,956.402,1814.173,4082.759,3,0,4324.369,-109.279,861.875,0,0.385,5080.35,0,5080.35,0.554
25,2007,317.81,0,317.81,1654.725,0,0,0,1654.725,376.16,182.809,0,429.74,0,988.709,475.5,3436.739,0,0,0,0,0,2135.988,2135.988,-1267.365,868.623,8258.563,6560.24,300.226,9427.412,12864.151,932.87,0,0,1515.989,2448.859,10.855,0,10.855,0,0,0,0,2459.714,2422.861,0,2422.861,0.366,0,0,1336.916,3759.777,6219.491,3,0,5421.809,191.985,1027.454,0,0.412,6644.66,0,6644.66,0.517
25,2008,239.108,0,239.108,1984.384,0,0,0,1984.384,450.541,195.332,0,547.742,0,1193.615,632.66,4049.767,0,105.096,679.575,1726.426,0,0,2511.097,-1402.463,1108.634,11805.984,9241.01,507.55,13422.168,17471.935,1125.6,0,0,1443.773,2569.373,330.48,0,330.48,0,0,0,0,2899.853,3395.764,0,3395.764,0.41,0,0,2090.63,5486.394,8386.247,4,0,6820.756,542.69,1718.716,0,-0.474,9085.688,0,9085.688,0.52
25,2009,392.854,0,392.854,1894.585,0,0,0,1894.585,386.96,211.353,0,543.996,0,1142.309,757.37,4187.119,0,106.472,691.766,1793.617,0,0,2591.855,-1483.202,1108.653,11730.003,9210.58,464.353,13303.009,17490.128,1108.961,0,0,1569.977,2678.938,66.159,0,66.159,0,0,0,0,2745.097,2553.17,0,2553.17,0.267,0,0,2383.299,4936.469,7681.566,4,0,8095.155,-103.1,1812.963,0,-0.456,9808.562,0,9808.562,0.561
25,2010,1721.92,0,1721.92,1916.831,0,0,0,1916.831,338.916,179.4,0,474.7,0,993.016,588.86,5220.628,0,110.6,725.7,1877.631,0,0,2713.931,-1570.6,1143.331,12473.426,9817.92,758.035,14374.792,19595.42,1051.487,0,0,1665.287,2716.774,44.186,0,44.186,0,0,0,0,2760.96,2889.023,0,2889.023,0.252,0,0,2315.261,5204.284,7965.244,4,0,9205.142,346.944,2074.501,0,-0.411,11630.176,0,11630.176,0.594
25,2011,1632.98,0,1632.98,2218.975,0,0,0,2218.975,437.751,202.2,0,585.2,0,1225.151,652.41,5729.513,511.283,121.7,749,1844.003,0,0,2714.703,-1522.4,1192.303,14082.904,10758.4,701.127,16487.617,22217.13,1215.818,0,0,2048.175,3263.993,40.761,0,40.761,0,0,0,0,3304.754,2783.907,0,2783.907,0.206,0,0,2355.703,5139.61,8444.364,7,0,10945.928,345.386,2412.401,0,0.295,13711.01,61.756,13772.766,0.617
25,2012,537,0,537,3049.9,0,0,0,3049.9,588.3,262.2,0,930.9,0,1781.4,904.1,6272.4,521.9,180.1,937.4,2117.7,0,531.8,3767,-1666,2101,20314.5,14474.3,739.7,23677.1,29949.5,1422.4,234,0,423.7,2080.1,98.4,0,98.4,645,0,645,1348.5,4172,5206.8,0,5206.8,0.314,1430.2,75.7,2093,8805.7,12977.7,8,0,13056.9,-36.9,3877.2,0,-0.4,16904.8,67,16971.8,0.564
