enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
27,1994,186.9,0,186.9,0,0,0,1670.5,1670.5,0,0,0,0,668.3,668.3,2919.4,5445.1,0,0,0,0,0,8441.6,8441.6,-2627.1,5814.5,0,0,1566.7,7381.2,12826.3,2474.8,0,0,0,2474.8,117.6,0,117.6,0,0,0,267.4,2859.8,2819.3,0,2819.3,0.533,0,939,699.9,4458.2,7318,0,0,5790.3,0,0,0,-282,5508.3,0,5508.3,0.429
27,1995,1077,0,1077,0,0,0,1793,1793,0,0,0,0,824,824,2965,6659,0,0,0,0,0,9229,9229,-3039,6190,0,0,1757,7947,14606,2843,0,0,0,2843,0,0,0,0,0,0,200,3043,2984,0,2984,0.449,0,1067,861,4912,7955,0,0,6990,0,0,0,-339,6651,0,6651,0.455
27,1996,278,0,278,0,0,0,3343,3343,0,0,0,0,951,951,4268,8840,0,0,0,0,0,12479,12479,-4448,8031,17978,0,1777,27786,36626,5694,0,0,0,5694,4304,0,4304,0,0,0,582,10580,8038,0,8038,0.767,0,743,1179,9960,20540,0,0,7933,0,0,0,8153,16086,0,16086,0.439
27,1997,317,0,317,0,0,0,3329,3329,0,0,0,0,853,853,3154,7653,0,0,0,0,0,13808,13808,-4857,8951,16011,0,5882,30844,38497,4748,0,0,0,4748,897,0,897,0,0,0,631,6276,10171,0,10171,0.64,0,2161,2604,14936,21212,0,0,9543,0,0,0,7742,17285,0,17285,0.449
27,1998,127,0,127,3999,0,0,0,3999,0,0,0,0,899,899,4350,9375,0,0,0,0,0,15728,15728,-5382,10346,15769,0,5888,32003,41378,3792,0,0,0,3792,2123,0,2123,0,0,0,1610,7525,9562,0,9562,0.603,0,2488,2415,14465,21990,8995,0,10981,5,0,-593,0,19388,0,19388,0.469
27,1999,414,0,414,3633,0,0,0,3633,0,0,0,0,796,796,5357,10200,0,0,0,0,0,17566,17566,-6220,11346,15695,0,6438,33479,43679,3628,0,0,0,3628,2415,0,2415,0,0,0,1664,7707,9278,0,9278,0.557,0,2660,3059,14997,22704,9324,0,12281,-25,0,-605,0,20975,0,20975,0.48
27,2000,842,0,842,3416,0,0,183,3599,0,0,0,0,702,702,2420,7563,0,597,0,16610,1995,0,19202,-6892,12310,16117,0,9037,37464,45027,4278,0,0,0,4278,2502,0,2502,0,0,0,1622,8402,6959,0,6959,0.393,0,2833,2377,12169,20571,9920,0,12767,2102,0,-689,0,24100,356,24456,0.535
27,2001,618,0,618,3120,0,0,223,3343,0,0,0,0,671,671,1973,6605,0,635,0,19089,911,0,20635,-7728,12907,14842,0,9456,37205,43810,3623,0,0,0,3623,829,0,829,0,0,0,1568,6020,8940,0,8940,0.431,0,2729,3067,14736,20756,12096,0,12171,-200,0,-1395,0,22672,382,23054,0.518
27,2002,1239,0,1239,3960,0,0,89,4049,0,0,0,0,697,697,1864,7849,0,848,0,18917,1148,0,20913,-8133,12780,19859,0,9557,42196,50045,3820,0,0,0,3820,1663,0,1663,0,0,0,2336,7819,12467,0,12467,0.603,0,2597,3283,18347,26166,12107,0,12979,-246,0,-1395,0,23445,434,23879,0.468
27,2003,1583,0,1583,4018,0,0,220,4238,0,0,0,0,703,703,1790,8314,0,3039,599,16758,1076,0,21472,-8794,12678,19752,0,9244,41674,49988,4095,0,0,0,4095,2457,0,2457,0,0,0,2117,8669,10643,0,10643,0.551,0,2712,3745,17100,25769,12154,0,13817,-653,0,-1527,0,23791,428,24219,0.476
27,2004,2042,0,2042,4255,0,0,303,4558,0,0,0,0,775,775,1994,9369,0,1127,0,25168,1852,0,28147,-11665,16482,19781,0,8270,44533,53902,5623,0,0,0,5623,4093,0,4093,0,0,0,1343,11059,9395,0,9395,0.517,0,2950,3619,15964,27023,12447,0,15732,-236,0,-1862,0,26081,798,26879,0.484
27,2005,1723,0,1723,4585,0,0,0,4585,0,0,0,0,626,626,1911,8845,0,1129,0,27570,874,0,29573,-12605,16968,25132,16974,2213,44313,53158,5339,0,0,0,5339,2310,0,2310,0,0,0,1519,9168,10157,0,10157,0.476,0,2430,3945,16532,25700,13288,0,17775,-572,0,-4281,0,26210,1248,27458,0.493
27,2006,2411,0,2411,4707,0,0,0,4707,0,0,0,0,694,694,1750,9562,0,1192,0,0,913,28843,30948,-13781,17167,30647,22505,2622,50436,59998,5917,0,0,0,5917,2682,0,2682,0,0,0,1611,10210,10843,0,10843,0.425,0,2651,3131,16625,26835,22377,0,20630,-8,0,-11179,0,31820,1343,33163,0.53
27,2007,3670,0,3670,5032,0,0,0,5032,0,0,0,0,641,641,1971,11314,0,4802,15357,11272,1147,0,32578,-15145,17433,29702,22085,2479,49614,60928,3996,0,0,1953,5949,3280,0,3280,0,0,0,2162,11391,11892,274,12166,0.502,0,2573,2750,17489,28880,24207,0,24805,-157,0,-18102,0,30753,1295,32048,0.505
27,2008,3001,0,3001,5373,0,0,0,5373,0,0,0,0,1124,1124,2168,11666,2249,4937,15444,11739,1169,553,33842,-16310,17532,23893,21465,7157,50831,62497,4355,0,0,1625,5980,3529,0,3529,2082,0,2082,0,11591,11110,241,11351,0.46,1157,2670,2061,17239,28830,26546,0,28413,-81,0,-22555,0,32323,1344,33667,0.517
27,2009,3417,0,3417,0,0,0,4854,4854,0,0,0,0,1271,1271,2347,11889,2554,4792,15929,12228,1350,693,34992,-17395,17597,23930,21683,7147,51228,63117,4002,0,355,1259,5616,1206,0,1206,2112,0,2112,0,8934,11495,226,11721,0.383,3069,2069,1899,18758,27692,27038,0,31033,-1644,0,-22693,0,33734,1691,35425,0.534
27,2010,2722,0,2722,5454,0,0,330,5784,0,0,0,0,1442,1442,2277,12225,2513,4782,15998,12575,2180,644,36179,-18373,17806,29181,24100,7481,56981,69206,4413,0,0,0,4413,2350,0,2350,2541,0,2541,1696,11000,10130,224,10354,0.339,3378,2874,2258,18864,29864,28736,0,34327,-1881,0,-23663,0,37519,1823,39342,0.542
27,2011,3185,0,3185,5947,0,0,235,6182,0,0,0,0,1595,1595,2795,13757,2435,4854,17662,13476,2625,650,39267,-19572,19695,29266,24145,6971,58367,72124,4546,0,348,0,4894,3055,0,3055,2671,0,2671,1468,12088,10922,288,11210,0.382,4223,3099,2051,20583,32671,30296,0,38375,-2630,0,-28656,0,37385,2068,39453,0.518
27,2012,3387,0,3387,6313,0,0,227,6540,0,0,0,0,1537,1537,2245,13709,2723,5055,0,14317,2453,20374,42199,-20687,21512,30125,25110,6829,61189,74898,4619,0,0,1774,6393,3614,0,3614,2806,0,2806,0,12813,10697,284,10981,0.367,4828,2526,1792,20127,32940,31731,0,42965,-3266,0,-31671,0,39759,2199,41958,0.531
27,2013,3931,0,3931,6694,0,0,273,6967,0,0,0,0,1487,1487,1724,14109,2849,5336,0,15135,2476,21892,44839,-22459,22380,34694,27324,7209,67132,81241,4899,0,0,1904,6803,1512,0,1512,3389,0,3389,0,11704,12776,0,12776,0.315,2091,4050,2470,21387,33091,33440,0,47758,-1187,0,-34582,0,45429,2721,48150,0.559
27,2014,3421,0,3421,7428,0,0,394,7822,0,0,0,0,1574,1574,2352,15169,2696,5504,0,15701,3553,22296,47054,-23722,23332,35315,27881,7629,68972,84141,5371,0,0,2224,7595,2164,0,2164,3533,0,3533,0,13292,12631,0,12631,0.329,3481,4098,2461,22671,35963,34301,0,53734,-1968,0,-41109,0,44958,3220,48178,0.534
27,2015,4269,0,4269,7613,0,0,406,8019,0,0,0,0,1571,1571,2899,16758,2643,1250,0,0,6028,42745,50023,-24844,25179,34998,27826,8604,71424,88182,5504,0,0,2340,7844,4563,0,4563,3927,0,3927,0,16334,12773,0,12773,0.389,3940,4051,2429,23193,39527,35122,0,59028,-2421,0,-47204,0,44525,4130,48655,0.505
27,2016,4610,0,4610,8458,0,0,607,9065,0,0,0,0,1390,1390,1901,16966,4280,5842,0,16912,2684,28760,54198,-26849,27349,34759,27810,8679,75067,92033,6860,0,0,2270,9130,3687,0,3687,4025,0,4025,0,16842,16483,0,16483,0.466,5184,3679,2522,27868,44710,35859,0,66088,-3979,0,-54703,0,43265,4058,47323,0.47
27,2017,4017,0,4017,7611,0,0,1022,8633,0,0,0,0,1373,1373,1866,15889,3202,6848,0,18908,2145,29542,57443,-29037,28406,38421,31426,9871,79900,95789,6305,0,0,2550,8855,6172,0,6172,4568,0,4568,0,19595,19119,0,19119,0.612,3281,4480,3162,30042,49637,36248,0,72606,-3528,0,-64011,0,41315,4837,46152,0.431
27,2018,4150,0,4150,8268,0,0,1066,9334,0,0,0,0,1392,1392,1949,16825,2899,7035,0,19400,3942,29927,60304,-30764,29540,38081,31269,11253,81773,98598,6503,0,0,2976,9479,3790,0,3790,4591,0,4591,0,17860,17084,0,17084,0.428,2712,3109,3878,26783,44643,36779,0,82679,-3097,0,-67588,0,48773,5182,53955,0.495
27,2019,5418,0,5418,12930,0,0,2551,15481,0,0,0,0,1649,1649,5576,28124,3224,1165,0,0,4264,58589,64018,-32415,31603,103508,80293,27525,165860,193984,13778,0,0,3984,17762,8857,0,8857,4722,0,4722,0,31341,38129,0,38129,0.529,4783,7902,8977,59791,91132,53907,0,42494,-6617,0,-907,0,88877,13975,102852,0.458
27,2020,17914,0,17914,11299,0,0,1409,12708,0,0,0,0,1583,1583,3046,35251,3903,1035,0,0,4449,62111,67595,-35517,32078,96862,77689,33455,166298,201549,13183,0,0,3618,16801,5711,0,5711,4116,0,4116,0,26628,52917,2911,55828,0.736,6451,7288,7842,77409,104037,54497,0,38315,-8322,0,-907,0,83583,13929,97512,0.415
27,2021,15959,0,15959,11177,0,0,2190,13367,0,0,0,0,1331,1331,3000,33657,3935,8192,0,24008,4521,33823,70544,-37920,32624,95186,78071,38207,169952,203609,16357,0,0,4537,20894,5866,0,5866,4317,0,4317,0,31077,48540,3229,51769,0.651,4132,7246,7161,70308,101385,55471,0,40429,-6440,0,-907,0,88553,13671,102224,0.435
27,2022,11615,0,11615,10811,0,0,1841,12652,0,0,0,0,1742,1742,3089,29098,3218,8897,0,24409,4814,34832,72952,-39356,33596,92734,77897,44985,174533,203631,16205,378,0,3630,20213,3070,0,3070,5790,0,5790,0,29073,45299,3239,45299,0.509,1940,8363,10578,66180,95253,56398,0,43636,-4119,0,-907,0,95008,13370,108378,0.467
27,2023,14182,0,14182,10179,0,0,2151,12330,0,0,0,0,1963,1963,4288,32763,3080,8595,0,26358,6285,36313,77551,-42610,34941,90128,77067,44667,172816,205579,15125,2276,0,3270,20671,4330,0,4330,6138,0,6138,0,31139,42101,0,42101,0.468,0,7258,12069,61428,92567,57383,0,46093,-3292,0,-907,0,99277,13735,113012,0.483
