enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
29,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0
29,2003,57.752,88.579,146.331,61.994,0,0,0,61.994,0,0,0,0,0,0,23.47,231.796,0,0,0.908,80.599,5.379,0,86.886,-33.013,53.873,0.096,0,1.127,55.096,286.892,9.394,0,0,38.438,47.832,4.35,0,4.35,11.345,0,11.345,25.981,89.508,6.512,0,6.512,0.062,0,0.58,16.339,23.431,112.939,0,44.346,85.704,-39.652,83.41,0,0.145,173.953,0,173.953,0.606
29,2004,148.995,185.723,334.718,154.69,0,0,0,154.69,0,0,0,0,0,0,70.83,560.234,0,0,0,6.803,42.94,212.094,261.837,-73.582,188.255,105.556,87.44,17.413,311.224,871.458,46.175,20.705,0,115.083,181.963,0,4.621,4.621,15.346,0,15.346,33.522,235.452,0,1.988,1.988,0.011,0,23.524,21.724,47.236,282.688,0,44.346,191.352,1.66,725.219,0,-373.807,588.77,0,588.77,0.676
29,2005,426.873,1705.424,2132.297,311.836,0,0,70.509,382.345,0,0,0,0,0,0,178.82,2693.465,0,0,0,11.974,49.35,521.744,583.068,-204.152,378.916,193.887,122.82,47.083,619.886,3313.351,32.672,0,0,186.655,219.327,0,1.902,1.902,36.508,0,36.508,82.631,340.368,0,0,0,0.001,0,7.443,36.484,43.927,384.295,0,0,590.471,5.436,2582.352,0,-249.203,2929.056,0,2929.056,0.884
29,2006,3877.174,4157.073,8034.247,687.976,0,0,0,687.976,0,0,0,0,0,0,278.85,9001.071,0,124.752,115.108,16.719,211.088,949.758,1417.425,-455.676,961.749,277.683,194.9,31.31,1270.742,10271.813,115.575,0,0,528.936,644.511,0,0,0,73.099,0,73.099,27.774,745.384,0,0,0,0,0,35.419,72.053,107.472,852.856,0,0,2055.868,-114.996,7477.792,0,0.293,9418.957,0,9418.957,0.917
29,2007,3544.671,7699.243,11243.914,1322.34,0,0,0,1322.34,0,0,0,0,0,0,473.59,13039.847,1031.85,352.112,0,36.028,850.164,2051.29,3289.594,-894.355,2395.239,1891.96,1545.12,114.455,5433.504,18473.351,211.169,0,0,636.611,847.78,0,0,0,105.136,0,105.136,351.671,1304.587,0,0,0,0,0,60.427,68.497,128.924,1433.511,0,0,5133.314,23.311,11882.906,0,0.309,17039.84,0,17039.84,0.922
29,2008,6081.593,8137.02,14218.613,2162.521,0,0,145.253,2307.774,0,0,0,0,0,0,762.75,17289.138,1059.694,951.334,0,52.127,1364.651,3151.8,5519.912,-1480.651,4039.261,2745.964,2299.37,201.749,8046.668,25335.806,282.106,0,0,987.033,1269.139,0,0,0,178.073,0,178.073,588.39,2035.602,0,0,0,0,0,30.249,580.276,610.525,2646.127,0,0,9334.772,113.373,13241.221,0,0.313,22689.679,0,22689.679,0.896
29,2009,8656.672,7189.099,15845.771,2642.192,0,0,0,2642.192,0,0,0,0,0,0,1690.22,20178.182,85.16,1725.336,0,61.462,1643.136,4146.407,7576.341,-2342.498,5233.843,5836.544,4839.85,433.846,11589.393,31767.575,178.004,81.549,0,1012.81,1272.363,0,0,0,218.084,0,218.084,811.643,2302.09,0,0,0,0,0,42.333,1184.29,1226.623,3528.713,0,0,13561.63,226.579,14450.338,0,0.315,28238.862,0,28238.862,0.889
29,2010,10198,14287,24485,3178,0,0,23,3201,0,0,0,0,0,0,1481,29167,129,1907,0,65,1644,4514,8130,-3285,4845,5678,4903,678,11330,40497,216,0,0,1264,1480,0,0,0,285,0,285,982,2747,0,0,0,0,0,42,1704,1746,4493,15817,0,20082,105,0,0,0,36004,0,36004,0.889
29,2011,12030,21345,33375,4252,0,0,750,5002,0,0,0,0,0,0,3185,41562,523,3969,0,65,2329,5408,11771,-4012,7759,7300,6256,707,16289,57851,483,37,2361,1846,4727,3465,0,3465,394,0,394,1410,9996,0,0,0,0.075,0,35,1579,1614,11610,18235,0,27868,138,0,0,0,46241,0,46241,0.799
