enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
30,1994,100,0,100,0,0,0,198.4,198.4,0,0,0,0,1293.5,1293.5,374.7,1966.6,0,0,0,0,0,2618.4,2618.4,-247.5,2370.9,19.5,0,343.9,2734.3,4700.9,521.2,0,0,0,521.2,1.5,0,1.5,0,0,0,449.9,972.6,842,0,842,0.3,0,27.8,44.4,914.2,1886.8,0,0,1436,0,0,0,1378.1,2814.1,0,2814.1,0.599
30,1995,1.2,0,1.2,0,0,0,272.2,272.2,0,0,0,0,1749.3,1749.3,110.3,2133,0,0,0,0,0,3747.2,3747.2,-350,3397.2,88.5,0,159.3,3645,5778,681.3,0,0,0,681.3,22.7,0,22.7,0,0,0,510.2,1214.2,983.3,0,983.3,0.292,0,19.3,68,1070.6,2284.8,0,0,1937.3,0,0,0,1504.9,3442.2,51,3493.2,0.596
30,1996,53.3,0,53.3,0,0,0,325.4,325.4,0,0,0,0,2180.3,2180.3,113,2672,0,0,0,0,0,4968.9,4968.9,-507.9,4461,87.2,0,133.8,4682,7354,824.8,0,0,0,824.8,2.3,0,2.3,0,0,0,589.4,1416.5,720.1,0,720.1,0.145,0,37.2,115.8,873.1,2289.6,0,0,2579.1,0,0,0,2408.7,4987.8,76.6,5064.4,0.678
30,1997,146,0,146,0,0,0,388.4,388.4,0,0,0,0,2708.3,2708.3,466.7,3709.4,0,0,0,0,0,6149.8,6149.8,-712.8,5437,86.5,0,108.8,5632.3,9341.7,1089.7,0,0,0,1089.7,2.5,0,2.5,0,0,0,749.9,1842.1,1246.6,0,1246.6,0.21,0,66,134,1446.6,3288.7,0,0,3406.6,0,0,0,2548.6,5955.2,97.8,6053,0.637
30,1998,172,0,172,0,0,0,556,556,0,0,0,0,3602,3602,130,4460,0,0,0,0,0,7487,7487,-978,6509,140,0,120,6769,11229,1358,0,0,0,1358,8,0,8,0,0,0,1090,2456,1303,0,1303,0.185,0,78,178,1559,4015,0,0,4430,0,0,0,2668,7098,116,7214,0.632
30,1999,62,0,62,469,0,0,0,469,0,0,0,0,4293,4293,109,4933,0,0,0,0,0,9422,9422,-1262,8160,268,0,104,8532,13465,1586,0,0,0,1586,14,0,14,0,0,0,1257,2857,1566,0,1566,0.181,0,85,208,1859,4716,0,0,5876,0,0,0,2864,8740,9,8749,0.649
30,2000,168,2,170,587,0,0,0,587,0,0,0,0,5489,5489,144,6390,0,0,0,0,0,11890,11890,-1663,10227,311,0,153,10691,17081,1993,0,0,0,1993,29,0,29,0,0,0,1634,3656,750,0,750,0.063,0,87,237,1074,4730,115,0,7941,-34,4319,0,0,12341,10,12351,0.722
30,2001,167,10,177,835,0,0,0,835,0,0,0,0,6556,6556,209,7777,0,4230,6832,2877,1032,261,15232,-2164,13068,314,314,226,13608,21385,1976,0,0,2029,4005,4,0,4,0,0,0,376,4385,1545,0,1545,0.103,0,195,245,1985,6370,116,0,10151,-73,4810,0,0,15004,11,15015,0.702
30,2002,2477,69,2546,920,0,0,0,920,0,0,0,0,6725,6725,170,10361,0,4972,8448,3403,1049,257,18129,-2754,15375,419,419,239,16033,26394,3436,0,0,1650,5086,5,0,5,851,0,851,559,6501,1250,0,1250,0.069,0,189,372,1811,8312,117,0,12799,-246,5412,0,0,18082,0,18082,0.685
30,2003,2188,65,2253,1072,0,0,0,1072,0,0,0,0,8338,8338,254,11917,0,5560,10069,4074,724,306,20733,-3565,17168,575,575,351,18094,30011,4560,0,0,1943,6503,0,0,0,998,0,998,534,8035,1321,0,1321,0.067,0,362,491,2174,10209,118,0,15971,-145,5858,-2000,0,19802,0,19802,0.66
30,2004,1103,1749,2852,1097,0,0,0,1097,0,0,0,0,9076,9076,303,13328,0,6397,11862,5163,820,352,24594,-4531,20063,833,833,213,21109,34437,5159,0,0,2011,7170,509,0,509,1281,0,1281,594,9554,856,0,856,0.061,0,967,653,2476,12030,119,0,19680,14,6184,-3590,0,22407,0,22407,0.651
30,2005,506,1659,2165,1499,0,0,0,1499,0,0,0,0,10076,10076,450,14190,0,6932,13516,6195,1404,390,28437,-5711,22726,1394,1394,597,24717,38907,5766,0,0,2633,8399,11,0,11,1546,0,1546,573,10529,2148,0,2148,0.089,0,1309,763,4220,14749,119,0,23962,119,6650,-6692,0,24158,0,24158,0.621
30,2006,793,14,807,2396,0,0,0,2396,0,0,0,0,11401,11401,665,15269,0,7924,15263,7073,843,427,31530,-6629,24901,3286,3286,949,29136,44405,6032,0,0,2628,8660,1413,0,1413,1757,0,1757,876,12706,2672,0,2672,0.152,0,946,1172,4790,17496,120,0,28943,409,7149,-9712,0,26909,0,26909,0.606
30,2007,600,14,614,3223,0,0,0,3223,0,0,0,0,12822,12822,1341,18000,0,8355,16606,7799,1123,475,34358,-7753,26605,6314,6314,1344,34263,52263,7356,0,0,3231,10587,18,0,18,1634,0,1634,692,12931,11643,0,11643,0.466,0,1416,1243,14302,27233,121,0,33052,310,7930,-16383,0,25030,0,25030,0.479
30,2008,445,12,457,0,0,0,1259,1259,0,0,0,0,11731,11731,1227,14674,0,8398,16642,8050,1435,1887,36412,-8936,27476,1209,1209,965,29650,44324,5732,505,0,1854,8091,2047,0,2047,1474,0,1474,1094,12706,11383,0,11383,0.758,0,688,1833,13904,26610,85,0,11388,755,5800,-314,0,17714,0,17714,0.4
30,2009,519,6,525,0,0,0,972,972,0,0,0,0,10673,10673,1192,13362,0,8301,16961,8741,625,1849,36477,-10243,26234,1134,1134,434,27802,41164,4822,626,0,2773,8221,1767,0,1767,1165,0,1165,0,11153,9667,0,9667,0.643,0,369,2198,12234,23387,85,0,12093,-77,6048,-372,0,17777,0,17777,0.432
30,2010,1421,0,1421,0,0,0,964,964,0,0,0,0,10188,10188,1327,13900,0,8451,17391,9091,525,1887,37345,-11795,25550,1171,1171,256,26977,40877,4863,470,0,2852,8185,1020,0,1020,1158,0,1158,0,10363,8662,0,8662,0.499,0,319,2140,11121,21484,86,0,13226,362,6304,-585,0,19393,0,19393,0.474
30,2011,545,0,545,0,0,0,1085,1085,0,0,0,0,10625,10625,1224,13479,0,8497,17606,9687,654,1941,38385,-13325,25060,1187,1187,399,26646,40125,4717,381,0,2805,7903,1042,0,1042,1177,0,1177,0,10122,8707,0,8707,0.516,0,272,2135,11114,21236,86,0,14995,445,6556,-3193,0,18889,0,18889,0.471
30,2012,1987,0,1987,1245,0,0,0,1245,0,0,0,10325,0,10325,963,14520,0,8480,17737,10040,758,1960,38975,-14527,24448,1120,1120,430,25998,40518,4856,414,0,2929,8199,30,0,30,1147,0,1147,0,9376,10758,0,10758,0.603,0,340,2146,13244,22620,87,0,17246,293,6966,-6694,0,17898,0,17898,0.442
30,2013,2494,0,2494,1395,0,0,0,1395,0,0,0,10710,0,10710,773,15372,0,8485,17981,9338,647,2040,38491,-14422,24069,1170,1170,473,25712,41084,5376,494,0,3001,8871,1321,0,1321,1270,0,1270,0,11462,9475,0,9475,0.607,0,319,2051,11845,23307,88,0,20038,397,7948,-10694,0,17777,0,17777,0.433
30,2014,1929,0,1929,1398,0,0,0,1398,0,0,0,11057,0,11057,895,15279,0,8375,17950,10107,548,2084,39064,-15716,23348,1289,1289,602,25239,40518,5797,408,0,3174,9379,33,0,33,1337,0,1337,0,10749,14691,0,14691,1.176,0,514,2042,17247,27996,88,0,23180,46,8402,-19194,0,12522,0,12522,0.309
30,2015,1723,0,1723,1484,0,0,0,1484,0,0,0,11079,0,11079,1016,15302,0,8243,17759,9602,585,2324,38513,-15793,22720,1353,1353,571,24644,39946,5807,469,0,3197,9473,328,0,328,1468,0,1468,0,11269,16869,0,16869,1.845,0,642,1844,19355,30624,88,0,26995,-452,8885,-26194,0,9322,0,9322,0.233
30,2016,2216,0,2216,1890,0,0,0,1890,0,0,0,11809,0,11809,569,16484,0,8149,17667,10279,670,2501,39266,-17075,22191,2102,2102,1196,25489,41973,6565,510,0,3456,10531,427,0,427,1566,0,1566,0,12524,20789,0,20789,3.359,0,379,1965,23133,35657,88,0,30973,-898,9347,-33194,0,6316,0,6316,0.15
30,2017,2538,0,2538,1570,0,0,459,2029,0,0,0,12549,0,12549,608,17724,0,8207,17772,11020,739,2688,40426,-18512,21914,2093,2093,1235,25242,42966,7000,533,0,3679,11212,1252,0,1252,1669,0,1669,0,14133,22349,0,22349,5.447,0,296,1855,24500,38633,88,0,35519,-867,9787,-40194,0,4333,0,4333,0.101
30,2018,3595,0,3595,1604,0,0,348,1952,0,0,0,12748,0,12748,638,18933,0,8352,18073,11506,538,2945,41414,-19339,22075,2275,2275,1246,25596,44529,7244,574,0,3810,11628,2761,0,2761,1805,0,1805,0,16194,24267,0,24267,18.589,0,440,2174,26881,43075,89,0,39935,-566,10192,-48196,0,1454,0,1454,0.033
30,2019,1778,0,1778,1640,0,0,296,1936,0,0,0,13925,0,13925,890,18529,0,8363,18199,12460,820,3097,42939,-20564,22375,2252,2252,847,25474,44003,7755,667,0,4117,12539,2395,0,2395,1782,0,1782,0,16716,26807,0,26807,-15.55,0,491,1867,29165,45881,89,0,46423,-772,10578,-58196,0,-1878,0,-1878,-0.043
30,2020,2133,0,2133,1738,0,0,368,2106,0,0,0,14531,0,14531,1040,19810,0,8390,18432,13666,1005,8962,50455,-22090,28365,2254,2254,807,31426,51236,7787,660,0,4171,12618,2813,828,3641,2116,0,2116,0,18375,28670,5066,33736,-11.995,0,706,1535,35977,54352,89,0,51729,-739,11001,-65196,0,-3116,0,-3116,-0.061
