enterprise_id,years,balance_statement_cash_and_cash_equivalents,money_market_investments,gross_loan,allowance_for_loans_and_lease_losses,unearned_income,net_loan,securities_&_investments,accounts_receivable,notes_receivable,other_current_receivables,total_receivables,"property,_plant_and_equipment",intangible_assets,goodwill,other_assets_for_banks,total_assets,total_deposits,accounts_payable_&_accrued_expense,short-term_debt_&_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,other_liabilities_for_banks,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
33,1994,26788.356,0,0,0,0,209605.94,0,0,0,0,0,7072.067,0,0,63389.74,306856.103,6086.918,276973.256,0,7672.623,0.556,0,290732.797,0,0,0,0,0,0,13806.875,13806.875,2316.431,16123.306,0.045
33,1995,33955.568,0,0,0,0,214731.954,0,0,0,0,0,7687.257,0,0,58679.237,315054.016,12533.809,274891.734,0,8143.771,0.483,0,295569.314,0,0,0,0,0,0,16869.127,16869.127,2615.575,19484.702,0.054
33,1996,39716.608,0,0,0,0,230179.554,0,0,0,0,0,8946.783,0,0,71639.161,350482.106,13307.374,304774.708,0,8558.934,0.414,0,326641.016,0,0,0,0,0,0,20685.765,20685.765,3155.325,23841.09,0.059
33,1997,3106.484,0,0,0,0,279708.532,0,0,0,0,0,10682.604,0,0,111600.507,405098.127,289719.834,2693.77,0,25302.257,0.973,57735.384,375451.245,3449,0,17428.16,0,512.039,0,4618.61,26007.809,3639.073,29646.882,0.064
33,1998,2972.294,0,0,0,0,328155.789,0,0,0,0,0,13082.722,0,0,129225.352,473436.157,334371.487,4060.041,0,36021.292,1.325,68187.529,442640.349,3419,0,18992.594,0,490.974,0,4277.886,27180.454,3615.354,30795.808,0.057
33,1999,82436.619,0,0,0,0,515341.261,0,0,0,0,0,20163.682,243.137,0,186377.502,804562.201,49724.758,685841.614,0,18058.719,0.396,0,753625.091,0,0,0,0,0,0,45633.07,45633.07,5304.041,50937.111,0.057
33,2000,67918.101,0,0,0,0,597127.08,0,0,0,0,0,22459.588,11416.565,0,294444.444,993365.778,40110.657,861646.926,0,26919.048,0.462,0,928676.631,0,0,0,0,0,0,58309.771,58309.771,6379.376,64689.147,0.059
33,2001,70655.107,0,0,0,0,592270.571,0,0,0,0,0,20941.87,22537.031,0,300008.954,1006413.533,57157.366,846046.401,0,24229.297,0.356,0,927433.064,0,0,0,0,0,0,68063.692,68063.692,10916.777,78980.469,0.068
33,2002,6185,26608,0,-8161,0,413290,0,0,0,0,0,13521,14564,0,222077,696245,503631,0,0,42578,0.918,97147,643356,4678,0,0,0,0,0,41710,46388,6501,52889,0.067
33,2003,7659,27586,0,-9117,0,447840,0,0,0,0,0,14181,17163,0,244817,759246,548371,0,0,53336,1.018,98580,700287,4741,0,33335,0,3647,0,10683,52406,6553,58959,0.069
