enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
34,1994,5861,1272,7133,12984,0,6428,0,19412,0,0,0,0,7565,7565,5092,39202,20687,0,0,0,0,47504,47504,-29983,17521,3703,0,0,41911,81113,3400,1589,0,10436,15425,12097,0,12097,3575,0,3575,2053,33150,15245,0,15245,1.385,0,1803,11177,28225,61375,6980,1091,10009,1658,0,0,0,19738,0,19738,0.243
34,1995,7922,2632,10554,15182,0,6351,0,21533,0,0,0,0,6334,6334,2917,41338,20126,0,0,0,0,44820,44820,-28156,16664,2963,0,0,39753,81091,3778,1771,0,7930,13479,9570,0,9570,3475,0,3475,2702,29226,12548,0,12548,0.945,0,1881,14023,28452,57678,7342,1081,12352,2672,0,-34,0,23413,0,23413,0.289
34,1996,7259,442,7701,17441,0,5961,0,23402,0,0,0,0,6323,6323,3265,40691,20603,0,0,0,0,43981,43981,-27402,16579,2419,0,0,39601,80292,4511,2634,0,6551,13696,11569,0,11569,3469,0,3469,2914,31648,10060,0,10060,0.965,0,1807,14354,26221,57869,7488,253,11630,3093,0,-41,0,22423,0,22423,0.279
34,1997,7687,450,8137,17446,0,5721,0,23167,0,0,0,0,5870,5870,3521,40695,21595,0,0,0,0,41893,41893,-24486,17407,1435,0,0,40437,81132,4767,3029,0,6657,14453,12957,0,12957,3640,0,3640,2950,34000,9872,0,9872,1.056,0,1627,14005,25504,59504,7752,253,11189,2569,0,-135,0,21628,0,21628,0.267
34,1998,7106,447,7553,18106,0,5720,0,23826,0,0,0,0,5139,5139,3900,40418,21915,0,0,0,0,42133,42133,-23786,18347,819,0,0,41081,81499,5215,2381,0,6193,13789,13230,0,13230,3445,0,3445,3043,33507,13696,0,13696,1.359,0,1487,12993,28176,61683,8601,252,11010,899,0,-86,-860,19816,0,19816,0.243
34,1999,5375,393,5768,20271,0,6510,0,26781,0,0,0,0,5200,5200,4611,42360,23510,0,0,0,0,44870,44870,-25239,19631,599,0,0,43740,86100,6252,3125,0,5900,15277,13905,0,13905,4115,0,4115,3530,36827,15508,0,15508,1.514,0,1514,12818,29840,66667,10121,247,10141,911,0,-1987,0,19433,0,19433,0.226
34,2000,5043,788,5831,10462,0,17156,0,27618,0,3706,0,1162,0,4868,4838,43155,13672,1026,10395,28195,0,0,39616,-22026,17590,0,0,13078,44340,87495,6400,4792,0,5787,16979,14230,0,14230,4529,0,4529,3840,39578,14124,0,14124,1.382,8876,2435,1971,27406,66984,11762,247,16878,1161,0,-7375,-2162,20511,0,20511,0.234
34,2001,3563,159,3722,12021,0,18705,0,30726,0,3319,0,1446,0,4765,4667,43880,14447,896,9904,27655,0,0,38455,-21741,16714,0,0,13308,44469,88349,8192,4827,0,4865,17884,10205,0,10205,4516,0,4516,3801,36406,18371,0,18371,1.386,8482,2889,1577,31319,67725,12400,247,23784,-295,0,-13800,-1712,20624,0,20624,0.233
34,2002,6330,63,6393,10362,0,16656,0,27018,0,3045,0,1259,0,4304,4746,42461,0,859,10073,27443,0,0,38375,-21871,16504,1634,0,29704,47842,90303,7047,0,0,0,7047,11188,0,11188,4223,0,4223,12661,35119,15963,0,15963,1.158,0,1485,14288,31736,66855,14248,0,30142,-828,0,-20114,0,23448,0,23448,0.26
34,2003,5382,593,5975,11362,0,15996,0,27358,0,2188,0,960,0,3148,5171,41652,0,837,8978,26268,0,0,36083,-21643,14440,4677,0,35715,54832,96484,7630,0,0,6413,14043,6031,0,6031,5276,0,5276,9200,34550,19986,0,19986,1.142,0,1450,17716,39152,73702,14858,0,31555,-3418,0,-20213,0,22782,0,22782,0.236
34,2004,7290,357,7647,11340,0,18316,-733,28923,0,1950,0,992,0,2942,5150,44662,7294,865,9261,22317,0,3710,36153,-21464,14689,8645,6921,29167,59795,104457,8460,5475,0,6879,20814,6646,0,6646,6492,0,6492,3671,37623,16986,0,16986,0.848,14830,3676,3478,38970,76593,16269,0,37525,-1896,0,-24034,0,27864,0,27864,0.267
34,2005,10053,517,10570,12335,0,16482,-681,28136,0,2137,0,1179,0,3316,5121,47143,7115,840,9100,22701,0,3744,36385,-21210,15175,10226,8437,31344,63860,111003,9444,4728,0,6536,20708,8099,0,8099,7175,0,7175,3804,39786,14828,0,14828,0.724,15883,3992,4826,39529,79315,26673,0,38148,-2061,0,-31072,0,31688,0,31688,0.285
34,2006,12568,1118,13686,10678,0,14172,-422,24428,0,1939,0,902,0,2841,4706,45661,4974,0,0,0,0,34261,34261,-20505,13756,11104,9441,30253,60087,105748,7349,4710,0,5233,17292,7216,0,7216,7319,0,7319,3325,35152,15425,0,15425,0.684,13779,4053,4241,37498,72650,28926,0,44734,-2016,0,-38546,0,33098,0,33098,0.313
34,2007,8022,2634,10656,11753,0,15402,-307,26848,0,2304,0,506,0,2810,4346,44660,8381,693,8243,23907,0,3679,36522,-22082,14440,15057,12854,20696,58574,103234,7964,4670,0,5372,18006,8902,0,8902,8587,0,8587,4596,40091,13780,0,13780,0.796,13553,3167,4137,34637,74728,31271,0,52432,-8901,0,-46296,0,28506,0,28506,0.276
34,2008,14991,1155,16146,12500,0,16585,-296,28789,0,1996,0,668,0,2664,5578,53177,5248,701,8498,29386,0,0,38585,-23503,15082,16392,14285,30532,67254,120431,8054,0,0,5901,13955,12235,0,12235,9802,0,9802,8318,44310,23039,0,23039,1.239,14640,4124,5848,47651,91961,35188,0,60640,-3414,0,-63945,1,28470,0,28470,0.236
34,2009,12741,166,12907,12078,0,15828,-351,27555,0,2176,0,524,1,2701,5841,49004,5058,729,8819,24950,0,3947,38445,-24140,14305,21104,18226,20053,60520,109524,7014,2743,0,6580,16337,11236,0,11236,10239,0,10239,4623,42435,22689,0,22689,2.519,19452,3171,8193,53505,95940,39129,0,70353,-21845,0,-74171,-1,13465,119,13584,0.123
