enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
35,2005,1012.916,0,1012.916,315.007,0,0,0,315.007,49.781,22.168,0,607.671,-0.001,679.619,41.95,2049.492,0,775.091,2957.852,129.647,110.608,481.143,4454.341,-1345.702,3108.639,102.198,90.262,268.367,3479.204,5528.696,1411.356,174.762,0,0,1586.118,214.873,0,214.873,0,0,0,0,1800.991,156.411,0,156.411,0.119,0,0,430.48,586.891,2387.882,123,0,2919.86,0,26.744,-9.799,58.408,3118.213,22.601,3140.814,0.564
35,2006,1198.067,0,1198.067,396.754,0,0,0,396.754,0,0,0,0,829.566,829.566,56.36,2480.742,0,0,0,0,0,3419.057,3419.057,0,3419.057,107.107,95.867,299.595,3825.759,6306.501,1829.728,160.133,0.001,0,1989.862,253.566,0,253.566,0,0,0,0,2243.428,92.241,0,92.241,0.098,0,0,430.379,522.62,2766.048,113,0,3294.189,0,24.702,-8.448,90.349,3513.792,26.661,3540.452,0.557
35,2007,1176.816,0,1176.816,472.253,0,0,0,472.253,0,0,0,0,1070.004,1070.004,70.97,2790.042,0,0,0,0,0,4211.704,4211.704,0,4211.704,148.327,128.558,307.28,4667.311,7457.353,2102.37,156.934,0,0,2259.304,188.412,0,188.412,0,0,0,0,2447.716,61.447,0,61.447,0.056,0,0,440.912,502.359,2950.075,121,0,4315.11,0,26.466,-9.052,24.888,4478.412,28.866,4507.278,0.601
35,2008,2158.814,0,2158.814,682.94,0,0,0,682.94,68.328,35.09,0,1379.959,0,1483.377,66.03,4391.156,0,1240.231,0,0,0,5429.626,6669.857,-220.216,6449.641,204.605,184.948,-580.598,6073.648,10464.804,2909.059,164.271,0,0,3073.33,546.798,0,546.798,0,0,0,0,3620.128,62.383,0,62.383,0.099,0,0,571.608,633.991,4254.119,138,0,6078.146,0,30.013,-10.202,-60.503,6175.454,35.231,6210.685,0.59
35,2009,1942.107,0,1942.107,775.246,0,0,0,775.246,60.395,23.434,0,1313.31,0,1397.139,208.74,4323.233,0,1173.905,5826.105,268.873,346.114,-0.001,7614.996,-3055.63,4559.366,196.24,174.424,1221.354,5976.96,10300.193,2745.882,110.821,0,0,2856.703,309.983,0,309.983,0,0,0,0,3166.686,17.538,0,17.538,0.052,0,0,826.433,843.971,4010.657,124,0,6182.881,0,26.992,-0.817,-79.13,6253.926,35.611,6289.536,0.607
35,2010,3452.368,0,3452.368,601.685,0,0,0,601.685,41.391,29.391,0,1345.153,-0.001,1415.934,155.97,5625.956,0,1399.887,6772.401,321.417,174.541,-0.001,8668.245,-3969.907,4698.338,215.126,187.86,1351.36,6264.824,11890.78,3000.041,238.05,0,0,3238.091,50.011,0,50.011,0,0,0,0.001,3288.103,7.127,0,7.127,0.008,0,0,934.286,941.413,4229.516,133,0,7544.832,0,29.071,-0.88,-103.789,7602.234,59.03,7661.264,0.639
35,2011,4590.176,0,4590.176,644.176,0,0,0,644.176,57.055,34.449,0,1532.324,0,1623.828,97.05,6955.23,0,0,0,0,0,5245.172,5245.172,0,5245.172,215.413,176.056,720.654,6181.239,13136.469,3234.737,285.251,0,0,3519.988,3.586,0,3.586,0,0,0,52.505,3576.079,5.578,0,5.578,0.001,0,0,967.691,973.269,4549.348,125,0,8429.576,0,27.245,-0.825,-43.318,8537.678,49.444,8587.122,0.65
35,2012,4473.228,0,4473.228,278.792,0,0,406.431,685.223,54.986,33.295,0,1559.474,-0.001,1647.754,209.65,7015.857,0,1326.845,0,8241.684,507.592,0,10076.121,-4833.455,5242.666,1073.808,281.406,808.544,7125.018,14140.875,2371.726,263.314,822.003,0,3457.043,0.885,0,0.885,0,0,0,29.522,3487.45,0.926,580.515,581.441,0.061,0,0,451.884,1033.325,4520.775,121,0,9365.361,0,26.295,0,54.836,9567.492,52.608,9620.099,0.677
35,2013,5110.263,346.585,5456.848,395.402,0,0,731.736,1127.138,82.646,38.879,0,1981.263,0.001,2102.789,212.36,8899.136,0,1946.794,0,9411.66,258.668,-0.001,11617.121,-5417.112,6200.009,1090.277,275.386,951.956,8242.242,17141.378,2978.85,219.984,1334.024,0,4532.858,3.081,0,3.081,0,0,0,98.455,4634.394,4.931,724.606,729.537,0.065,0,0,498.376,1227.913,5862.307,124,0,11222.831,0,27.1,0,-142.633,11231.298,47.773,11279.07,0.655
35,2014,5240.771,290.041,5530.812,419.64,0,0,691.023,1110.663,70.891,48.759,0,2164.926,0,2284.576,290.52,9216.568,0,2023.411,0,10479.094,396.01,0,12898.515,-5899.087,6999.428,1152.233,277.193,1373.271,9524.932,18741.5,3230.504,121.228,1309.621,0,4661.353,2.601,0,2.601,0,0,0,53.066,4717.02,2.071,805.932,808.003,0.064,0,0,575.655,1383.658,6100.678,127,0,12826.737,0,27.764,-63.343,-321.095,12597.063,43.759,12640.822,0.672
35,2015,4411.069,258.141,4669.209,417.261,0,0,583.681,1000.942,75.407,25.827,0,2058.483,0,2159.717,423.27,8253.139,0,1908.259,0,10088.611,547.17,-0.001,12544.039,-5528.274,7015.765,1024.403,229.849,1566.159,9606.327,17859.466,2884.347,174.106,1189.843,0,4248.296,9.086,0,9.086,0,0,0,96.657,4354.039,0,777.288,777.288,0.065,0,0,569.369,1346.657,5700.696,109,0,11958.595,0,23.669,-85.196,108.514,12114.582,44.188,12158.77,0.678
35,2016,4587.977,1178.771,5766.748,427.403,0,0,298.772,726.175,95.483,35.782,0,2252.03,0,2383.295,297.76,9173.979,0,2033.928,0,10144.806,553.567,0,12732.301,-5568.927,7163.374,964.451,210.087,1544.176,9672.001,18845.98,3251.793,83.708,1649.69,0,4985.191,11.134,0,11.134,0,0,0,74.414,5070.739,0,794.77,794.77,0.065,0,0,547.471,1342.241,6412.98,102,0,12514.629,0,22.127,-79.646,-170.188,12388.922,44.078,12433,0.657
