enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
41,1994,34,0,34,0,0,0,459,459,0,0,0,0,137,137,61,691,0,0,0,0,0,4732,4732,-2459,2273,0,0,291,2564,3255,153,0,0,0,153,396,0,396,0,0,0,282,831,964,0,964,2.142,0,0,480,1444,2275,0,0,91,0,0,0,544,635,345,980,0.195
41,1995,63,0,63,0,0,0,549,549,0,0,0,0,163,163,65,840,0,0,0,0,0,5033,5033,-2683,2350,90,0,240,2680,3520,215,0,0,0,215,372,0,372,0,0,0,302,889,893,0,893,1.508,0,0,528,1421,2310,0,0,257,0,0,0,582,839,371,1210,0.238
41,1996,15,0,15,0,0,0,617,617,0,0,0,0,228,228,70,930,0,0,0,0,0,5658,5658,-2921,2737,174,0,293,3204,4134,272,0,0,0,272,385,0,385,0,0,0,372,1029,933,0,933,1.176,0,0,643,1576,2605,0,0,474,0,0,0,647,1121,408,1529,0.271
41,1997,63,0,63,914,0,0,0,914,118,40,0,154,0,312,377,1666,0,0,0,0,0,7508,7508,-3239,4269,1173,0,430,5872,7538,408,0,0,0,408,1562,0,1562,0,0,0,580,2550,1703,0,1703,1.633,0,0,793,2496,5046,2,75,698,-126,1350,0,0,1999,493,2492,0.265
41,1998,43,0,43,971,0,0,0,971,120,48,0,161,0,329,154,1497,0,206,489,6629,850,0,8174,-3567,4607,1213,0,493,6313,7810,383,0,0,0,383,431,0,431,0,0,0,552,1366,2874,0,2874,1.504,0,0,852,3726,5092,2,75,1034,-256,1471,-129,0,2197,521,2718,0.281
41,1999,34,0,34,919,0,0,0,919,0,0,0,0,319,319,122,1394,0,0,0,0,0,8678,8678,-3803,4875,1272,0,555,6702,8096,378,0,0,0,378,379,0,379,0,0,0,532,1289,2895,0,2895,1.36,0,357,661,3913,5202,0,75,1380,0,0,0,952,2407,487,2894,0.297
41,2000,76,0,76,848,0,0,0,848,0,0,0,0,310,310,101,1335,0,0,0,0,0,8581,8581,-3861,4720,0,0,1667,6387,7722,361,0,0,0,361,884,0,884,0,0,0,480,1725,2111,0,2111,1.266,0,0,1162,3273,4998,2,75,1722,-828,1613,-219,0,2365,359,2724,0.306
41,2001,31,0,31,876,0,0,0,876,98,38,0,161,0,297,157,1361,0,199,566,7589,539,0,8893,-4122,4771,0,0,1630,6401,7762,409,0,0,0,409,500,0,500,0,0,0,530,1439,2641,0,2641,1.321,0,0,1167,3808,5247,2,20,1987,-1011,1658,-279,0,2377,138,2515,0.306
41,2002,39,0,39,857,0,0,0,857,87,36,0,164,0,287,93,1276,0,233,579,8047,383,0,9242,-4425,4817,0,0,1622,6439,7715,413,0,0,80,493,264,0,264,0,0,0,437,1194,2725,0,2725,1.207,0,0,1178,3903,5097,2,0,2307,-1297,1795,-330,0,2477,141,2618,0.321
41,2003,39,0,39,860,0,0,0,860,78,31,0,168,0,277,110,1286,0,241,575,8273,338,0,9427,-4761,4666,1035,0,414,6115,7401,378,0,0,74,452,238,0,238,0,0,0,410,1100,2510,0,2510,1.174,0,0,1287,3797,4897,2,0,2593,-1673,1965,-547,0,2340,164,2504,0.316
41,2004,50,0,50,962,0,0,0,962,83,33,0,186,0,302,135,1449,0,227,643,9504,421,0,10795,-5543,5252,1131,0,473,6856,8305,413,0,0,104,517,155,0,155,0,0,0,445,1117,2661,0,2661,0.912,0,0,1244,3905,5022,4,0,3027,-1352,2148,-739,0,3088,195,3283,0.372
