enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
48,1994,1477,0,1477,0,0,0,475,475,0,0,0,0,102,102,2258,4312,0,0,0,0,0,1445,1445,-515,930,0,0,121,1051,5363,324,0,0,0,324,0,0,0,0,0,0,589,913,0,0,0,0,0,0,0,0,913,0,0,2950,0,0,0,1500,4450,0,4450,0.83
48,1995,1962,0,1962,0,0,0,581,581,0,0,0,0,88,88,2989,5620,0,0,0,0,0,1907,1907,-715,1192,0,0,398,1590,7210,563,0,0,0,563,0,0,0,0,0,0,784,1347,0,0,0,0,0,0,405,405,1752,0,0,3328,0,0,0,2005,5333,125,5458,0.74
48,1996,2601,0,2601,0,0,0,639,639,0,0,0,0,0,0,4599,7839,0,0,0,0,0,2346,2346,-1020,1326,0,0,928,2254,10093,808,0,0,0,808,0,0,0,0,0,0,1617,2425,0,0,0,0,0,0,635,635,3060,0,0,3984,0,0,0,2924,6908,125,7033,0.684
48,1997,3706,0,3706,980,0,0,0,980,0,0,0,0,0,0,5687,10373,0,0,0,0,0,2777,2777,-1312,1465,0,0,2549,4014,14387,721,0,0,0,721,0,0,0,0,0,0,2889,3610,0,0,0,0,0,0,0,0,3610,0,980,5288,0,0,0,4509,10777,0,10777,0.749
48,1998,3839,0,3839,1460,0,0,0,1460,0,0,0,0,0,0,10590,15889,0,0,0,0,0,3052,3052,-1547,1505,0,0,4963,6468,22357,759,0,0,0,759,0,0,0,0,0,0,4971,5730,0,0,0,0,0,0,0,0,5730,0,980,7622,0,0,0,8025,16627,0,16627,0.744
48,1999,4975,12261,17236,2245,0,0,0,2245,0,0,0,0,0,0,2221,21702,0,0,0,0,0,3516,3516,-1905,1611,0,0,15312,16923,38625,874,0,0,0,874,0,0,0,0,0,0,7928,8802,0,0,0,0,0,1385,0,1385,10187,13844,980,13614,0,0,0,0,28438,0,28438,0.736
48,2000,4846,18952,23798,3250,0,0,0,3250,0,0,0,0,0,0,3260,30308,0,176,1387,1909,0,842,4314,-2411,1903,0,0,19939,21842,52150,1083,0,0,557,1640,0,0,0,4816,0,4816,3299,9755,0,0,0,0,0,1027,0,1027,10782,23195,0,18173,0,0,0,0,41368,0,41368,0.793
48,2001,3922,27678,31600,3671,0,0,0,3671,5,0,0,78,0,83,3856,39210,0,185,1584,2292,0,1214,5275,-2966,2309,1912,0,15399,19620,58830,1188,0,0,742,1930,0,0,0,4395,0,4395,2929,9254,0,0,0,0,0,409,1878,2287,11541,28390,0,18899,0,0,0,0,47289,0,47289,0.804
48,2002,3016,35636,38652,5129,0,0,0,5129,168,0,0,505,0,673,4122,48576,0,197,1701,2621,0,1372,5891,-3623,2268,1669,0,15133,19070,67646,1208,0,0,1145,2353,0,0,0,5920,0,5920,4471,12744,0,0,0,0,0,398,2324,2722,15466,31647,0,20533,0,0,0,0,52180,0,52180,0.771
48,2003,6438,42610,49048,5196,0,0,0,5196,247,0,0,393,0,640,4089,58973,0,248,1854,2464,0,1512,6078,-3855,2223,3512,0,17024,22759,81732,1573,0,0,1416,2989,0,0,0,7225,0,7225,3760,13974,0,0,0,0,0,0,2846,2846,16820,49234,0,15678,0,0,0,0,64912,0,64912,0.794
