enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
49,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0
49,1995,85.8,0,85.8,464.7,0,0,0,464.7,0,0,0,0,309.3,309.3,89.8,949.6,0,0,0,0,292.6,16096.9,16389.5,-6186.7,10202.8,0,0,1465.2,11668,12617.6,311.3,0,0,728.3,1039.6,122.1,0,122.1,0,0,0,-0.1,1161.6,3864.5,0,3864.5,0.841,0,1625.5,1223.5,6713.5,7875.1,0,545.3,0,4197.2,0,0,0,4742.5,0,4742.5,0.376
49,1996,46.2,0,46.2,482.3,0,0,0,482.3,0,0,0,0,247.3,247.3,209.5,985.3,0,0,0,0,317.7,16407.6,16725.3,-6873.3,9852,0,0,1621.9,11473.9,12459.2,305.1,0,0,808.6,1113.7,390.4,0,390.4,0,0,0,0,1504.1,3376.6,0,3376.6,0.796,0,282,2564.4,6223,7727.1,2,339.6,1258.5,-287.5,3419.6,0,-0.1,4732.1,0,4732.1,0.38
49,1997,196,0,196,462,0,0,0,462,0,0,0,0,268,268,247,1173,0,0,0,0,258,16775,17033,-7649,9384,0,0,1662,11046,12219,308,0,0,811,1119,155,0,155,0,0,0,0,1274,3144,0,3144,0.67,0,1531,1346,6021,7295,0,332,0,4592,0,0,0,4924,0,4924,0.403
49,1998,54,0,54,501,0,0,0,501,0,0,0,0,302,302,244,1101,0,0,0,0,0,17820,17820,-8466,9354,0,0,1994,11348,12449,368,0,0,799,1167,332,0,332,0,0,0,0,1499,2949,0,2949,0.647,0,1473,1457,5879,7378,2,226,1804,1,3038,0,0,5071,0,5071,0.407
49,1999,187,0,187,559,0,0,0,559,0,0,0,0,282,282,238,1266,0,0,0,0,214,17738,17952,-9397,8555,0,0,2208,10763,12029,338,0,0,834,1172,469,0,469,0,0,0,0,1641,2347,0,2347,0.526,0,1255,1434,5036,6677,0,226,0,5126,0,0,0,5352,0,5352,0.445
49,2000,361,0,361,482,0,0,0,482,0,0,0,0,343,343,187,1373,0,0,0,0,923,18631,19554,-10290,9264,0,0,2804,12068,13441,407,0,0,999,1406,464,0,464,0,0,0,0,1870,3478,0,3478,0.704,0,1079,1418,5975,7845,0,226,0,5370,0,0,0,5596,0,5596,0.416
49,2001,129,0,129,637,0,0,0,637,0,0,0,0,370,370,645,1781,0,0,0,0,0,21022,21022,-11088,9934,0,0,3585,13519,15300,564,0,0,976,1540,1223,0,1223,0,0,0,0,2763,3976,0,3976,0.893,0,1378,1364,6718,9481,2,226,2803,0,2788,0,0,5819,0,5819,0.38
49,2002,82,0,82,780,0,0,0,780,0,0,0,0,349,349,391,1602,0,0,0,0,1983,21405,23388,-11726,11662,0,0,4199,15861,17463,473,0,0,1184,1657,1982,0,1982,0,0,0,0,3639,4858,0,4858,1.096,0,140,2585,7583,11222,2,226,3207,-219,3025,0,0,6241,0,6241,0.357
49,2003,266,0,266,865,0,0,0,865,0,0,0,0,448,448,329,1908,0,0,0,0,2639,23866,26505,-8805,17700,0,0,3577,21277,23185,458,0,0,1151,1609,2302,0,2302,0,0,0,0,3911,5790,0,5790,1.223,0,1547,5321,12658,16569,2,226,3280,-176,3284,0,0,6616,0,6616,0.285
49,2004,129,0,129,1188,0,0,0,1188,0,0,0,0,458,458,695,2470,0,0,0,0,1364,28908,30272,-9975,20297,0,0,4168,24465,26935,542,0,0,1524,2066,1287,0,1287,0,0,0,0,3353,8723,0,8723,1.436,0,100,7787,16610,19963,2,5,3745,4,3216,0,0,6972,0,6972,0.259
49,2005,225,0,225,1044,0,0,0,1044,0,0,0,0,394,394,864,2527,0,0,0,0,1495,30225,31720,-10494,21226,0,0,4580,25806,28333,762,0,0,1769,2531,1717,0,1717,0,0,0,0,4248,8027,0,8027,1.293,0,81,8440,16548,20796,2,0,4166,-209,3579,0,-1,7537,0,7537,0.266
49,2006,530,0,530,1430,0,0,0,1430,0,0,0,0,567,567,2460,4987,0,0,0,0,945,32406,33351,-10888,22463,0,0,5554,28017,33004,1245,0,0,3459,4704,2563,0,2563,0,0,0,0,7267,8039,0,8039,1.247,0,62,9137,17238,24505,4,0,4506,-193,4182,0,0,8499,0,8499,0.258
49,2007,620,0,620,1656,0,0,0,1656,0,0,0,0,785,785,1769,4830,0,0,0,0,1393,34759,36152,-11653,24499,0,0,6493,30992,35822,1060,0,0,2524,3584,2742,0,2742,0,0,0,0,6326,9591,0,9591,1.242,0,3432,6543,19566,25892,4,0,5256,115,4555,0,0,9930,0,9930,0.277
49,2008,290,0,290,1721,0,0,0,1721,0,0,0,0,857,857,911,3779,0,0,0,0,1713,39327,41040,-12388,28652,0,0,7692,36344,40123,1204,0,0,2136,3340,2418,0,2418,0,0,0,0,5758,11280,0,11280,1.276,0,3821,8529,23630,29388,4,0,5945,116,4670,0,0,10735,0,10735,0.268
49,2009,535,0,535,1443,0,0,264,1707,0,0,0,0,968,968,2182,5392,3870,0,0,0,2630,42898,45528,-13117,32411,0,0,3148,39429,44821,1062,0,0,374,1436,3253,0,3253,0,0,0,3000,7689,13833,0,13833,1.463,0,4231,7387,25451,33140,4,0,6885,-13,4905,0,-100,11681,0,11681,0.261
49,2010,238,0,238,1431,0,0,816,2247,0,0,0,0,877,877,975,4337,4325,0,0,0,2425,47744,50169,-14091,36078,0,0,3718,44121,48458,992,0,0,942,1934,2589,0,2589,377,0,377,1549,6449,16300,0,16300,1.457,0,5560,7182,29042,35491,4,0,7739,169,5055,0,0,12967,0,12967,0.268
49,2011,302,0,302,1509,0,0,1073,2582,0,0,0,0,857,857,1517,5258,4713,0,0,0,3841,50380,54221,-15146,39075,0,0,3948,47736,52994,1124,0,0,833,1957,2809,0,2809,47,0,47,2091,6904,18013,0,18013,1.44,0,6058,7558,31629,38533,4,0,8873,166,5418,0,0,14461,0,14461,0.273
