enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
50,2001,14.895,0,14.895,0,0,0,0,0,0,0,0,0,0,0,0,14.895,0,0,0,0,0,0,0,0,0,0,0,37.593,37.593,52.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.024,2.024,-0.028,0,0,123.731,125.755,125.755,0,0,0,0,0,0,-73.267,-73.267,0,-73.267,-1.396
50,2002,16.131,0,16.131,0,0,0,0,0,0,0,0,0,0,0,3.42,19.552,0,0,1.627,2.033,0,49.569,53.229,-41.391,11.838,7.917,0,2.323,22.078,41.63,13.715,0,0,4.544,18.259,3.012,0,3.012,4.937,0,4.937,0,26.208,2.799,1.057,3.856,-0.076,0,0,102.07,105.926,132.134,0,0.006,-137.266,-5.725,52.479,0,0.002,-90.504,0,-90.504,-2.174
50,2003,59.814,43.796,103.61,0,0,0,0,0,0,0,0,0,0,0,3.47,107.075,0,0,1.636,13.228,0,6.66,21.524,-15.904,5.62,6.094,0,11.741,23.455,130.53,20.35,0,0,9.102,29.452,1.231,0,1.231,9.743,0,9.743,0,40.426,0,0.46,0.46,0.019,0,0,0.288,0.748,41.174,0,0,-159.213,-10.625,259.172,0,0.022,89.356,0,89.356,0.685
50,2004,89.894,45.297,135.191,0,0,0,0,0,0,0,0,0,0,0,3.76,138.946,0,0,2.046,19.411,0,7.868,29.325,-19.553,9.772,2.948,0,24.346,37.066,176.012,32.654,0,0,11.625,44.279,0.416,0,0.416,18.324,0,18.324,0,63.019,0,0.044,0.044,0.004,0,0,0.241,0.285,63.304,0,0,-153.293,-4.886,270.836,0,0.051,112.708,0,112.708,0.64
50,2005,174.461,0,174.461,0,0,0,0,0,0,0,0,0,0,0,12.89,187.346,0,0,2.482,25.131,4.498,10.094,42.205,-23.477,18.728,0.961,0,44.758,64.447,251.793,49.775,0,0,13.131,62.906,0.068,0,0.068,31.936,0,31.936,0,94.91,0,0,0,0,0,0,0.6,0.6,95.51,0,0,-131.698,-4.915,292.843,0,0.053,156.283,0,156.283,0.621
50,2006,212.256,0,212.256,0,0,0,0,0,0,0,0,0,0,0,31.44,243.691,0,0,2.866,43.43,13.266,13.061,72.623,-32.41,40.213,57.489,0,23.288,120.99,364.681,63.491,0,0,25.563,89.054,0,0,0,48.533,0,48.533,0,137.587,0,0,0,0,0,0,0.842,0.842,138.429,0,0,-89.671,0,315.868,0,0.055,226.252,0,226.252,0.62
50,2007,400.43,0,400.43,0,0,0,0,0,0,0,0,0,0,0,27.99,428.418,0,0,14.389,58.092,11.482,16.883,100.846,-45.343,55.503,104.908,0,19.95,180.361,608.779,93.864,0,0,29.905,123.769,0,0,0,69.678,0,69.678,0,193.447,0,0,0,0,0,0,1.121,1.121,194.568,0,0,-40.589,0,454.731,0,0.069,414.211,0,414.211,0.68
50,2008,177.439,207.703,385.142,0,0,0,0,0,0,0,0,0,0,0,31.39,416.532,0,0,18.44,84.607,18.452,22.058,143.557,-66.231,77.326,132.455,0,57.179,266.96,683.492,104.445,0,0,36.466,140.911,0.823,0,0.823,71.665,0,71.665,0,213.399,0,35.652,35.652,0.085,0,0,4.629,40.281,253.68,0,0,25.426,1.611,402.71,0,0.065,429.812,0,429.812,0.629
50,2009,139.881,157.39,297.271,0,0,0,0,0,0,0,0,0,18.691,18.691,42.96,358.925,0,0,40.681,146.023,3.958,33.124,223.786,-98.838,124.948,98.547,0,33.004,256.499,615.424,100.344,0,0,31.394,131.738,0,1.152,1.152,83.127,0,83.127,0,216.017,0,37.988,37.988,0.113,0,0,14.264,52.252,268.269,0,0,108.452,0.084,338.577,-100.02,0.062,347.155,0,347.155,0.564
50,2010,134.224,186.018,320.242,0,0,0,0,0,0,0,0,0,0,0,90.77,411.013,0,0,40.681,175.013,15.097,35.156,265.947,-134.294,131.653,0,0,137.068,268.721,679.734,92.542,0,0,26.96,119.502,0,1.41,1.41,100.097,0,100.097,6.427,227.436,200,36.572,236.572,1.195,0,0,16.583,253.155,480.591,0,0,198.817,0.273,0,0,0.053,199.143,0,199.143,0.293
