enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
52,2011,29.402,0,29.402,9.732,0,0,5.267,14.999,0,0,0,0,0,0,3.09,47.492,0,0,0,1.944,0.298,0.106,2.348,-0.65,1.698,0,0,2.179,3.877,51.369,1.57,6.127,0,3.717,11.414,0,0,0,31.282,0,31.395,2.885,45.694,0,0,0,0,0,9.698,67.239,76.937,122.631,0,0,-71.286,0.008,0,0,0.016,-71.262,0,-71.262,-1.387
52,2012,59.853,0,59.853,24.495,0,0,5.267,29.762,0,0,0,0,0,0,7.28,96.893,0,0,0,7.792,1.031,2.747,11.57,-2.103,9.467,0,0,2.386,11.853,108.746,2.098,6.851,0,5.411,14.36,0,0,0,66.894,0,67.304,6.322,87.986,0,0,0,0,0,10.884,68.257,79.141,167.127,0,0,-61.456,0.118,2.936,0,0.021,-58.381,0,-58.381,-0.537
52,2013,118.989,195.702,314.691,78.163,0,0,0,78.163,0,0,0,0,0,0,29.24,422.089,0,0,0,51.232,4.855,2.649,58.736,-16.394,42.342,0.596,0,13.087,56.025,478.114,9.604,1.941,0,10.999,22.544,0,0,0,153.964,0,153.964,35.119,211.627,0,0,0,0,0,16.397,6.685,23.082,234.709,0,0,-105.488,-0.036,348.803,0,0.126,243.405,0,243.405,0.509
52,2014,366.303,268.251,634.554,108.339,0,0,0,108.339,0,0,0,0,0,0,54.86,797.749,255.356,0,0,104.368,0.928,8.371,113.667,-38.107,75.56,14.52,8.72,25.291,370.727,1168.476,7.405,4.187,0,22.322,33.914,0,0,0,252.553,0,252.553,41.621,328.088,414.777,0,414.777,1.052,0,14.169,17.183,446.129,774.217,0,0,-179.196,-0.476,573.791,0,0.14,394.259,0,394.259,0.337
52,2015,252.455,416.336,668.791,159.171,0,0,0,159.171,0,0,0,0,0,0,79.02,906.986,266.772,0,0,146.799,9.762,14.929,171.49,-67.253,104.237,109.542,55.02,37.215,517.766,1424.752,17.829,7.625,0,28.228,53.682,0,0,0,409.671,0,409.671,43.644,506.997,443.437,0,443.437,1.034,0,12.567,33.076,489.08,996.077,0,0,-358.583,-12.113,799.221,0,0.15,428.675,0,428.675,0.301
52,2016,412.305,388.945,801.25,203.333,0,0,0,203.333,0,0,0,0,0,0,81.05,1085.635,422.667,0,6.318,206.214,1.886,31.659,246.077,-101.363,144.714,98.674,55.67,55.362,721.417,1807.052,37.369,9.08,0,33.124,79.573,0,0,0,593.003,0,593.003,59.06,731.636,474.534,0,474.534,0.837,0,10.751,23.317,508.602,1240.238,0,0,-557.009,-16.882,1140.545,0,0.16,566.814,0,566.814,0.314
52,2017,401.238,498.124,899.362,322.757,0,0,0,322.757,0,0,0,0,0,0,120.42,1342.535,262.658,0,6.379,286.354,2.535,37.095,332.363,-150.743,181.62,148.388,82.53,98.566,691.232,2033.767,38.08,19.472,0,67.259,124.811,0,0,0,861.782,0,861.782,84.905,1071.498,507.812,0,507.812,1.312,0,33.319,34.177,575.308,1646.806,0,0,-997.39,-21.133,1405.317,0,0.167,386.961,0,386.961,0.19
52,2018,726.495,1052.803,1779.298,437.051,0,0,0,437.051,0,0,0,0,0,0,205.6,2421.951,391.442,0,7.084,411.58,5.341,56.232,480.237,-235.113,245.124,215.644,128.73,276.084,1128.294,3550.245,32.109,25.617,0,130.4,188.126,543.418,0,543.418,1210.695,0,1210.695,97.24,2039.479,630.018,0,630.018,1.507,0,36.12,65.884,732.022,2771.501,0,0,-958.564,5.767,1731.367,0,0.174,778.744,0,778.744,0.219
52,2019,566.204,931.718,1497.922,574.81,0,0,0,574.81,0,0,0,0,0,0,271.96,2344.693,581.856,0,6.551,594.39,10.167,74.721,685.829,-338.613,347.216,249.427,148.85,355.948,1534.447,3879.14,30.733,35.122,0,158.006,223.861,0,0,0,1651.594,0,1651.594,137.118,2012.573,661.707,0,661.707,0.595,0,38.597,55.064,755.368,2767.941,0,0,-978.78,-4.035,2093.834,0,0.18,1111.199,0,1111.199,0.286
52,2020,775.778,915.317,1691.095,835.279,0,0,0,835.279,0,0,0,0,0,0,300.53,2826.901,1013.332,0,0,793.322,6.83,527.727,1327.879,-457.366,870.513,300.606,156.76,1011.078,3195.529,6022.43,52.96,38.326,0,230.682,321.968,0,52.668,52.668,2185.754,0,2185.754,192.395,2752.785,694.981,383.221,1078.202,0.531,0,40.038,23.464,1141.704,3894.489,0,0,-352.244,25.255,2454.741,0,0.189,2127.941,0,2127.941,0.353
