enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
54,1994,851.174,0,851.174,0,0,0,214.365,214.365,0,0,0,0,306.901,306.901,0,1372.44,0,0,0,0,0,1555.283,1555.283,-119.193,1436.09,28.177,0,33.142,1497.409,2869.849,138.247,0,0,0,138.247,143.214,0,143.214,0,0,0,269.096,550.557,498.765,0,498.765,0.36,0,0,37.4,536.165,1086.722,0,0,1274.227,0,0,0,508.799,1783.026,0.101,1783.128,0.621
54,1995,1084.937,0,1084.937,0,0,0,655.719,655.719,0,0,0,0,402.373,402.373,0,2143.03,0,0,0,0,0,2492.405,2492.405,-847.382,1645.023,30.694,0,-389.445,1286.272,3429.302,167.088,0,0,0,167.088,236.173,0,236.173,0,0,0,339.901,743.162,504.324,0,504.324,0.347,0,0,50.333,554.657,1297.819,0,0,1579.688,0,0,0,551.598,2131.286,0.197,2131.483,0.621
54,1996,537.701,0,537.701,0,0,0,781.866,781.866,0,0,0,0,407.274,407.274,0,1726.84,0,0,0,0,0,2875.451,2875.451,-1060.699,1814.751,27.715,0,41.522,1883.988,3610.828,487.934,0,0,0,487.934,130.03,0,130.03,0,0,0,87.712,705.676,236.815,0,236.815,0.142,0,0,83.64,320.455,1026.131,0,0,1973.985,0,0,0,608.725,2582.71,1.987,2584.697,0.715
54,1997,153.762,0,153.762,0,0,0,778.03,778.03,0,0,0,0,422.393,422.393,494.56,1848.748,0,0,0,0,0,2842.385,2842.385,-1023.808,1818.577,37.087,0,44.706,1900.37,3749.118,131.509,0,0,0,131.509,227.435,0,227.435,0,0,0,466.798,825.742,159.174,0,159.174,0.143,0,0,68.061,227.235,1052.977,0,0,2121.69,0,0,0,573.148,2694.838,1.303,2696.141,0.719
54,1998,165.738,0,165.738,0,0,0,703.984,703.984,0,0,0,0,400.804,400.804,624.96,1895.482,0,0,0,0,0,3640.991,3640.991,-1820.698,1820.293,37.897,0,37.494,1895.684,3791.166,85.8,0,0,0,85.8,197.775,0,197.775,0,0,0,500.853,784.428,260.23,0,260.23,0.171,0,0,64.072,324.302,1108.73,0,0,2153.893,0,0,0,520.358,2674.251,8.186,2682.437,0.705
54,1999,125.313,0,125.313,898.245,0,0,0,898.245,0,0,0,0,730.827,730.827,301.76,2056.14,0,0,0,0,0,3396.49,3396.49,-1219.047,2177.443,37.093,0,33.082,2247.618,4303.758,121.303,0,0,0,121.303,145.363,0,145.363,0,0,0,596.492,863.158,288.722,0,288.722,0.153,0,244.611,68.17,601.503,1464.661,118,0,2275.688,31.078,404.01,0,0.295,2829.071,10.025,2839.097,0.657
54,2000,172.779,0,172.779,745.358,0,0,0,745.358,0,0,0,0,487.195,487.195,295.33,1700.663,0,0,0,0,0,2588.664,2588.664,-1202.418,1386.246,13.059,0,39.176,1438.481,3139.144,109.493,0,0,0,109.493,135.611,0,135.611,0,0,0,521.349,766.453,136.615,0,136.615,0.132,0,109.493,61.277,307.385,1073.838,102,0,1588.156,25.113,348.57,0,1.467,2065.306,0,2065.306,0.658
54,2001,153.55,0,153.55,566.879,0,0,0,566.879,0,0,0,0,478.033,478.033,310,1508.46,0,0,0,0,0,2019.327,2019.327,-706.909,1312.418,3.863,0,136.166,1452.447,2960.907,117.818,0,0,0,117.818,98.504,0,98.504,0,0,0,556.257,772.579,113.955,0,113.955,0.112,0,116.852,61.807,292.614,1065.193,91,0,1487.214,7.726,309.031,0,0.744,1895.715,0,1895.715,0.64
54,2002,198.033,167.028,365.062,464.078,0,0,258.044,722.122,88.015,320.054,0,161.027,-1,568.096,0,1655.279,0,0,857.145,1047.177,493.083,0,2397.405,-770.13,1627.275,2,0,167.029,1796.304,3451.583,116.02,0,0,0,116.02,99.017,0,99.017,0,0,0,502.084,717.121,103.017,0,103.017,0.084,0,162.027,65.012,330.056,1047.177,85,0,1965.332,48.008,306.052,0,0.014,2404.406,0,2404.406,0.697
54,2003,195.216,43.705,238.921,521.547,0,0,123.345,644.892,134.029,457.446,0,218.525,0.971,810.971,192.3,1887.086,0,1064.46,0,1358.741,808.057,-0.971,3230.287,-1010.072,2220.216,33.022,0,175.791,2429.029,4316.115,118.489,0,0,181.619,300.108,77.698,0,77.698,0,0,0,439.964,817.77,112.662,0,112.662,0.061,0,153.453,90.323,356.438,1174.208,97,0,2610.647,83.525,351.583,0,-0.849,3141.906,0,3141.906,0.728
