enterprise_id,years,balance_statement_cash_and_cash_equivalents,money_market_investments,gross_loan,allowance_for_loans_and_lease_losses,unearned_income,net_loan,securities_&_investments,accounts_receivable,notes_receivable,other_current_receivables,total_receivables,"property,_plant_and_equipment",intangible_assets,goodwill,other_assets_for_banks,total_assets,total_deposits,accounts_payable_&_accrued_expense,short-term_debt_&_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,other_liabilities_for_banks,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
65,1994,8198.748,0,91023.147,-3208.173,0,87814.974,18103.747,720.048,0,0,720.048,1550.931,337.028,0,7636.282,124361.758,98317.877,3553.495,0,2595.19,0.434,13851.315,118317.877,0,1694.941,2090.025,0,0,0,2194.073,5979.039,64.842,6043.881,0.048
65,1995,12181.737,0,87347.256,-1895.134,0,85452.122,20510.257,776.864,0,62.949,839.813,1462.638,431.756,0,7299.86,128178.183,100581.352,2941.569,0,2574.983,0.405,15650.596,121748.5,0,1678.146,2527.586,0,0,0,2155.077,6360.809,68.874,6429.682,0.05
65,1996,13159.459,0,90340.318,-1488.334,0,88851.984,24301.531,905.038,0,244.464,1149.502,1389.508,247.436,0,7363.65,136463.07,106621.34,4237.628,0,2625.947,0.391,16187.399,129672.314,0,1478.674,3070.293,0,0,0,2162.283,6711.25,79.507,6790.756,0.049
65,1997,17539.266,0,101914.485,-1388.103,0,100526.382,32195.76,0,0,0,0,1321.452,0,0,9858.545,161441.405,119793.448,0,0,2685.093,0.351,31310.369,153788.91,0,1296.989,3543.051,0,0,0,2812.455,7652.495,0,7652.495,0.047
65,1998,14897.988,0,114200.747,-1527.156,0,112673.592,23820.778,1092.363,0,584.766,1677.129,1222.841,437.636,0,21233.651,175963.615,124903.729,4518.003,51.887,2995.925,0.407,35619.677,168089.221,0,1286.303,4109.205,0,0,0,2095.98,7491.488,382.906,7874.394,0.043
65,1999,10610.256,0,101858.582,-1311.112,0,100547.471,40412.329,0,0,0,0,1211.525,393.453,0,28726.293,181901.327,116492.971,0,0,2644.997,0.345,55089.27,174227.238,0,1365.55,4402.703,14.284,1891.653,0,-0.101,7674.089,0,7674.089,0.042
65,2000,15594.558,0,104257.117,-1275.484,0,102981.633,49409.318,0,0,0,0,862.271,447.067,0,15666.248,184961.095,127163.056,0,0,3110.548,0.37,46289.809,176563.413,0,1335.225,5072.065,-83.638,2073.035,0,0.995,8397.682,0,8397.682,0.045
65,2001,12962.343,0,115383.279,-1236.523,0,114146.756,50357.086,0,0,0,0,825.691,565.9,0,12705.574,191563.35,134146.606,0,0,3851.547,0.43,44147.284,182145.437,0,1346.279,5572.408,0,2034.019,0,0.001,8952.707,465.207,9417.913,0.047
65,2002,11156.908,0,131868.409,-1449.014,0,130419.394,51223.424,0,0,0,0,1018.854,3523.074,0,31239.141,228580.795,148531.572,0,0,4016.851,0.348,63534.494,216082.917,0,1287.452,5833.42,0,4436.913,0,-1.01,11556.775,941.102,12497.877,0.051
65,2003,13513.3,22707.082,108657.198,-1395.749,0,107261.449,59442.727,0,0,0,0,1047.305,3592.03,0,31318.481,238882.374,154300.368,0,0,4191.196,0.352,67556.63,226048.194,0,979.196,6451.638,0,4472.517,0,0.001,11903.352,930.828,12834.18,0.05
