enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
66,1997,778.663,174.119,952.782,1642.945,0,0,59.023,1701.968,0,0,0,0,8.235,8.235,0,2662.985,170.464,0,0,0,0,656.709,656.709,0,656.709,6.063,0,59.327,892.563,3555.548,0,0,0,0,0,0,0,0,0,0,0,0,0,9.154,0,9.154,0.004,0,19.313,1192.01,1220.477,1220.477,547,0,254.169,0,0,0,1529.422,2330.591,4.479,2335.071,0.655
66,1998,532.365,89.184,621.55,1300.036,0,0,3.218,1303.254,0,0,0,0,4.011,4.011,89.22,2018.031,0,325.412,0,398.721,52.881,-0.001,777.013,-321.565,455.449,43.393,0,189.34,688.182,2706.213,169.895,0,0,0,169.895,87.072,0,87.072,0,0,0,175.205,432.172,2.515,0,2.515,0.055,0,0,637.008,639.523,1071.695,278,0,157.095,962.61,228.693,0,0.353,1626.751,7.767,1634.517,0.601
66,1999,655.207,0,655.207,0,0,0,1600.065,1600.065,0,0,0,0,19.899,19.899,157.03,2432.196,0,0,0,0,0,1053.715,1053.715,-372.578,681.137,81.664,0,202.768,965.569,3397.765,247.514,0,0,0,247.514,101.653,0,101.653,0,0,0,213.03,562.197,26.111,0,26.111,0.063,0,0,782.497,808.608,1370.805,0,0,175.683,0,0,0,1843.624,2019.307,7.654,2026.96,0.594
66,2000,719.468,0,719.468,1868.004,0,0,0,1868.004,0,0,0,0,3.014,3.014,966.66,3557.146,0,0,0,0,0,1287.204,1287.204,-483.33,803.875,121.586,0,401.936,1327.397,4884.543,305.472,0,0,0,305.472,25.121,0,25.121,0,0,0,1475.111,1805.704,1.005,0,1.005,0.01,0,0,479.309,480.314,2286.018,271,0,1718.282,347.675,252.215,0,0.309,2589.481,9.043,2598.525,0.53
66,2001,975.978,85.896,1061.873,1970.87,0,0,3.392,1974.262,0,0,0,0,5.21,5.21,169.39,3210.739,0,655.39,0,0,34.53,605.331,1295.251,-513.302,781.949,104.262,0,920.02,1806.231,5016.97,319.314,0,0,0,319.314,131.909,0,131.909,0,0,0,275.37,726.593,139.699,0,139.699,0.122,0,0,1867.935,2007.634,2734.227,283,0,1791.859,148.691,7.992,0,-0.358,2231.184,51.559,2282.743,0.445
66,2002,772.313,87.148,859.461,1971.35,0,0,159.271,2130.621,0,0,0,0,4.007,4.007,0,2994.088,0,786.336,0,0,91.155,695.182,1572.673,-684.163,888.51,444.756,0,1197.035,2530.301,5524.389,0,0,0,1273.164,1273.164,0,0,0,336.572,0,336.572,-0.001,1609.735,0,0,0,0,0,0,1085.846,1085.846,2695.581,280,0,2270.859,159.271,145.247,-84.143,1.478,2772.712,56.095,2828.807,0.502
66,2003,1171.77,1.376,1173.146,2007.019,0,0,65.5,2072.519,0,0,0,0,10.947,10.947,295.01,3551.617,0,863.053,0,0,124.557,834.566,1822.176,-766.976,1055.201,449.707,0,667.049,2171.957,5723.574,335.497,0,0,0,335.497,23.117,0,23.117,0,0,0,381.183,739.797,11.547,0,11.547,0.012,0,606.095,1378.451,1996.093,2735.89,321,0,2929.361,-128.231,188.938,-381.055,0.352,2930.365,57.319,2987.684,0.512
66,2004,1645.82,1.661,1647.481,2174.199,0,0,0,2174.199,0,0,0,0,12.739,12.739,1548.9,5383.316,0,1140.497,0,0,15.545,1089.099,2245.141,-993.14,1252.001,517.344,0,614.65,2383.995,7767.311,352.228,0,0,0,352.228,23.383,0,23.383,0,559.292,559.292,420.925,1355.828,15.358,0,15.358,0.009,0,0,1769.347,1784.705,3140.533,387,0,4618.107,-248.002,364.129,-566.82,0.285,4554.699,72.079,4626.777,0.586
66,2005,4281.744,13.614,4295.358,2584.015,0,0,0,2584.015,0,0,0,0,15.661,15.661,720.17,7615.206,0,1230.869,0,0,6.048,1257.153,2494.07,-1155.806,1338.264,703.09,0,504.122,2545.476,10160.682,456.044,0,0,0,456.044,37.218,0,37.218,0,0,0,483.011,976.273,9.747,0,9.747,0.008,0,846.603,2144.661,3001.011,3977.284,423,0,6469.957,-409.082,432.2,-762.393,0.284,6153.966,29.43,6183.397,0.606
66,2006,3808.91,248.386,4057.295,2668.14,0,0,0,2668.14,0,0,0,0,23.036,23.036,753.17,7501.639,0,1131.756,0,0,51.079,1240.925,2423.76,-1125.746,1298.014,908.409,0,1034.606,3241.029,10742.668,454.706,0,0,0,454.706,29.045,0,29.045,0,620.963,620.963,509.791,1614.505,8.012,0,8.012,0.005,0,620.963,1636.54,2265.515,3880.02,376,0,7096.009,-139.216,441.686,-919.427,-1.419,6853.633,9.014,6862.648,0.638
