enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
68,1999,2717,19,2736,13887,0,0,0,13887,0,0,0,0,5976,5976,0,22599,0,0,0,0,0,60777,60777,0,60777,2609,0,24083,87469,110068,15875,4053,0,0,19928,7778,0,7778,0,0,0,3434,31140,6032,0,6032,0.251,0,0,15233,21265,52405,0,0,0,0,0,0,54962,54962,2701,57663,0.499
68,2000,4043,8,4051,18603,0,0,0,18603,0,0,0,0,7738,7738,0,30392,0,0,0,0,0,56598,56598,0,56598,2641,0,24252,83491,113883,18108,5092,0,0,23200,6922,0,6922,0,0,0,3341,33463,6009,0,6009,0.23,0,0,15398,21407,54870,0,0,0,0,0,0,56171,56171,2842,59013,0.493
68,2001,11431,4,11435,26611,0,0,0,26611,0,0,0,0,7884,7884,0,45930,0,0,0,0,0,47314,47314,0,47314,1005,0,28249,76568,122498,26613,6116,0,0,32729,3357,0,3357,0,0,0,6612,42698,4070,0,4070,0.124,0,0,12882,16952,59650,0,0,0,0,0,0,59967,59967,2881,62848,0.49
68,2002,6670,0,6670,17467,0,0,0,17467,0,0,0,0,6341,6341,0,30478,0,0,0,0,0,51370,51370,0,51370,939,0,28756,81065,111543,18884,4494,0,0,23378,3988,0,3988,0,0,0,6101,33467,1832,0,1832,0.098,0,0,13130,14962,48429,0,0,0,0,0,0,59637,59637,3477,63114,0.535
68,2003,1556,0,1556,28761,0,0,0,28761,0,0,0,0,11338,11338,0,41655,0,0,0,0,0,78687,78687,0,78687,4696,0,28420,111803,153458,27204,4985,0,0,32189,12874,0,12874,0,0,0,10138,55201,6817,0,6817,0.308,0,0,23832,30649,85850,0,0,0,0,0,0,64026,64026,3582,67608,0.417
68,2004,1952,0,1952,28969,0,0,0,28969,0,0,0,0,12690,12690,0,43611,0,0,0,0,0,87088,87088,0,87088,4735,0,34123,125946,169557,26420,5927,0,0,32347,11027,0,11027,0,0,0,11050,54424,9100,0,9100,0.278,0,0,30121,39221,93645,0,0,0,0,0,0,72497,72497,3415,75912,0.428
68,2005,9201.001,0,9201.001,23627,0,0,6086,29713,15375,0,0,0,0,15375,7760,62049.001,0,0,0,0,0,189447,189447,-101529,87918.001,4528,0,32950.998,125396.999,187446,18693.001,9058,6049,0,33800.001,5734.001,0,5734.001,0,0,0,15317.999,54852.001,8857.999,0,8857.999,0.17,6795.001,0,25557.999,41210.999,96063,584,20,80788,0,0,0,4658,86050,5312.999,91362.999,0.459
68,2006,11730,0,11730,66386,0,0,0,66386,0,0,0,0,19776,19776,0,97892,0,117841,0,45078,0,27890,190809,-103251,87558,4350,0,29716,121624,219516,69013,0,0,0,69013,5338,0,5338,0,0,0,10613,84964,7578,0,7578,0.142,0,0,29050,36628,121592,571,0,90578,0,0,-3809,3584,90924,7000,97924,0.414
68,2007,9002,0,9002,30966,0,0,6320,37286,0,0,0,0,23215,23215,22382,91885,0,141652,0,49285,0,28239,219176,-118188,100988,4808,2933,37595,143391,235276,26509,0,0,0,26509,6060,0,6060,0,0,0,44179,76748,9713,0,9713,0.149,0,0,33870,43583,120331,545,0,99677,0,0,-3316,8820,105726,9219,114945,0.449
68,2008,9656,0,9656,42308,0,0,9466,51774,0,0,0,0,31503,31503,22464,115397,0,150740,0,53596,0,30942,235278,-133757,101521,5366,0,47186,154073,269470,36349,0,0,0,36349,5736,0,5736,0,0,0,52299,94384,12363,0,12363,0.146,0,0,36755,49118,143502,536,0,111668,0,0,-2392,14148,123960,2008,125968,0.46
