enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
72,1994,325.7,0,325.7,0,0,0,300,300,0,0,0,0,192.8,192.8,426,1244.5,0,0,0,0,0,581.9,581.9,-134.4,447.5,473.6,0,308.1,1229.2,2473.7,85.3,0,0,0,85.3,45.9,0,45.9,0,0,0,285,416.2,647.5,0,647.5,0.794,0,48.4,210.9,906.8,1323,0,14.5,362.1,0,0,0,496.4,873,277.7,1150.7,0.353
72,1995,382.8,0,382.8,0,0,0,374.8,374.8,0,0,0,0,233.4,233.4,691.7,1682.7,0,0,0,0,0,793.2,793.2,-179.2,614,575.5,0,147.7,1337.2,3019.9,112.2,0,0,0,112.2,83,0,83,0,0,0,341.3,536.5,1049.8,0,1049.8,1.144,0,57.9,57.7,1165.4,1701.9,0,0,465.5,0,0,0,524.8,990.3,327.7,1318,0.328
72,1996,462,0,462,0,0,0,551.4,551.4,0,0,0,0,318.2,318.2,689.6,2021.2,0,0,0,0,0,967,967,-254.2,712.8,827.1,0,183.8,1723.7,3744.9,164.6,0,0,0,164.6,106.2,0,106.2,0,0,0,444,714.8,1116,0,1116,0.928,0,59.2,65.9,1241.1,1955.9,0,0,612.5,0,0,0,704.9,1317.4,471.6,1789,0.352
72,1997,414.4,0,414.4,0,0,0,693.7,693.7,0,0,0,0,433,433,1590.7,3131.8,0,0,0,0,0,740.1,740.1,-35.7,704.4,1082.9,0,222.1,2009.4,5141.2,203.6,0,0,0,203.6,153.8,0,153.8,0,0,0,555.8,913.2,1550.3,0,1550.3,0.931,0,81.7,81,1713,2626.2,0,0,795.3,0,0,0,1035.6,1830.9,684.1,2515,0.356
72,1998,593.6,0,593.6,0,0,0,866.8,866.8,0,0,0,0,543.6,543.6,1090.2,3094.2,0,0,0,0,0,1159.9,1159.9,-370.9,789,1692.2,0,220.5,2701.7,5795.9,251.7,0,0,0,251.7,176.9,0,176.9,0,0,0,663.6,1092.2,1742.9,0,1742.9,0.918,0,90.8,59.2,1892.9,2985.1,0,0,1034.6,0,0,0,1056.6,2091.2,719.6,2810.8,0.361
72,1999,268.3,1059.1,1327.4,0,0,0,501.8,501.8,0,0,0,0,330.5,330.5,766.7,2926.4,0,0,0,0,0,771,771,-236.8,534.2,1123.3,0,837.2,2494.7,5421.1,124,0,0,0,124,100.4,0,100.4,0,0,0,539,763.4,1808.6,0,1808.6,0.847,0,85.9,68.4,1962.9,2726.3,167,0,1216.5,-10.9,1033.8,-151.6,0,2254.8,440,2694.8,0.416
72,2000,281.8,555.5,837.3,0,0,0,592.7,592.7,0,0,0,0,373.1,373.1,714.1,2517.2,0,0,0,0,0,756.4,756.4,-245.8,510.6,1227.3,0,926.7,2664.6,5181.8,156.6,0,0,0,156.6,303,0,303,0,0,0,606.7,1066.3,1566,0,1566,0.928,0,81.8,81.2,1729,2795.3,167,0,1042,-58.1,1052.8,-189.6,0.4,2014.5,372,2386.5,0.389
72,2001,505.524,521.329,1026.853,449.996,0,0,0,449.996,0,0,0,0,394.152,394.152,594.53,2465.529,0,0,0,0,0,484.555,484.555,-198.677,285.878,1378.663,0,732.907,2397.448,4862.977,139.662,0,0,0,139.662,103.356,0,103.356,0,0,0,485.533,728.551,1528.483,0,1528.483,0.644,0,47.23,0,1575.713,2304.264,196,0,1005.857,-102.982,1681.452,-246.228,-0.123,2533.976,24.737,2558.713,0.521
72,2002,297.557,744.321,1041.878,410.96,0,0,24.071,435.031,149.817,56.417,0,130.807,0,337.041,151.26,1965.21,0,33.099,142.697,306.59,0,0,482.386,-211.674,270.712,1348.393,0,240.755,1859.86,3825.07,111.95,0,0,387.519,499.469,528.988,0,528.988,48.166,0,48.166,65.416,1142.039,727.502,0,727.502,0.658,0,7.907,32.579,767.988,1910.027,200,0,509.681,-102.447,1758.567,-457.475,-0.184,1908.142,6.901,1915.043,0.499
72,2003,339.038,536.43,875.468,429.74,0,0,0,429.74,134.039,50.894,0,147.871,0,332.804,133.55,1771.559,0,34.221,156.812,362.316,0,0,553.349,-280.441,272.908,1416.205,0,190.803,1879.916,3651.475,111.994,0,0,0,111.994,484.48,0,484.48,51.259,0,51.259,455.987,1103.72,451.341,0,451.341,0.461,0,10.144,55.993,517.478,1621.198,170,0,819.411,-41.556,1212.145,-129.675,-0.048,2030.277,0,2030.277,0.556
72,2004,195.773,222.465,418.238,419.625,0,0,0,419.625,118.66,42.069,0,141.432,0,302.161,255.23,1395.256,0,33.621,137.447,300.432,0,0,471.5,-219.248,252.252,1506.714,0,235.1,1994.066,3389.322,114.206,0,0,184.502,298.708,45.981,0,45.981,65.224,0,65.224,274.88,684.793,229.509,0,229.509,0.116,0,11.7,81.627,322.836,1007.629,175,0,1019.42,80.381,1298.881,-192.469,0.48,2381.693,0,2381.693,0.703
