enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
75,1998,395.445,155.702,551.147,287.003,0,0,0,287.003,0,0,0,0,150.461,150.461,70.37,1058.985,0,7.826,559.282,2020.672,672.328,0.001,3260.109,-819.287,2440.822,0,0,344.868,2785.69,3844.675,408.418,0,0,50.592,459.01,7.714,0,7.714,0,0,0,6.334,473.058,617.401,0,617.401,0.292,0,0,277.873,895.274,1368.332,1259,0,731.672,148.926,1.916,0,0.309,2141.823,334.52,2476.343,0.557
75,1999,298.784,182.319,481.104,230.041,0,0,0,230.041,17.236,75.319,-3.587,15.442,20.822,125.232,44.73,881.11,0,24.907,833.687,2801.839,666.511,0.797,4327.741,-1280.519,3047.222,0,0,417.442,3464.664,4345.774,67.149,0,0,54.796,121.945,9.265,0,9.265,0,0,0,139.977,271.187,964.897,0,964.897,0.375,0,0,214.6,1179.497,1450.684,1867,0,746.015,-22.416,5.081,0,-0.071,2595.609,299.482,2895.09,0.597
75,2000,1033.457,30.53,1063.988,432.087,0,0,0,432.087,20.01,187.363,-42.019,28.64,30.67,224.664,165.92,1886.662,0,24.788,1073.016,4813.84,902.542,0,6814.186,-2068.569,4745.617,0,0,813.326,5558.943,7445.605,103.536,0,0,133.106,236.642,158.967,0,158.967,0,0,0,438.984,834.593,1351.754,0.138,1351.891,0.313,0,0,196.156,1548.047,2382.64,2695,0,992.462,380.381,757.459,0,-0.288,4825.014,237.95,5062.965,0.648
75,2001,1172.606,70.995,1243.601,845.46,0,0,0,845.46,23.274,285.466,-17.137,53.204,41.201,386.008,338.51,2813.583,0,25.035,1626.504,7452.872,1420.987,-0.001,10525.397,-3136.336,7389.061,0,0,994.588,8383.649,11197.232,256.855,0,0,207.48,464.335,117.287,0,117.287,0,0,0,850.162,1431.784,1580.152,0.1,1580.252,0.215,0,0,273.008,1853.26,3285.044,3529,392.476,2322.379,-10.565,1669.107,0,0.078,7902.475,9.713,7912.188,0.706
75,2002,1168.406,72.028,1240.434,590.684,0,5.091,5.035,600.81,23.371,295.41,-120.459,76.944,40.628,315.894,54.46,2211.594,0,25.298,1972.292,9221.616,1732.666,0,12951.872,-5293.293,7658.579,0,0,1396.156,9054.735,11266.329,50.301,0,0,210.577,260.878,473.022,0,473.022,0,0,0,393.123,1127.023,805.645,0,805.645,0.16,0,0,1049.323,1854.968,2981.991,4853,374.834,1081.466,35.428,1647.207,0,0.398,7992.333,292.005,8284.338,0.709
75,2003,1951.081,4.998,1956.078,466.78,0,1.999,12.994,481.773,14.993,218.897,-49.976,110.948,27.986,322.848,190.91,2951.609,0,24.988,2199.963,10102.24,815.616,0.999,13143.806,-6048.15,7095.656,292.862,0,901.576,8290.094,11241.703,147.93,0,0,186.912,334.842,20.99,0,20.99,0,0,0,805.621,1161.453,1325.375,0,1325.375,0.158,0,0,235.889,1561.264,2722.717,5360,373.824,1174.447,20.99,1641.227,-54.974,0.473,8515.987,2.999,8518.986,0.758
75,2004,3019.061,398.819,3417.88,742.801,0,0,30.908,773.709,13.959,266.212,-39.882,84.749,30.908,355.946,334.01,4881.546,0,24.926,2338.077,11124.063,783.68,0.997,14271.743,-8061.132,6210.611,255.244,0,595.238,7061.093,11942.639,188.442,0,0,258.235,446.677,158.531,0,158.531,0,0,0,308.088,913.296,1137.632,0,1137.632,0.134,0,0,238.294,1375.926,2289.222,5940,0,2083.83,6.979,1667.064,-47.858,0.411,9650.426,2.991,9653.417,0.808
75,2005,2313.362,1684.774,3998.136,837.461,0,0,24.631,862.092,30.543,355.674,-49.262,109.363,38.424,484.742,398.04,5743.01,0,24.631,3065.106,13751.105,1533.046,0.985,18374.873,-10313.575,8061.298,221.681,0,1524.178,9807.157,15550.167,226.607,0,0,315.279,541.886,338.925,0,338.925,0,0,0,1109.39,1990.201,667.013,0,667.013,0.081,0,0,468.978,1135.991,3126.192,7240,0,3540.981,-68.967,1760.638,-49.262,-1.385,12422.005,1.97,12423.976,0.799
75,2006,2907.293,1428.258,4335.551,1136.235,0,2.299,18.016,1156.55,53.193,402.546,-50.797,89.313,39.942,534.197,369.48,6395.774,0,25.649,3206.99,15686.745,454.226,0,19373.61,-11996.478,7377.132,181.114,0,1700.089,9258.335,15654.109,283.89,0,0,317.663,601.553,9.898,0,9.898,0,0,0,446.868,1058.319,607.565,18.01,625.575,0.047,0,0,523.94,1149.515,2207.834,7452,0,4302.044,-19.306,1721.104,-27.665,-0.234,13427.943,18.332,13446.275,0.858
75,2007,4352.38,2097.502,6449.883,36.501,0,1156.359,0.001,1192.861,39.984,444.291,-31.654,132.261,32.08,616.962,346.19,8605.897,0,25.832,3284.69,16766.19,0,881.03,20957.742,-13230.632,7727.109,383.566,183.195,1552.531,9663.206,18269.103,266.96,0,0,305.246,572.206,77.093,0,77.093,0,0,0,2744.583,3393.882,543.129,18.313,561.442,0.046,0,0,544.507,1105.949,4499.831,7946,0,4206.894,-31.663,1656.084,-28.249,-0.313,13748.753,20.519,13769.272,0.753
75,2008,2930.828,2413.505,5344.334,1305.815,0,3.002,8.004,1316.821,0,0,0,0,736.459,736.459,311.2,7708.809,0,29.018,3676.293,20286.654,674.421,9.006,24675.392,-16645.383,8030.009,429.268,185.115,1446.902,9906.179,17614.988,357.223,0,0,546.341,903.564,9.006,0,9.006,0,0,0,590.367,1502.937,439.274,20.012,459.286,0.031,0,0,512.321,971.607,2474.544,8154,0,6753.212,-12.007,1658.034,-1523.951,0.087,15029.375,111.069,15140.444,0.853
75,2009,5869.729,565.46,6435.189,0.012,557.874,0,3.013,560.899,44.858,229.422,0,174.411,0.001,448.692,174.42,7619.2,1289.34,28.77,3988.78,21412.122,561.171,21.785,26012.628,-18664.062,7348.567,397.225,182.305,203.1,9238.232,16857.432,167.49,281.456,322.857,690.977,1462.78,250.565,0,250.565,0,0,0,0,1713.345,466.55,21.785,488.335,0.051,0,9.546,157.735,655.616,2368.961,7729,0,5128.974,5.845,1504.281,0,-0.134,14367.966,120.505,14488.471,0.852
75,2010,5311.568,817.803,6129.371,1382.92,1.368,0,-283.261,1101.027,88.951,474.541,0,85.081,-0.001,648.572,177.98,8056.953,1173.653,28.968,4412.797,24478.188,1059.186,22.154,30001.293,-21514.174,8487.119,384.232,183.94,340.58,10385.584,18442.537,1235.202,272.912,313.218,391.839,2213.171,29.439,0,29.439,0,0,0,211.448,2454.058,157.496,21.941,179.437,0.014,117.751,5.759,209.192,512.139,2966.197,8033,0,5640.491,-40.721,1720.715,0,-0.132,15353.353,122.986,15476.34,0.832
75,2011,4945.822,1160.775,6106.597,1689.041,0.709,0,-248.115,1441.635,130.813,648.01,0,171.163,0,949.986,247.84,8746.055,1330.222,29.805,4881.577,31035.731,2881.19,23.463,38851.766,-25860.936,12990.83,392.356,190.79,583.856,15297.264,24043.319,404.804,240.28,1475.75,360.515,2481.349,1051.967,0,1051.967,0,0,0,586.595,4119.911,160.581,23.243,183.824,0.064,127.496,0,258.332,569.652,4689.563,8665,0,8888.534,-215.171,1862.736,0,0.173,19201.272,152.484,19353.756,0.799
75,2012,4742.808,256.756,4999.564,1515.026,0,0,10.182,1525.208,117.413,593.081,0,110.669,0,821.163,71.87,7417.801,1138.847,50.945,5718.828,35535.538,3863.209,26.164,45194.684,-28982.648,16212.036,359.055,188.228,641.805,18351.743,25769.544,1522.983,445.097,247.169,436.962,2652.211,1007.884,0,1007.884,0,0,0,468.21,4128.305,647.51,28.793,676.303,0.082,201.435,0,28.023,905.761,5034.066,8567,0,10505.426,0,1833.745,0,-251.24,20654.931,80.547,20735.479,0.802
75,2013,4937.616,274.782,5212.398,1989.279,0,0,18.571,2007.85,202.19,885.304,0,215.008,-0.001,1302.501,95.94,8618.685,2262.848,52.578,6796.874,44757.565,4099.365,26.4,55732.782,-34470.161,21262.621,377.338,190.181,577.501,24480.308,33098.993,2042.459,869.869,285.214,452.719,3650.261,1199.642,0,1199.642,0,0,0,593.579,5443.482,2801.198,25.757,2826.955,0.164,233.462,0,26.095,3086.512,8529.994,8926,0,13734.507,0,1916.896,0,-95.966,24481.437,87.562,24568.999,0.74
75,2014,8165.157,105.944,8271.1,2410.563,0,0,17.27,2427.833,141.845,875.865,0,243.755,0,1261.465,100.4,12060.797,2995.095,134.134,7710.54,48311.654,9156.917,27.067,65340.312,-38672.146,26668.166,386.579,189.33,374.575,30424.415,42485.212,3515.104,1236.72,337.086,561.63,5650.54,526.355,0,526.355,0,0,0,685.533,6862.428,7092.335,26.114,7118.449,0.273,228.834,0,212.904,7560.187,14422.615,8723,0,16974.266,0,1879.287,0,477.072,28053.625,8.973,28062.597,0.66
75,2015,11433.087,2613.94,14047.027,3659.577,0,0,15.68,3675.257,170.264,1627.586,0,318.067,-0.001,2115.916,146.73,19984.932,952.421,128.758,8585.25,56842.839,3487.339,26.83,69071.016,-42973.753,26097.264,431.601,187.829,213.604,27694.89,47679.822,1558.416,1670.97,384.838,948.779,4563.003,1153.311,0,1153.311,0,0,0,1453.433,7169.747,6816.614,25.584,6842.198,0.245,209.487,6.37,842.809,7900.864,15070.611,8271,0,21728.323,0,1785.008,0,820.822,32605.153,4.057,32609.21,0.684
75,2016,17160.12,847.114,18007.234,2594.035,0,0,19.234,2613.269,166.066,1635.596,0,243.208,0,2044.87,107.81,22773.181,1063.503,124.042,9051.46,58681.313,5858.755,0.217,73715.787,-47687.812,26027.975,428.963,186.176,251.426,27771.867,50545.048,1359.769,1843.36,391.943,844.796,4439.868,1203.824,0,1203.824,0,0,0,1668.551,7312.243,5855.281,0,5855.281,0.194,227.139,0.955,706.86,6790.235,14102.478,7908,0,26429.289,0,1716.967,0,358.964,36413.22,29.35,36442.57,0.72
75,2017,16913.917,2967.157,19881.074,4010.415,0,0,34.884,4045.299,213.419,1041.571,0,266.305,0,1521.295,105.97,25553.635,1437.334,126.539,9512.492,64923.901,12099.802,-0.001,86662.733,-55482.667,31180.066,456.705,187.747,318.111,33392.216,58945.851,2787.981,2198.491,466.993,1143.157,6596.622,1811.165,0,1811.165,0,0,0,2475.98,10883.767,4784.781,0,4784.781,0.155,267.227,4.412,511.147,5567.567,16451.334,8103,0,32556.076,0,1758.482,0,52.113,42469.671,24.846,42494.517,0.72
