enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
80,1994,146.4,0,146.4,0,0,0,142.7,142.7,0,0,0,0,0,0,142,431.1,0,0,0,0,0,169.8,169.8,-78.6,91.2,201,0,770.7,1062.9,1494,54.4,0,0,0,54.4,0,0,0,0,0,0,458.4,512.8,0.7,0,0.7,0.001,0,10,9.6,20.3,533.1,0,0,404.7,0,0,0,554.2,958.9,2,960.9,0.642
80,1995,1519.049,135.287,1654.336,167.369,0,0,0,167.369,0,0,0,0,0,0,86.51,1908.215,1115.054,0,0,0,0,273.397,273.397,-110.8,162.597,303.613,0,0,1581.264,3489.479,66.938,0,443.559,83.087,593.584,0,0,0,0,0,0,70.718,664.302,24.275,0,24.275,0.009,0,0,0,24.275,688.577,2,0,2085.056,-43.765,752.472,0,-0.307,2795.456,5.446,2800.902,0.801
80,1996,940.11,863.815,1803.925,550.313,0,0,0,550.313,0,0,0,0,0,0,512.88,2867.121,1274.47,0,0,0,0,267.652,267.652,0,267.652,1751.743,1727.04,0,3293.865,6160.986,79.796,0,1156.421,566.77,1802.987,0,0,0,0,0,0,631.009,2433.996,38.97,0,38.97,0.012,0,0,500,538.97,2972.966,2,0,2358.64,5.199,822.429,0,-0.248,3188.02,0,3188.02,0.517
80,1997,1036.716,610.572,1647.288,605.801,0,0,0,605.801,0,0,0,0,0,0,486.58,2739.664,1804.973,0,0,0,0,312.984,312.984,0,312.984,2139.009,0,0,4256.966,6996.63,73.077,0,1516.111,491.297,2080.485,0,0,0,0,0,0,562.297,2642.782,30.761,0,30.761,0.008,0,0,500,530.761,3173.543,2,0,2680.191,-6.992,1148.039,0,-0.151,3823.087,0,3823.087,0.546
80,1998,750,506,1256,768,0,0,0,768,0,0,0,0,0,0,169,2193,2785,0,0,0,0,364,364,0,364,2281,0,0,5430,7623,0,0,2060,0,2060,0,0,0,0,0,0,510,2570,19,0,19,0.004,0,0,500,519,3089,2,0,3105,29,1398,0,0,4534,0,4534,0.595
80,1999,1644,170,1814,965,0,0,0,965,0,0,0,0,0,0,1475,4254,2610,0,0,0,0,294,294,0,294,2517,0,0,5421,9675,0,0,3729,0,3729,459,0,459,0,0,0,1128,5316,249,0,249,0.175,0,72,0,321,5637,2,0,2885,44,1107,0,0,4038,0,4038,0.417
80,2000,0,3114,3114,0,0,0,0,0,0,0,0,0,0,0,0,3114,0,0,0,0,0,278,278,0,278,2859,0,4022,7159,10273,0,0,0,0,0,591,0,591,0,0,0,0,591,400,0,400,0.257,0,0,5419,5819,6410,3,0,3445,0,250,0,165,3863,0,3863,0.376
80,2001,1419,200,1619,867,0,0,0,867,0,0,0,0,0,0,1919,4405,3434,0,0,0,0,303,303,0,303,2911,0,0,6648,11053,0,0,4316,0,4316,559,0,559,0,0,0,1695,6570,650,0,650,0.328,0,145,0,795,7365,3,0,3595,90,0,0,0,3688,0,3688,0.334
80,2002,1540,270,1810,856,0,0,0,856,0,0,0,0,0,0,2280,4946,3888,0,0,0,0,847,847,0,847,2750,2723,55,7540,12486,0,0,4669,0,4669,684,0,684,0,0,0,2138,7491,900,0,900,0.407,0,204,0,1104,8595,3,0,3805,44,39,0,0,3891,0,3891,0.312
80,2003,1130,701,1831,664,0,0,0,664,0,0,0,0,0,0,2679,5174,4498,0,0,0,0,1411,1411,-456,955,3485,3363,52,8990,14164,5200,0,0,0,5200,811,0,811,0,0,0,2368,8379,950,0,950,0.398,0,407,0,1357,9736,6,0,4104,148,170,0,0,4428,0,4428,0.313
