enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
81,1994,113,0,113,0,0,0,651,651,0,0,0,0,252,252,366,1382,0,0,0,0,0,17860,17860,-6419,11441,1553,0,625,13619,15001,477,0,0,0,477,115,0,115,0,0,0,1497,2089,4069,0,4069,0.856,0,2676,1282,8027,10116,0,0,4529,0,0,0,356,4885,0,4885,0.326
81,1995,115,0,115,396,228,0,241,865,0,0,0,0,257,257,112,1349,657,0,0,4658,0,9262,13920,-4249,9671,0,0,2866,13194,14543,132,134,191,380,837,427,0,427,0,0,0,736,2000,4052,0,4052,0.873,535,2398,427,7412,9412,580,0,4734,0,1428,-1611,0,5131,0,5131,0.353
81,1996,230,0,230,349,650,0,0,999,0,0,0,0,238,238,212,1679,1447,0,0,5004,0,13744,18748,-4643,14105,0,0,2215,17767,19446,436,178,203,476,1293,132,0,132,0,0,0,474,1899,6232,0,6232,1,0,3498,1237,10967,12866,581,0,5327,0,2111,-1655,0,6364,216,6580,0.327
81,1997,191,0,191,507,0,0,0,507,0,0,0,0,304,304,345,1347,613,0,0,6573,0,23524,30097,-5053,25044,0,0,923,26580,27927,705,250,293,332,1580,127,0,127,0,0,0,1349,3056,7900,0,7900,0.976,720,5939,2087,16646,19702,686,0,5262,0,4009,-1732,0,8225,0,8225,0.295
81,1998,90,0,90,727,0,0,129,856,0,0,0,0,296,296,269,1511,624,0,0,7084,0,24430,31514,-5537,25977,0,0,748,27349,28860,758,268,295,427,1748,233,0,233,0,0,0,1362,3343,8285,0,8285,1.036,0,6252,2755,17292,20635,690,0,5271,0,4066,-1802,0,8225,0,8225,0.285
81,1999,176,0,176,643,0,0,244,887,0,0,0,0,343,343,96,1502,691,0,0,7545,0,25600,33145,-6206,26939,0,0,242,27872,29374,586,301,289,400,1576,181,0,181,0,0,0,1175,2932,8511,0,8511,1.176,0,6308,4230,19049,21981,691,0,4441,0,4053,-1792,0,7393,0,7393,0.252
81,2000,175,0,175,581,0,0,0,581,0,0,0,0,337,337,221,1314,753,0,0,7755,0,26615,34370,-6851,27519,0,0,302,28574,29888,598,256,290,385,1529,214,0,214,0,0,0,1142,2885,8426,0,8426,1.08,791,6715,3070,19002,21887,691,0,5053,-6,4019,-1756,0,8001,0,8001,0.268
81,2001,105,0,105,597,0,0,0,597,0,0,0,0,360,360,641,1703,740,0,0,7781,0,27677,35458,-7262,28196,0,0,278,29214,30917,658,234,265,831,1988,207,0,207,0,0,0,767,2962,8144,0,8144,0.964,745,7561,2843,19293,22255,688,0,5699,0,4024,-1749,0,8662,0,8662,0.28
81,2002,113,0,113,604,0,0,0,604,0,0,0,0,265,265,560,1542,786,0,0,7507,0,28929,36436,-7644,28792,0,0,431,30009,31551,567,286,255,846,1954,194,0,194,0,0,0,598,2746,7886,0,7886,0.844,812,7882,2650,19230,21976,689,0,6466,-11,3980,-1549,0,9575,0,9575,0.303
81,2003,367,0,367,557,0,0,0,557,0,0,0,0,277,277,697,1898,699,0,0,7451,0,29409,36860,-7856,29004,0,0,1163,30866,32764,430,227,253,419,1329,275,0,275,0,0,0,919,2523,7428,0,7428,0.723,762,8550,2850,19590,22113,689,0,7597,-234,3946,-1347,0,10651,0,10651,0.325
