enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
84,1994,146.1,0,146.1,0,0,0,2762.3,2762.3,0,0,0,0,250.9,250.9,711.5,3870.8,0,0,0,0,0,32329.9,32329.9,-11964,20365.9,0,0,5307.5,25673.4,29544.2,2134.9,0,0,0,2134.9,2677.3,0,2677.3,0,0,0,1311.7,6123.9,7206.2,0,7206.2,1.202,0,2913.5,5076.2,15195.9,21319.8,0,0,3093.6,0,0,0,5130.8,8224.4,0,8224.4,0.278
84,1995,142.9,0,142.9,0,0,0,2328.1,2328.1,0,0,0,0,274.6,274.6,1037.7,3783.3,0,0,0,0,0,33745.8,33745.8,-16807.7,16938.1,0,0,3550.4,20488.5,24271.8,2220.2,0,0,0,2220.2,2087.6,0,2087.6,0,0,0,1268.9,5576.7,6805.7,0,6805.7,1.442,0,1305.7,4417.4,12528.8,18105.5,437,85,1144.4,4511.4,0,-11,-0.5,6166.3,0,6166.3,0.254
84,1996,356.8,0,356.8,0,0,0,2386,2386,0,0,0,0,132.8,132.8,997.1,3872.7,0,0,0,0,0,33553.8,33553.8,-17632.5,15921.3,0,0,4362.8,20284.1,24156.8,2723.5,0,0,0,2723.5,1930.2,0,1930.2,0,0,0,719.3,5373,6407.2,0,6407.2,1.247,0,1213.9,4479.1,12100.2,17473.2,0,0,1776.5,0,0,0,4907.1,6683.6,0,6683.6,0.277
84,1997,249.4,0,249.4,0,0,0,6168.9,6168.9,0,0,0,0,478.4,478.4,1560.1,8456.8,0,0,0,0,0,75679.5,75679.5,-39544.7,36134.8,0,0,8769.5,44904.3,53361.1,6160.6,0,0,0,6160.6,2884.2,0,2884.2,0,0,0,1305.1,10349.9,15286,0,15286,1.385,0,1846.9,10742.7,27875.6,38225.5,79,145,1279.8,12207.2,0,-589.3,-0.3,13121.4,2014.2,15135.6,0.246
84,1998,322.8,0,322.8,0,0,0,6340.8,6340.8,0,0,0,0,550.3,550.3,1786.9,9000.8,0,0,0,0,0,77437.2,77437.2,-42397.8,35039.4,0,0,9923.9,44963.3,53964.1,5966.4,0,0,0,5966.4,6342.8,0,6342.8,0,0,0,1355,13664.2,13265.2,0,13265.2,1.51,0,2106.2,11027.7,26399.1,40063.3,79,200.5,1261.7,12039.1,0,-590.5,-0.2,12989.6,911.2,13900.8,0.241
84,1999,237,0,237,6560,0,0,0,6560,0,0,0,0,566,566,1719,9082,0,0,0,0,0,83064,83064,-46248,36816,0,0,9246,46062,55144,6105,0,0,0,6105,2988,0,2988,0,0,0,1438,10531,17646,0,17646,1.56,0,2254,11157,31057,41588,158,201,1371,-1279,13368,-593,0,13226,330,13556,0.24
84,2000,2033,1035,3068,11998,0,0,0,11998,0,0,0,0,1366,1366,3563,19995,0,0,0,0,0,142989,142989,-80816,62173,8645,0,22017,92835,112830,10878,0,0,0,10878,15063,0,15063,0,0,0,3809,29750,32419,0,32419,1.8,0,7288,15097,54804,84554,276,0,7428,-822,20134,-640,0,26376,1900,28276,0.234
84,2001,757,1613,2370,14010,0,0,0,14010,0,0,0,0,1910,1910,3831,22121,0,0,0,0,0,158957,158957,-89453,69504,41990,0,31120,142614,164735,6247,0,0,7144,13391,14838,0,14838,0,0,0,6007,34236,55034,0,55034,2.021,0,15260,3797,74091,108327,275,0,14667,-3058,24555,-1861,0,34578,21830,56408,0.21
84,2002,979,1991,2970,14254,0,0,0,14254,0,0,0,0,1968,1968,3995,23187,0,2366,13285,147603,1970,4362,169586,-95167,74419,44262,0,28927,147608,170795,5171,0,0,8150,13321,18669,0,18669,0,0,0,6030,38020,45657,0,45657,1.977,0,16543,15887,78087,116107,275,0,10704,-1934,24676,-1182,0,32539,22149,54688,0.191
84,2003,1422,2042,3464,12496,0,0,0,12496,0,0,0,0,1497,1497,4636,22093,4986,915,14572,154749,1476,5126,176838,-103080,73758,46339,1339,20292,145375,167468,4851,1195,1072,4425,11543,9267,0,9267,1566,0,1566,5553,27929,44003,0,44003,1.633,15389,19467,4007,82866,110795,275,0,10536,-2110,24685,-218,-552,32616,24057,56673,0.195
84,2004,669,2172,2841,9854,0,0,0,9854,0,0,0,0,1262,1262,4938,18895,5789,812,15677,158630,1129,4692,180940,-105638,75302,46444,835,19538,147073,165968,4116,2720,1083,4451,12370,5967,0,5967,1686,0,1686,6557,26580,39413,0,39413,1.356,16754,21704,3703,81574,108154,277,0,9409,-1250,25363,-115,-218,33466,24348,57814,0.202
84,2005,2290,2257,4547,9801,0,0,0,9801,0,0,0,0,1535,1535,3596,19479,5855,772,16159,162325,1719,4547,185522,-111398,74124,47448,837,19052,146479,165958,2827,3326,1083,4498,11734,3593,0,3593,1899,0,1899,5903,23129,35674,0,35674,1.045,17941,22532,4069,80216,103345,277,0,12984,-1053,25404,-142,90,37560,25053,62613,0.226
84,2006,760,2146,2906,8534,0,0,0,8534,0,0,0,0,1522,1522,6358,19320,4602,706,16312,164681,1475,4587,187761,-114774,72987,52164,315,19057,148810,168130,2620,2484,1137,3464,9705,6688,0,6688,1964,0,1964,8343,26700,31569,0,31569,0.964,17693,22831,3224,75317,102017,277,0,15905,-1783,25369,-353,265,39680,26433,66113,0.236
84,2007,3219,2434,5653,10891,0,0,0,10891,0,0,0,0,1514,1514,4480,22538,4868,959,19207,176369,2315,5259,204109,-121753,82356,61754,5655,17288,166266,188804,4392,2757,1199,3596,11944,7715,0,7715,2226,0,2226,10395,32280,28646,0,28646,0.749,30779,16270,3957,79652,111932,297,0,17324,-7530,40124,-1871,191,48535,28337,76872,0.257
84,2008,1153,2244,3397,11736,0,0,0,11736,0,0,0,0,1729,1729,1836,18698,3372,839,19734,185566,1988,5867,213994,-128700,85294,61029,5245,18566,168261,186959,4491,2270,1266,2873,10900,2954,0,2954,2476,0,2476,8411,24741,28203,0,28203,0.616,29960,14784,6402,79349,104090,297,0,17884,-4506,40316,-3489,79,50581,32288,82869,0.271
84,2009,9782,509,10291,11703,0,0,0,11703,0,0,0,0,2092,2092,1989,26075,8174,813,20085,187766,3038,3903,215605,-129059,86546,73208,6035,8349,176277,202352,3856,2136,1334,2951,10277,4993,0,4993,2651,0,2651,7985,25906,46959,0,46959,1.246,32512,11769,6301,97541,123447,297,0,19250,-13372,40291,-4839,79,41706,37199,78905,0.206
84,2010,2009,490,2499,12573,0,0,0,12573,0,0,0,0,1426,1426,5247,21745,3118,925,21492,198438,4194,4694,229743,-137758,91985,101303,22472,8756,205162,226907,4337,1444,6708,9442,21931,7205,0,7205,0,0,0,0,29136,55051,0,55051,1.504,32622,19190,6765,113628,142764,297,0,7260,-1372,0,-5000,40197,41382,42761,84143,0.182
84,2011,6668,545,7213,11781,0,0,0,11781,0,0,0,0,1131,1131,2223,22348,3497,865,21064,180535,4375,4816,211655,-123944,87711,100814,21988,5635,197657,220005,3936,1157,7353,10609,23055,7542,0,7542,0,0,0,0,30597,45252,0,45252,1.369,28164,22818,6262,102496,133093,297,0,4368,1049,0,-5267,38122,38569,48343,86912,0.175
