enterprise_id,years,balance_statement_cash_and_cash_equivalents,money_market_investments,gross_loan,allowance_for_loans_and_lease_losses,unearned_income,net_loan,securities_&_investments,accounts_receivable,notes_receivable,other_current_receivables,total_receivables,"property,_plant_and_equipment",intangible_assets,goodwill,other_assets_for_banks,total_assets,total_deposits,accounts_payable_&_accrued_expense,short-term_debt_&_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,other_liabilities_for_banks,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
85,1994,3059.2,0,27952.8,-744.9,-1007.8,26200.1,11600.6,1723.9,0,0,1723.9,756.5,0,0,7442,50782.3,32573.2,0,5805.1,6802.4,3.533,2033.2,47213.9,0,341.9,2394.4,-3.3,0,0,835.4,3568.4,0,3568.4,0.07
85,1995,4024.3,0,38850.3,-789.9,-1127.6,36932.8,15009.2,2394.4,0,0,2394.4,955.2,0,0,0,59315.9,36424,0,7850.2,9186.3,4.429,2009,55469.5,0,512,2950,-268.7,0,0,653.1,3846.4,0,3846.4,0.065
85,1996,4946.5,0,36153.1,-917.2,0,35235.9,16154.1,4905.4,0,0,4905.4,1034.1,0,0,9858.4,72134.4,42028.8,0,8527.2,13676.8,4.18,2589.5,66822.3,0,302.3,3496.3,-5.8,0,0,1519.3,5312.1,0,5312.1,0.074
85,1997,7371.3,0,48547.6,-1040.8,0,47506.8,17145.8,4302.1,0,0,4302.1,1200.9,0,0,2648.5,80175.4,50130.2,0,7572.6,13082.2,3.406,3326.2,74111.2,0,188.8,4248.2,-6.4,0,0,1633.6,6064.2,0,6064.2,0.076
85,1998,13081,1049,110805,-3062,0,107743,27872,0,0,10076,10076,3311,9799,0,12754,185685,127656,0,13381,18634,1.619,6236,165907,0,463,8292,0,0,0,11023,19778,0,19778,0.107
85,1999,12731,1517,133086,-3134,0,129952,31997,0,0,10894,10894,3130,9174,0,3080,202475,136788,0,15897,20494,1.753,8537,181716,2769,463,9045,460,8673,-651,0,20759,0,20759,0.103
85,2000,14118,1722,150725,-3344,0,147381,43911,0,0,16552,16552,3372,9345,0,4652,241053,145918,0,31727,27801,2.494,11736,217182,2894,271,12565,759,9213,-1831,0,23871,0,23871,0.099
85,2001,16978,1598,177475,-3719,0,173756,38655,0,0,21929,21929,3415,10486,0,5609,272426,169559,0,28989,32981,2.34,14409,245938,2894,267,14541,524,9337,-1075,0,26488,0,26488,0.097
85,2002,16968,2530,207649,-3761,0,203888,40308,0,0,0,0,3549,10540,0,29786,307569,187266,0,37782,38530,2.804,16777,280355,2894,64,16005,752,9436,-1937,0,27214,0,27214,0.088
85,2003,18172,4765,250297,-3819,0,246478,38114,1139,0,5219,6358,3688,15110,0,16512,349197,216916,0,33446,50205,2.759,18311,318878,2894,251,19355,786,9498,-2465,0,30319,0,30319,0.087
85,2004,16535,4510,289597,-3891,0,285706,41872,1287,0,2456,3743,3534,18014,0,13884,387798,247527,0,24659,63642,2.562,17501,353329,2894,214,22842,709,9643,-1833,0,34469,0,34469,0.089
