enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
3,1994,1399.126,484.081,-192.451,-91.49,-93.759,375.645,0,-2.055,0,0,0,0,-34.243,1846.909,0,0,0,0,-335.915,447.983,0,0,-905.906,-793.838,27.536,-465.822,0,122.463,0,122.463,-548.044,0,0,-863.867,116.576,-5.104,184.1,300.676,0,1846.909
3,1995,1516.683,510.504,-109.623,-52.293,-183.705,360.216,139.921,154.516,0,0,0,0,30.434,2212.137,0,0,0,0,-226.728,185.268,0,0,-902.625,-944.085,36.214,-615.946,0,0,-97.834,-97.834,-602.356,0,0,-1279.922,300.676,1.466,-10.404,290.272,0,2212.137
3,1996,1688.7,566.423,-91.349,-93.184,-255.764,256.549,-153.849,-337.597,0,0,0,0,48.055,1965.581,0,0,0,0,-183.443,67.13,0,0,-921.41,-1037.723,76.54,-771.411,0,414.565,0,414.565,-653.567,0,0,-933.873,290.272,-3.06,-9.075,281.197,0,1965.581
3,1997,1882,686.1,-163.6,-125.7,-303.766,342.4,10.766,-239.9,0,0,0,0,53.9,2382.1,-949,0,0,0,-312.5,117.8,0,0,-811.5,-1955.2,109.6,-808.8,0,835,0,835,-728.1,0,0,-592.3,281.1,-5.5,-170.9,110.2,-949,1433.1
3,1998,2079.1,729.1,-222.2,-99.4,-491.769,485.6,34.569,-293.2,0,0,0,0,145.1,2660.1,-1209.6,0,0,0,-91.3,67.7,0,0,-8.1,-1241.3,157.8,-1054.5,0,417.3,0,417.3,-809.6,0,0,-1289,112.7,-2.8,127,239.7,-1209.6,1450.5
3,1999,2334.4,786.4,-147.5,-112.7,-239.533,179.7,-97.067,-417.1,0,0,0,0,76.5,2780.2,-1242.7,0,0,0,-343.5,96.8,0,0,18,-1471.4,152.4,-876.3,0,382.4,0,382.4,-891.7,0,0,-1233.2,239.7,-0.1,75.5,315.2,-1242.7,1537.5
3,2000,2445.8,828,-176.3,-147.8,-542.306,299,147.406,-420,0,0,0,0,83.7,2937.5,-1204.1,0,0,0,-175.7,169.4,0,0,12.2,-1198.2,434.2,0,0,0,-857.7,-857.7,-1003.3,0,0,-1426.8,315.2,-19.6,292.9,608.1,-1204.1,1733.4
3,2001,2785.977,827.431,-260.79,-361.377,-397.714,621.078,-46.394,-445.197,0,0,0,0,-68.593,3099.618,-1035.873,205,0,0,-68.085,235.839,0,0,45.455,-617.664,135.57,-464.856,0,0,-672.769,-672.769,-1145.894,0,0,-2147.949,608.097,-27.884,306.121,914.218,-1035.873,2063.745
3,2002,1550.39,1168.018,-279.167,-184.953,-962.005,732.482,51.747,-641.896,0,0,0,0,1490.336,3566.848,-1163.707,309.161,0,0,-179.618,309.161,0,0,-7659.871,-8384.874,169.422,-17.364,0,5742.54,0,5742.54,-1270.782,0,0,4623.816,914.218,-62.63,-256.84,657.378,-1163.707,2403.141
3,2003,2547.005,1043.623,-142.781,-156.58,280.522,93.268,-212.764,-138.335,0,0,0,338.571,201.223,3992.087,-1105.445,0,0,0,-156.078,140.284,0,0,-569.429,-1690.668,137.004,0,0,0,-1019.128,-1019.128,-1427.85,0,0,-2309.974,657.378,55.627,47.072,704.45,-1105.445,2886.642
3,2004,2504.725,1127.439,-121.702,101.36,-333.858,-131.809,62.084,-423.925,0,0,0,167.863,176.995,3553.097,-1050.058,0,0,0,-289.432,333.757,0,0,-431.449,-1437.182,75.035,-97.617,0,0,-467.927,-467.927,-1515.703,0,0,-2006.212,704.45,180.971,290.674,995.124,-1050.058,2503.039
3,2005,3175.836,1288.7,-588.575,-285.328,-431.436,602.605,217.815,-484.919,0,0,0,161.008,326.406,4467.031,-1291.633,0,0,0,-543.292,224.923,0,-59.088,-2313.388,-3982.478,155.197,-499.745,0,805.998,0,805.998,-1599.77,0,700,-438.32,995.124,184.271,230.504,1225.628,-1291.633,3175.398
3,2006,3372.065,1358.939,-98.216,-88.257,-406.858,199.703,567.569,173.941,0,0,0,127.012,142.459,5174.416,-1207.493,0,0,0,-15.67,783.599,0,0,-280.523,-720.087,223.637,-1302.314,0,172.833,0,172.833,-1686.472,0,0,-2592.316,1225.628,-193.954,1668.059,2893.687,-1207.493,3966.923
3,2007,1716.755,1558.75,-101.781,104.653,-283.455,-183.203,-84.275,-548.061,0,0,0,67.152,2534.645,5329.241,-1337.818,0,0,0,-2129.412,18.476,0,0,-7948.875,-11397.629,502.782,-754.502,0,5650.817,0,5650.817,-1777.17,0,0,3621.927,2893.687,73.966,-2372.495,521.192,-1337.818,3991.423
3,2008,3606.314,1854.886,-431.846,131.324,-418.344,-82.96,-261.539,-1063.365,0,0,0,0,786.008,5183.843,-1656.207,0,0,0,535.585,17.83,0,0,-33.485,-1136.277,1249.804,-1058.793,0,0,-544.493,-544.493,-1959.15,0,0,-2312.632,521.192,200.258,1935.192,2456.384,-1656.207,3527.636
3,2009,4734.216,1838.829,-948.314,-257.476,436.218,729.886,0,-39.686,0,347.02,0,349.571,-235.33,6994.62,-1287.724,0,-250,0,-923.937,449.231,0,0,-75.061,-2087.491,0,-1081.806,0,0,-1238.687,-1238.687,-2174.252,0,1008.843,-3485.902,2805.955,-115.16,1306.067,4112.022,-1287.724,5706.896
3,2010,5745.838,2089.51,-387.749,230.555,-386.889,202.701,0,-341.382,0,366.36,0,0,-585.166,7275.16,-1089.048,0,-2370.63,0,-248.97,16.306,0,0,-6.368,-3698.71,0,-826.345,0,6217.331,-2483.176,3734.155,-2414.46,0,508.669,1002.019,4112.022,118.848,4697.317,8809.339,-1089.048,6186.112
3,2011,4626.172,2624.305,-394.665,139.857,553.145,360.447,0,658.784,0,387.18,0,0,439.54,8735.981,-1015.075,0,-9433.243,0,-805.932,954.361,0,0,-1888.426,-12188.315,0,-866.825,0,4000,-1877.852,2122.148,-2671.475,0,328.411,-1087.741,8809.339,-620.893,-5160.968,3648.371,-1015.075,7720.906
3,2012,4728,3044,-670,-130,413,388,0,1,0,383,0,0,814,8970,-1491,0,-273,0,-5110,5649,0,0,1886,661,0,-77,0,-964.685,-3012.315,-3977,-2938,0,569,-6423,3648,-43,3165,6813,-1491,7479
3,2013,5963,2782,36,-417,-35,-1443,0,-1859,0,433,0,0,1995,9314,-1795,0,-706,0,-11998,8936,0,0,3,-5560,0,-2364,0,15484,-11071,4413,-3183,0,1329,195,6813,40,3989,10802,-1795,7519
3,2014,2576,1719,-113,-154,131,-1101,0,-1237,0,262,0,0,4,3324,-1145,0,-580,0,-10064,7839,0,0,21,-3929,0,-1605,0,2095,-303,1792,-882,0,-6001,-6696,10802,-26,-7327,3475,-1145,2179
3,2015,2284,1548,-195,-297,30,-28,0,-490,0,246,0,0,87,3675,-1077,0,-3317,5,-1507,5624,0,0,70,-202,0,-2195,0,1343,-577,766,-1342,0,29,-2742,3475,-143,588,4063,-1077,2598
3,2016,4423,1472,-171,-257,57,215,0,-156,0,292,0,0,-3065,2966,-1110,0,-235,2520,-4933,4112,0,0,52,406,0,-2237,0,2485,-1338,1147,-1443,0,297,-2236,4063,-198,938,5001,-1110,1856
3,2017,1400,1353,-177,-98,113,-1351,0,-1513,0,310,0,0,1653,3203,-1121,0,-80,25,-2823,3709,0,0,42,-248,0,-522,0,14934,-1779,13155,-1539,0,53,11147,5001,-483,13619,18620,-1121,2082
3,2018,477,3021,-207,249,109,1764,0,1915,0,406,0,0,-249,5570,-1135,0,-17183,8746,-210,129,0,0,35,-9618,0,-117,-710,6742,-9684,-2942,-1849,0,337,-5281,18620,116,-9213,9407,-1135,4435
3,2019,2368,3278,-190,-514,23,533,0,-148,0,477,0,0,325,6300,-1394,0,-54,48,-131,73,0,0,102,-1356,0,-238,0,4009,-12459,-8450,-1974,0,271,-10391,9407,-116,-5563,3844,-1394,4906
3,2020,3687,3014,-275,-593,-138,-325,0,-1331,0,519,0,0,247,6136,-1638,0,-170,48,-103,21,0,0,27,-1815,0,-718,0,1842,-3441,-1599,-2270,0,298,-4289,3844,-16,16,3860,-1638,4498
3,2021,4495,3327,-924,-493,-627,1152,0,-892,0,546,0,0,425,7901,-2177,0,-42,58,-83,10,0,0,19,-2215,0,-403,0,1283,-1333,-50,-2560,0,234,-2779,3860,71,2978,6838,-2177,5724
3,2022,7071,3538,-383,-456,-312,380,0,-771,0,640,0,0,55,10533,-1885,0,-187,134,-173,77,0,0,26,-2008,0,-2299,0,4,-252,-248,-3202,0,255,-5494,6838,-70,2961,9799,-1885,8648
3,2023,6933,3267,-68,-1413,-75,37,0,-1519,0,685,0,0,215,9581,-1777,0,0,48,-185,152,0,0,22,-1740,0,-3795,0,54,-753,-699,-3309,0,167,-7636,9799,-122,83,9882,-1777,7804
