enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
5,1994,42.007,49.841,-3.239,1.028,0,5.473,29.132,32.394,-10.993,0,0,0,29.835,143.084,-25.508,0,0,0,-754.767,722.759,0,0,-28.188,-85.704,15.376,-25.533,0,0,0,0,-8.523,0,-1.113,-19.793,108.069,-0.516,37.071,145.14,-25.508,117.576
5,1995,15.337,57.794,-17.648,0.962,0,11.979,40.326,35.619,-11.663,0,0,0,58.649,155.736,-32.7,0,0,0,-1766.916,1724.612,0,0,-43.366,-118.37,47.18,-10.283,0,0,0,0,-9.906,0,-0.526,26.465,141.586,-1.297,62.534,204.12,-32.7,123.036
5,1996,93.485,60.435,-24.548,2.496,0,-7.032,2.757,-26.327,-7.167,0,0,0,57.33,177.756,-34.071,0,0,0,-2614.349,2403.631,0,0,-111.879,-356.668,70.367,-17.849,0,0,0,0,-12.31,0,-3.342,36.866,200.529,0.01,-142.036,58.493,-34.071,143.685
5,1997,153.277,55.621,8.556,0,0,8.534,16.387,33.477,-9.42,0,0,0,-34.841,198.114,-45.869,0,0,0,-2363.993,2363.793,0,0,-0.796,-46.865,39.87,-126.778,0,0,0,0,-14.586,0,0,-101.494,58.493,2.497,52.252,110.745,-45.869,152.245
5,1998,186.837,59.384,-14.711,0,0,14.802,-35.668,-35.577,-4.172,0,0,0,-3.794,202.678,-33.882,0,0,0,-2657.302,2906.287,0,0,-42.274,172.829,70.995,-275.644,0,0,0,0,-20.911,0,6.356,-219.204,110.745,0.528,156.831,267.576,-33.882,168.796
5,1999,105.144,56.264,-14.39,0,0,-8.461,59.502,36.651,-6.774,0,0,0,12.184,203.469,-59.745,0,0,0,-1335.698,1358.686,0,0,-3.544,-40.301,70.935,-379.203,0,0,0,0,-16.291,0,2.768,-321.791,267.576,1.918,-156.705,110.871,-59.745,143.724
5,2000,237.751,50.77,65.733,0,0,-12.989,13.136,65.88,0.694,0,0,0,-20.896,334.199,-42.206,40.613,0,0,-314.434,296.849,0,0,93.328,74.15,142.938,-479.161,0,0,0,0,-12.233,0,0.978,-347.478,110.871,-0.597,60.274,171.145,-42.206,291.993
5,2001,287.808,43.275,-88.487,0,0,4.588,67.1,-16.799,1.398,0,0,0,128.944,444.626,-29.836,5.42,0,0,-502.934,323.738,0,0,-24.448,-228.06,119.135,-255.456,0,0,0,0,-11.979,0,0,-148.3,171.145,-2.545,65.721,236.866,-29.836,414.79
5,2002,205.644,56.645,16.273,0,0,-9.389,9.118,16.002,-17.6,0,0,0,158.011,418.702,-46.556,0,0,0,-849.129,869.26,0,0,0,-26.425,87.536,-485.115,0,0,0,0,-12.007,0,0,-409.586,236.866,-0.895,-18.204,218.662,-46.556,372.146
5,2003,191.399,63.481,5.91,0,0,-2.277,15.39,19.023,-5.486,0,0,0,60.914,329.331,-31.578,0,0,0,-617.105,499.075,0,0,7.345,-142.263,81.859,-293.241,0,0,0,0,-11.881,0,0,-223.263,218.662,1.217,-34.978,183.684,-31.578,297.753
5,2004,266.344,49.014,-29.148,0,0,-0.328,56.162,26.686,36.46,0,0,0,54.632,433.136,-39.454,0,0,0,-1206.891,685.009,0,0,-16.5,-577.836,213.421,-84.777,0,0,0,0,-11.626,0,0,117.018,149.733,4.471,-23.211,126.522,-39.454,393.682
5,2005,450.398,81.867,9.221,0,4.908,5.755,10.395,30.279,46.27,0,0,0,95.989,704.803,-63.226,5.933,0,0,-1902.026,1750.352,0,0,-142.345,-351.312,396.105,-608.681,0,0,0,0,-11.942,0,0,-224.518,126.522,3.566,132.539,259.061,-63.226,641.577
5,2006,602.839,82.775,-36.091,0,-10.585,-2.456,42.923,-6.209,-7.068,0,0,0,86.052,758.389,-48.875,0,0,0,-1882.058,1600.333,0,0,-17.799,-348.399,356.547,-600.099,0,0,0,0,-3.044,0,0,-246.596,259.061,-1.637,161.757,420.818,-48.875,709.514
5,2007,505.809,307.822,-112.844,0,12.43,11.794,34.789,-53.831,-4.264,0,0,0,171.703,927.239,-83.25,0,0,0,-1619.536,1458.852,0,0,439.12,195.186,509.506,-1364.412,0,0,0,0,0,0,80.23,-774.676,420.818,3.933,351.682,772.5,-83.25,843.989
5,2008,723.807,315.464,-103.244,0,-2.517,11.545,166.043,71.827,58.385,0,0,0,269.82,1439.303,-132.075,0,0,0,-2693.775,2985.528,0,0,-76.384,83.294,516.087,-1951.527,0,0,0,0,0,0,85.05,-1350.39,772.5,1.715,173.922,946.422,-132.075,1307.228
5,2009,871.814,270.269,-153.386,0,-5.584,-33.152,65.879,-126.243,46.584,172.47,0,0,45.788,1280.682,-111.792,0,-3.584,0,-2506.002,2316.697,0,0,0,-304.681,319.165,-1722.715,0,800,-450,350,0,0,31.983,-1021.567,946.422,-14.406,-59.972,886.45,-111.792,1168.89
5,2010,386.508,282.423,172.287,0,21.814,35.394,-45.142,184.353,93.971,167.58,0,0,2.959,1117.794,-119.592,0,-1582.669,0,-1336.509,1541.674,0,0,0,-1497.096,179.566,-350.013,0,650,-13.897,636.103,0,0,11.98,477.636,886.45,14.703,113.037,999.487,-119.592,998.202
5,2011,774.68,292.738,-134.276,0,-39.963,42.255,109.348,-22.636,-172.329,231.09,0,0,9.452,1112.995,-169.642,32.151,-193.281,0,-2629.003,1800.481,0,0,0,-1159.294,139.27,-850.02,0,1493.439,-1003.719,489.72,0,0,5.768,-215.262,999.487,11.965,-249.596,749.891,-169.642,943.353
5,2012,832.847,270.205,-81.065,0,-5.1,62.766,101.109,77.71,51.415,286.1,0,0,25.037,1543.314,-210.294,0,-259.046,0,-1926.675,1638.613,0,0,0,-757.402,144.754,-695.015,0,0,-10.046,-10.046,0,0,9.949,-550.358,749.891,4.055,239.609,989.5,-210.294,1333.02
5,2013,832.775,299.766,45.166,0,4.552,-126.65,87.34,10.408,89.212,298.5,0,0,-31.081,1499.58,-271.076,0,-353.195,0,-1806.186,1595.795,0,0,0,-834.662,235.251,-405,0,3.152,-9.855,-6.703,0,0,-58.271,-234.723,989.5,5.357,435.552,1425.052,-271.076,1228.504
5,2014,289.985,321.227,33.649,0,-55.509,-16.864,201.366,162.642,29.704,328.99,23.151,0,-4.013,1151.686,-188.358,24.26,-704.589,0,-2125.795,1816.679,0,0,0,-1177.803,598.194,-1100,0,25.703,-25.879,-0.176,0,0,-57.156,-559.138,1425.052,-5.241,-590.496,834.556,-188.358,963.328
5,2015,268.395,313.59,7.928,0,-1.918,63.632,326.438,396.08,-26.089,333.7,0,0,1.806,1287.482,-148.332,0,-29.802,0,-2031.758,1719.185,0,0,0,-490.707,227.841,-600,0,0,-14.684,-14.684,0,0,-120.44,-507.283,834.556,-6.648,282.844,1117.4,-148.332,1139.15
5,2016,629.551,339.473,-79.502,0,-7.701,98.24,320.801,331.838,-69.657,335.86,0,0,-97.563,1469.502,-184.936,57.779,-826.004,0,-2087.612,1552.415,0,0,0,-1488.358,164.27,-625,0,989.28,-602.189,387.091,0,0,-127.048,-200.687,1117.4,-21.297,-240.84,876.56,-184.936,1284.566
