enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
6,1994,220.7,59.1,-135.9,-80.5,0,83.1,0.5,-132.8,-32.7,0,0,0,-3.3,111,-180.4,0,0,0,0,151.3,0,0,-266.8,-295.9,134.3,0,0,89.9,0,89.9,0,0,0,224.2,119.6,1.4,40.7,160.3,-180.4,-69.4
6,1995,454.1,83.2,-442.9,-186.4,0,369.1,-35,-295.2,-99.3,0,0,0,-0.1,142.7,-265.6,0,0,0,-572.7,351.2,0,0,0.1,-487,370.4,0,0,102.5,0,102.5,0,0,0,472.9,160.2,-3,125.6,285.8,-265.6,-122.9
6,1996,599.6,148.9,-43.8,-60,0,167.3,-34.1,29.4,-85.9,0,0,0,0,692,-452.5,0,0,0,-857.9,707.6,0,0,0,-602.8,40.4,-37.1,0,27,0,27,0,0,0.1,30.4,285.8,-1.6,118,403.8,-452.5,239.5
6,1997,498.5,219.4,-332,-171.2,0,352.5,111.2,-39.5,-52.5,0,0,0,75.8,701.7,-339.4,0,0,0,-1125.4,664.2,0,0,-246.3,-1046.9,150.4,-78.2,0,318.5,0,318.5,0,0,0,390.7,403.9,-1.4,44.1,448,-339.4,362.3
6,1998,277.669,293.499,304.024,114.863,0,-147.868,-118.104,152.915,-44.342,0,0,0,188.668,868.409,-464.372,0,0,0,-875.222,779.356,0,0,-32.227,-592.465,74.534,-158.915,0,0,-64.233,-64.233,0,0,0,-148.614,504.018,7.457,134.787,638.805,-464.372,404.037
6,1999,713.882,288.409,-362.857,-56.314,0,183.168,120.061,-115.942,10.598,0,0,0,183.695,1080.642,-219.657,0,0,0,-1710.694,984.48,0,0,-36.466,-982.337,205.866,-61.913,0,0,-16.531,-16.531,0,0,0,127.422,638.805,3.589,229.316,868.121,-219.657,860.985
6,2000,2063.552,361.97,-1086.262,-788.59,0,835.675,115.962,-923.215,-237.262,0,0,0,386.77,1651.815,-383.255,0,0,0,-2637.438,2008.257,0,0,0,-1012.436,276.358,-177.154,0,49.938,0,49.938,0,0,0,149.142,868.121,-9.038,779.483,1647.604,-383.255,1268.56
6,2001,507.829,386.971,845.499,321.164,0,-687.132,-340.453,139.078,88.23,0,0,0,458.196,1580.304,-710.62,0,0,0,-2905.68,2054.004,0,0,-21.017,-1583.313,202.379,-371.4,0,0,-91.604,-91.604,0,0,0,-260.625,1647.604,-27.666,-291.3,1356.304,-710.62,869.684
6,2002,269.004,387.526,-278.387,147.015,0,-138.552,-5.165,-275.089,-0.161,0,0,0,170.235,551.515,-476.457,0,0,0,-2356.157,2188.117,0,0,-107.462,-751.959,199.486,-124.995,0,56.351,0,56.351,0,0,0,130.842,1356.304,-1.911,-71.513,1284.791,-476.457,75.058
6,2003,-149.147,384.391,144.369,331.161,0,-59.923,146.371,561.978,-208.565,0,0,0,266.418,855.075,-265.28,0,0,0,-2446.927,1941.111,0,0,-13.498,-784.594,322.721,-249.937,0,0,-64.405,-64.405,0,0,0,8.379,1284.791,1.206,80.066,1364.857,-265.28,589.795
6,2004,1351.303,356.985,-756.193,-187.925,0,586.243,-3.007,-360.882,78.927,0,0,0,200.938,1627.271,-190.577,0,0,0,-3535.327,3380.542,0,0,-7.4,-352.762,396.61,-650,0,0,-105.414,-105.414,0,0,0,-358.804,1364.857,1.282,916.987,2281.844,-190.577,1436.694
6,2005,1209.9,300.584,86.959,130.924,0,-444.858,-163.526,-390.501,20.31,0,0,0,106.847,1247.14,-199.65,0,0,0,-3123.366,3245.686,0,0,-101.793,-179.123,266.115,-1677.511,0,0,-61.715,-61.715,-98.04,0,0,-1571.151,1493.292,0.184,-502.95,990.342,-199.65,1047.49
6,2006,1516.663,270.413,-393.022,-222.335,0,237.952,50.801,-326.604,25.323,0,0,0,449.932,1935.727,-179.482,1.863,0,0,-821.505,3312.388,0,0,-322.887,1990.377,337.106,-4157.725,0,0,-7.71,-7.71,-250.782,0,23.664,-4055.447,990.342,0.464,-128.879,861.463,-179.482,1756.245
6,2007,1710.196,268.334,33.401,140.933,0,-131.188,-43.836,-0.69,31.642,161.2,0,0,38.614,2209.296,-264.784,0,-599.653,0,-3203.427,3091.251,0,0,0,-976.613,898.025,-1331.997,0,0,-202.139,-202.139,-305.672,0,49.794,-891.989,861.463,0.565,341.259,1202.722,-264.784,1944.512
6,2008,960.746,320.051,296.229,-638.256,0,-126.31,695.666,227.329,-58.259,178.94,0,0,81.661,1710.468,-287.906,42.21,-235.324,0,-5534.475,5939.509,0,0,0,-75.986,393.978,-1499.984,0,0,-2.117,-2.117,-325.405,0,7.491,-1426.037,1202.722,0.457,208.902,1411.624,-287.906,1422.562
6,2009,-305.327,291.203,527.838,359.56,0,-889.134,-189.536,-191.272,18.863,147.16,84.48,0,287.558,332.665,-248.427,0,0,0,-956.249,1317.365,0,0,0,112.689,61.824,-22.906,0,0.75,-1.5,-0.75,-319.507,0,0,-281.339,1411.624,0.742,164.757,1576.381,-248.427,84.238
6,2010,938,305,-767,145,0,731,115,224,-186,126,13,0,303,1723,-169,0,-323,0,-1778,1408,0,0,0,-862,129,-350,0,0,-6,-6,-349,0,0,-576,1576,-3,282,1858,-169,1554
6,2011,1926,246,292,-163,0,-310,186,5,136,146,0,0,-30,2429,-209,130,0,0,-1137,1923,0,0,0,707,95,-468,0,1730,0,1730,-397,0,0,960,1858,6,4102,5960,-209,2220
6,2012,109,422,493,679,0,-469,-376,327,222,182,421,0,168,1851,-162,0,-4190,0,-1327,1019,0,0,0,-4660,96,-1416,0,0,-1,-1,-434,0,1,-1754,5960,-5,-4568,1392,-162,1689
