enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
8,1994,374.6,50.7,-8.3,-17.9,0,-15,2.2,-39,17.4,0,0,0,29.3,433,-209.9,0,0,0,-131.3,0,0,0,-48.7,-389.9,62.2,-207.5,0,160.8,0,160.8,0,0,-22.1,-6.6,-36.5,0,36.5,0,-209.9,223.1
8,1995,319.7,74.5,-30.4,-23.3,0,4.6,34,-15.1,2.4,0,0,0,150.4,531.9,-130.8,0,0,0,-1395.1,1593.5,0,0,-258.6,-191,59.9,-300.5,0,0,-9.6,-9.6,0,0,-7.9,-258.1,-82.8,0,82.8,0,-130.8,401.1
8,1996,537.7,84.2,-4.6,9.2,0,23.9,45.5,74,23.9,0,0,0,53.4,773.2,-162.7,0,0,0,-1646.6,1148.4,0,0,-33.2,-694.1,145.4,-285.7,0,0,-36.2,-36.2,0,0,-47.2,-223.7,144.6,0,-144.6,0,-162.7,610.5
8,1997,679.8,100.3,-26.1,-8.6,0,20.6,-21.8,-35.9,25.6,0,0,0,52.8,822.6,-266.9,0,0,0,-854.8,930.7,0,0,-119.2,-310.2,162.1,-450,0,0,-69.7,-69.7,0,0,-52.2,-409.8,-102.6,0,102.6,0,-266.9,555.7
8,1998,644.3,117.1,-43.6,-11.8,0,28.9,163.3,136.8,-31.4,0,0,0,36.1,902.9,-387.8,0,0,0,-767.5,891.4,0,0,-38.3,-302.2,189,-737.9,0,81.8,0,81.8,0,0,-63.8,-530.9,-69.8,0,69.8,0,-387.8,515.1
8,1999,863.2,143.8,-50.9,-1.6,0,17.7,30.5,-4.3,-5.6,0,0,0,44.4,1041.5,-407.8,0,0,0,-766.3,486.3,0,0,14.1,-673.7,345.5,-912.1,0,69.7,0,69.7,0,0,91.1,-405.8,38,0,-38,0,-407.8,633.7
8,2000,1096.4,176.8,-92.3,-73.5,0,-38.2,-20.5,-224.5,9.8,0,0,0,16.8,1075.3,-304.2,0,0,0,-1032.7,883.5,0,0,-10.1,-463.5,248.8,-1024.7,0,0,-6.2,-6.2,0,0,100.1,-682,201.1,0,-70.2,130.9,-304.2,771.1
8,2001,1138.5,211.8,23,-120.9,0,59.8,-82.6,-120.7,0,0,0,0,405,1634.6,-437.7,0,0,0,-1638.7,1067.8,0,0,-27.7,-1036.3,333.7,-799.9,0,0.2,0,0.2,0,0,-36.7,-502.7,130.9,0,95.6,226.5,-437.7,1196.9
8,2002,1119.7,265.9,-123,-85.5,0,-6.5,115.6,-99.4,-148.3,0,0,0,342.3,1480.2,-441.8,0,0,0,-918.2,792,0,0,28.4,-539.6,277.7,-737.5,0,0,0,0,0,0,-18.2,-478,226.5,0,462.6,689.1,-441.8,1038.4
8,2003,-1392,447,-122,-102,0,11,-37,-250,175,0,0,0,3269,2249,-659,390,0,0,-2953,2400,0,0,-2042,-2864,428,-1420,0,2765,0,2765,0,0,5,1778,689,0,1163,1852,-659,1590
