enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
10,1996,67.532,6.835,-62.178,-33.271,0,-12.93,66.048,-42.331,2.553,0,0,0,3.295,37.884,-23.389,0,0,0,-5.6,0,0,0,2.388,-26.601,0,0,0,14,0,14,0,0,-1.646,12.354,-23.39,-0.247,23.39,0,-23.389,14.495
10,1997,106.988,10.012,-66.347,-51.924,0,36.823,1.186,-80.262,2.46,0,0,0,3.563,42.761,-39.876,0,0,0,-1.951,5.515,0,0,-0.002,-36.314,46.58,0,0,0,-22.823,-22.823,0,0,-0.001,23.756,-30.796,0.593,30.796,0,-39.876,2.885
10,1998,155.803,16.703,-100.988,-105.789,0,46.751,-21.888,-181.914,3.839,0,0,0,-11.23,-16.799,-43.295,13.056,0,0,0,16.703,0,0,0.001,-13.535,0,0,0,0,-1.92,-1.92,0,0,5.856,3.936,62.3,0.576,-25.822,36.478,-43.295,-60.094
10,1999,65.097,35.746,63.837,-142.08,0,-61.946,-12.875,-153.064,-4.052,0,0,0,-0.091,-56.364,-103.454,3.242,0,0,0,0,0,0,-7.203,-107.415,1.891,0,0,285.871,0,285.871,0,0,-1.351,286.411,-121.731,-0.901,121.731,0,-103.454,-159.818
10,2000,81.694,43.007,-248.397,13.364,0,83.603,60.894,-90.536,4.321,0,0,0,-0.001,38.485,-111.035,2.914,0,0,0,0,0,0,-13.264,-121.385,31.954,0,0,522.519,0,522.519,0,0,-12.963,541.51,152.637,-1.508,457.102,609.739,-111.035,-72.55
10,2001,309.419,59.328,-200.379,-111.996,0,117.606,0.515,-194.254,-7.283,0,0,0,-0.952,166.258,-118.239,2.691,0,0,0,0,0,0,0,-115.548,16.071,0,0,0,0,0,0,0,107.583,123.654,535.669,36.513,210.877,746.546,-118.239,48.019
10,2002,-427.652,141.778,348.878,-336.325,0,22.986,-122.071,-86.532,-174.891,0,0,0,336.992,-210.305,-309.571,19.348,0,0,0,0,0,0,-31.167,-321.39,23.527,0,0,582.274,0,582.274,0,0,-155.465,450.336,878.711,15.717,-65.642,813.069,-309.571,-519.876
10,2003,-89.691,169.139,-58.252,-78.855,0,-73.272,-36.752,-247.131,-22.779,0,0,0,135.299,-55.163,-141.177,59.833,0,0,0,0,0,0,-0.001,-81.345,27.128,0,0,0,0,0,0,0,-135.157,-108.029,927.704,-1.904,-246.441,681.263,-141.177,-196.34
10,2004,-152.877,177.796,259.849,117.005,0,8.879,246.583,632.316,-97.71,0,0,0,65.867,625.392,-87.718,59.966,0,0,0,0,0,0,-3.806,-31.558,7.809,0,0,0,-80.996,-80.996,0,0,5.139,-68.048,821.146,-84.925,440.861,1262.007,-87.718,537.674
10,2005,315.397,120.842,-258.28,-199.873,0,163.416,-4.747,-299.484,153.641,0,0,-7.877,54.051,336.57,-100.434,20.276,0,0,0,0,0,0,-0.744,-80.902,26.831,0,0,0,-1.554,-1.554,0,0,0,25.277,1376.739,-12.613,268.332,1645.071,-100.434,236.136
10,2006,369.191,107.31,241.202,-49.069,0,4.037,125.832,322.002,21.135,0,0,-2.391,26.114,843.361,-86.127,15.688,0,0,0,0,0,0,-1.633,-72.072,18.762,0,0,0,-15.349,-15.349,0,0,0,3.413,1455.748,27.157,801.859,2257.607,-86.127,757.234
10,2007,817.104,115.049,-478.716,-112.567,0,-11.778,301.122,-301.939,-94.252,0,0,0,114.342,650.304,-93.446,0.145,0,0,0,0,0,0,0,-93.301,34.575,-896.149,0,0,-10.988,-10.988,0,0,3.839,-868.723,2515.993,-16.881,-328.601,2187.392,-93.446,556.858
10,2008,978.252,184.197,61.83,-639.648,0,-56.776,165.312,-469.282,155.124,0,0,0,173.712,1022.003,-261.186,7.306,0,0,0,0,0,0,-274.101,-527.981,92.295,-1999.817,0,851.466,0,851.466,0,0,13.129,-1042.927,2414.071,-11.25,-560.155,1853.916,-261.186,760.817
10,2009,435.635,161.068,178.577,-118.654,0,-341.422,-136.577,-418.076,-46.155,18.297,33.931,0,194.686,379.386,-351.041,0,0,0,0,0,-0.047,0,0,-351.088,15.507,-118.385,0,0,-3.258,-3.258,-145.731,0,2.897,-248.97,1718.427,1.142,-219.53,1498.897,-351.088,28.298
10,2010,-220.007,206.459,246.074,-230.356,0,15.204,21.619,52.541,-72.045,19.519,23.172,0,134.959,144.598,-153.001,10.025,0,0,0,0,0,0,-0.001,-142.977,16.141,0,0,0.047,-2.109,-2.063,-126.073,0,2.849,-109.146,1616.887,2.408,-105.117,1511.77,-153.001,-8.403
10,2011,1351.614,200.323,-968.522,-934.171,0,1604.696,-150.798,-448.795,37.107,16.019,11.327,0,75.855,1243.45,-170.275,5.06,0,0,0,0,0,0,-0.001,-165.216,41.005,0,0,0,-1.91,-1.91,-115.026,0,198.553,122.622,1371.791,6.499,1207.355,2579.146,-170.275,1073.175
10,2012,1930.211,217.349,207.076,-363.478,0,609.188,-76.699,376.087,83.224,16.355,16.147,0,84.89,2724.263,-395.918,0,0,0,0,0,0,0,0,-395.918,44.847,-921.647,0,0,-3.338,-3.338,-227.164,0,-197.384,-1304.686,2565.571,5.22,1028.879,3594.45,-395.918,2328.345
10,2013,1504.352,244.908,-8.268,-462.882,0,-489.205,25.089,-935.266,-94.979,24.554,4.244,0,175.386,923.199,-225.562,0,-13.507,0,-1811.02,590.541,-10.05,0,0.001,-1469.597,5128.171,-702.589,0,0,-3.643,-3.643,-247.89,0,-4890.037,-715.988,3585.016,-2.95,-1265.336,2319.68,-235.612,687.587
10,2014,1391.082,313.39,-157.179,-709.755,0,361.923,-45.125,-550.136,-31.038,71.74,17.886,0,231.149,1444.073,-288.773,0,-607.825,0,-1239.529,1637.029,-5.479,0,0,-504.577,43.592,-410.959,0,1014.308,-510.141,504.167,-296.007,0,4.26,-154.947,2421.365,-13.182,771.367,3192.732,-294.252,1149.821
10,2015,1475.512,313.988,-125.642,-361.781,0,-122.895,-138.624,-748.942,-72.811,78.15,12.982,0,205.247,1264.126,-441.776,0,0,0,-622.387,1047.813,-3.64,0,0,-19.99,48.926,-863.132,0,0,-5.09,-5.09,-330.409,0,4.897,-1144.808,2873.852,10.158,109.486,2983.338,-445.416,818.71
10,2016,1511.111,323.42,106.645,-95.643,0,172.44,-164.379,19.063,49.346,64.27,2.505,0,236.712,2206.427,-405.011,0,0,0,-1222.113,364.815,-1.198,0,-0.001,-1263.508,36.166,-615.359,0,0,-3.922,-3.922,-329.303,0,4.03,-908.388,2635.621,8.17,42.701,2678.322,-406.209,1800.218
10,2017,1643.249,376.477,158.755,5.696,0,25.211,-606.223,-416.561,14.135,50.316,3.692,0,85.97,1757.278,-333.65,0,-2786.181,0,-2674.051,2447.257,-8.861,0,-7.805,-3363.291,614.662,-421.941,0,2352.954,-4.958,2347.996,-470.359,0,0.95,2071.308,2593.566,7.489,472.784,3066.35,-342.511,1414.767
10,2018,2445.799,494.083,-1055.148,-336.213,0,423.077,-71.834,-1040.118,-9.941,62.84,10.651,0,188.52,2151.834,-401.065,0,-1206.746,0,-1304.497,1479.29,-22.604,0,1.184,-1454.438,59.882,-591.716,0,0,-287.574,-287.574,-611.479,0,-0.001,-1430.888,3440.119,-33.254,-766.746,2673.373,-423.669,1728.165
10,2019,2948.35,480.887,-514.79,-586.689,0,381.797,664.847,-54.835,-271.331,52.673,21.615,0,318.318,3495.677,-653.015,0,0,0,-1047.213,1176.451,-40.387,0,5.006,-559.158,24.801,-1303.982,0,0,-3.185,-3.185,-679.295,0,0,-1961.661,2569.965,5.916,980.774,3550.739,-693.402,2802.275
10,2020,2880.333,498.333,-389.222,-449.667,0,77.778,885.111,124,-263.111,82.889,8.667,0,309.333,3640.444,-851.778,0,0,0,-1435,1132.222,-132.556,0,1.001,-1286.111,30.222,-455.556,0,0,-4.222,-4.222,-1473,0,0,-1902.556,3467.89,5.111,456.888,3924.778,-984.333,2656.111
