enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
13,1994,1041.358,254.423,-292.882,75.439,0,0,319.508,102.065,0,0,0,0,-692.266,705.58,-462.99,23.667,0,85.794,-25.146,0,0,0,-10.355,-389.03,1998.402,0,0,5.917,-1270.635,-1264.718,0,-4.438,-57.688,671.558,230.755,-8.875,979.233,1209.988,-462.99,242.59
13,1995,1030.283,276.722,25.014,-79.734,0,0,4.691,-50.029,0,0,0,0,-631.614,625.362,-492.472,40.648,0,139.143,-18.761,0,0,0,-118.818,-450.26,4.69,0,0,103.185,-903.648,-800.463,0,-9.38,0,-805.153,1278.863,-9.38,-639.431,639.432,-492.472,132.89
13,1996,1280.982,299.771,-41.721,-61.809,0,0,40.176,-63.354,0,0,0,0,-931.763,585.636,-431.114,12.362,-217.875,24.723,-13.907,0,0,0,-23.178,-648.989,9.271,0,0,91.168,-20.088,71.08,0,-6.181,0,74.17,-177.7,0,10.817,-166.883,-431.114,154.522
13,1997,1786.142,371.614,-147.275,-58.225,0,0,5.137,-200.363,0,0,0,0,-1169.641,787.752,-638.764,15.413,-34.25,284.276,-13.7,0,0,0,-160.977,-548.002,5.138,0,0,1.713,-61.651,-59.938,0,-11.988,0,-66.788,-126.724,0,172.962,46.238,-638.764,148.988
13,1998,1790.319,357.072,-223.17,-145.474,0,0,279.376,-89.268,0,0,0,0,-1310.917,747.206,-755.472,34.715,-328.969,4.959,-11.572,0,0,0,482.709,-573.63,24.797,0,0,0,-64.471,-64.471,0,-13.225,-0.001,-52.9,775.31,0,120.676,895.986,-755.472,-8.266
13,1999,2553,821,-479,-262,0,0,818,77,0,0,0,0,-29,3422,-1392,155,-595.9,0,-18.259,0,0,0,-1530.841,-3382,12,0,0,0,-217,-217,-995,-8.299,982.299,-226,3324,0,-186,3138,-1392,2030
13,2000,2730,1069,-448,-416,0,0,645,-219,0,0,0,0,-1455,2125,-1490,2009,-22.988,2000.016,-5.997,0,0,0,-3243.031,-753,22,-183,0,38.98,-59.98,-21,-1216,-5.997,-248.003,-1652,709,0,-280,429,-1490,635
13,2001,4011.829,929.024,-987.274,-670.63,0,0,1377.106,-280.798,0,0,0,0,-2324.053,2336.002,-1460.748,37.34,-167.284,908.113,-2.987,0,0,0,-607.898,-1293.464,19.417,-353.985,0,38.834,-103.059,-64.225,0,-1.494,0,-400.287,3596.607,0,642.251,4238.858,-1460.748,875.254
13,2002,4156,860,138,-417,0,0,-727,-1006,0,0,0,0,-884,3126,-1385,44,-62.219,0,-5,0,0,0,-178.781,-1587,86,-1080,0,325.611,-290.611,35,-1236,0,260,-1935,1101,0,-396,705,-1385,1741
13,2003,4356,960,-198,101,0,0,402,305,0,0,0,0,-788,4833,-1340,66,0,0,-1,0,0,0,-268,-1543,0,-1154,0,0,-118,-118,-1234,0,-806,-3312,748,0,-22,726,-1340,3493
13,2004,4077,1293,-171,-131,0,0,-430,-732,0,0,0,0,-1270,3368,-1282,118,0,0,-120,617,0,0,-185,-852,47,-1154,0,0,-345,-345,-1222,0,0,-2674,968,62,-96,872,-1282,2086
13,2005,4844,1268,-207,129,0,0,11,-67,0,0,0,0,-1228,4817,-1063,390,0,0,-117,1855,0,0,-95,970,102,-2212,0,727,0,727,-1378,0,0,-2761,872,29,3055,3927,-1063,3754
13,2006,6667,1327,-502,596,0,0,238,332,0,0,0,0,-1583,6743,-810,87,0,0,-503,0,0,0,44,-1182,143,-3001,0,3,0,3,-1717,0,0,-4572,3927,-21,968,4895,-810,5933
13,2007,8543,1345,-470,158,0,0,420,108,0,0,0,0,-2303,7693,-1339,696,0,0,-17,1188,0,0,-800,-272,985,-4147,0,16,0,16,-2220,0,0,-5366,4895,39,2094,6989,-1339,6354
13,2008,7983,1856,-717,442,0,0,-168,-443,0,0,0,0,-1886,7510,-1679,54,0,0,-35,1315,0,0,-14542,-14887,218,-4170,0,12644,0,12644,-2641,0,0,6051,6989,64,-1262,5727,-1679,5831
13,2009,8681,2620,-1032,185,0,0,724,-123,0,0,0,0,-2436,8742,-1095,39,0,0,-40,32,-2944,0,112,-3896,159,-610,0,787,-3959,-3172,-2739,0,0,-6362,5727,-88,-1604,4123,-4039,4703
13,2010,10807,2087,-256,6,0,0,1579,1329,0,0,0,0,-2484,11739,-962,138,0,0,-1402,3,-355,0,102,-2476,135,0,0,0,-787,-787,-2977,0,0,-3629,4123,71,5705,9828,-1586,10153
13,2011,10977,2741,10,88,0,0,-16,82,0,0,0,0,-3120,10680,-791,83,-348,0,-159,5,-1180,0,164,-2226,494,-2604,0,0,-1749,-1749,-3361,0,-114,-7334,9828,33,1153,10981,-2181,8499
13,2012,12283,2550,-1108,-256,0,0,467,-897,0,0,0,0,-6115,7821,-839,102,0,1772,-2754,0,-458,0,155,-2022,409,-6015,0,46,0,46,-3764,0,3,-9321,10981,-25,-3547,7434,-1297,6524
13,2013,7646,2518,755,-150,0,0,-1311,-706,0,0,0,0,-2510,6948,-672,199,-1187,0,-46,3662,-3947,0,132,-1859,429,-2635,0,2667,-1750,917,-3665,-17,48,-4923,7434,-4,162,7596,-4619,2329
13,2014,3267,4583,-383,135,0,0,414,166,0,0,0,0,-616,7400,-742,69,-1158,0,-91,168,-1281,0,146,-2889,482,0,0,0,-5,-5,-3461,-27,-36,-3047,7596,-65,1399,8995,-2058,5342
13,2015,1246,3282,311,108,0,0,2089,2508,0,0,0,0,22,7058,-1012,158,-4531,0,-130,93,-1740,0,130,-7032,279,0,0,1439,-750,689,-3521,-36,-116,-2705,8995,-152,-2831,6164,-2752,4306
13,2016,3069,2852,152,-315,0,0,114,-49,0,0,0,0,-2548,3324,-1328,47,-3070,0,-57,376,-330,0,123,-4239,43,0,0,5928,-1514,4414,-3486,-42,-51,878,6164,-76,-113,6051,-2788,536
13,2017,3552,2357,1610,-343,0,0,-341,926,0,0,0,0,-2690,4145,-1446,82,-2898,0,-396,3,559,0,127,-3969,47,0,0,2491,-303,2188,-3561,-16,18,-1324,6051,21,-1127,4924,-2314,1831
13,2018,2227,3036,83,-548,0,0,415,-50,0,0,0,0,-1635,3578,-1326,83,-1960,0,-441,70,1082,0,164,-2328,43,0,0,2324,-1750,574,-3519,-14,-20,-2936,4924,-66,-1752,3172,-1620,1958
13,2019,1993,3753,-523,-13,0,0,-103,-639,0,0,0,0,-2489,2618,-1043,12,-536,0,-102,429,2010,0,193,963,34,0,0,2971,-1498,1473,-3484,0,-67,-2044,3172,-38,1499,4671,-1371,1247
13,2020,1548,3762,-898,-316,0,0,868,-346,0,0,0,0,-1995,2969,-979,37,-783,0,-13,212,595,0,274,-657,3525,0,0,500,-2016,-1516,-3592,-186,4,-1765,4671,5,552,5223,-2460,509
13,2021,3916,2896,-739,-621,0,0,1721,361,0,0,0,0,-2374,4799,-961,106,-830,0,-119,2126,-694,0,87,-285,30,0,0,3256,-1609,1647,-3572,-207,-101,-2203,5223,12,2323,7546,-2606,2193
13,2022,-265,4102,-961,1577,0,0,1405,2021,0,0,0,0,105,5963,-1091,13,-10209,776,-184,105,-522,0,54,-11058,29,0,0,12929,-5035,7894,-3856,-240,-178,3649,7546,-62,-1508,6038,-2200,3763
13,2023,2501,5254,-1349,3941,0,0,1165,3757,0,0,0,0,-1704,9808,-1091,282,-1061,0,-159,42,-1033,0,60,-2960,29,-920,0,74,-1271,-1197,-4364,-244,-127,-6823,6038,-80,-55,5983,-2571,7237
