enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
17,2003,527.824,561.403,92.343,-31.481,0,-254.992,34.629,-159.501,0,0,139.564,0,27.282,1096.572,-540.416,88.145,-2413.507,1937.102,-189.933,166.847,-82.899,0,20.988,-1013.673,3.148,0,0,5952.968,-6153.394,-200.426,-149.008,0,0,-346.286,366.224,-5.247,-268.634,97.59,-636.956,459.616
17,2004,702.744,681.334,0,-31.485,0,0,-120.902,-152.387,0,0,149.868,0,68.008,1449.567,-685.113,104.53,-482.35,0,-78.083,125.94,-168.759,0,1.26,-1182.575,8.816,0,0,7832.198,-7537.499,294.699,-211.579,0,0,91.936,117.124,-22.669,336.259,453.383,-857.65,591.917
17,2005,974.677,908.253,-262.987,-85.403,0,445.993,-100.314,-2.711,0,0,475.816,0,-479.883,1876.152,-1100.748,183.006,-290.099,9.489,-1045.169,1565.72,-65.069,0,-39.312,-782.182,39.312,0,0,6688.537,-6798.341,-109.804,-310.433,0,-8.133,-389.058,488.017,-5.422,699.49,1187.507,-1165.817,710.335
17,2006,1070.697,1051.746,-188.319,21.319,0,-16.582,97.121,-86.461,0,0,56.851,0,755.647,2848.48,-1228.222,114.887,-161.078,86.461,-1947.152,203.717,-162.263,0,33.163,-3060.487,66.326,-129.1,0,8485.035,-7871.516,613.519,-672.739,0,-95.935,-217.929,1037.532,46.192,-383.744,653.788,-1398.775,1449.705
17,2007,2805.897,1442.542,-405.179,1.32,0,576.753,-580.713,-407.819,0,0,31.675,0,465.891,4338.186,-1670.868,122.741,-2020.615,3.959,-976.653,21.117,-59.391,0,-14.517,-4594.227,108.224,-77.868,0,8485,-7327.535,1157.465,-814.317,0,-98.985,274.519,728.529,-39.594,-21.116,707.413,-1821.325,2516.861
17,2008,4167,1408,-23,-94,0,487,0,370,0,72,67,0,-527,5557,-2162,193,-1836,577,-1679.619,0,-135.594,0,1818.213,-3225,115,-821,0,8950,-8459,491,-1052,0,-60,-1327,705,121,1126,1831,-2162,3395
17,2009,3126,1912,201,-388,0,364,-490,-313,0,63,149,0,596,5533,-2652,228,-52479,60,0,76,0,0,-111,-54878,9764,-797,0,56425,-11959,44466,-2922,0,-632,49879,1831,-194,340,2171,-2652,2881
17,2010,5877,2818,149,301,0,337,0,787,0,208,167,0,-733,9124,-1713,327,-646,6168,0,877,0,0,256,5269,76,0,0,27834,-39631,-11797,-1313,0,-62,-13096,2171,193,1490,3661,-1713,7411
17,2011,5762,2788,-190,-134,0,550,0,226,1920,156,150,0,-1097,9905,-2344,221,-71,34,-604,121,0,0,97,-2546,215,0,0,27313,-31603,-4290,-1924,0,-758,-6757,3661,234,836,4497,-2344,7561
17,2012,7859,2783,174,-157,0,1392,0,1409,1826,203,47,0,-1641,12486,-3376,120,-504,454,-25,578,0,0,22,-2731,155,0,0,17291,-21849,-4558,-3088,0,-1505,-8996,4497,56,815,5312,-3376,9110
17,2013,9325,2747,-102,-130,0,1331,0,1099,1680,201,106,0,-1890,13268,-3264,175,-1558,33,0,0,0,0,-6727,-11341,102,0,0,18463,-14814,3649,-3632,0,43,162,5312,-350,1739,7051,-3264,10004
17,2014,16518,2985,-25,-129,0,1020,0,866,2016,240,91,0,-8852,13864,-3869,257,-17439,42,0,0,0,0,10827,-10182,73,0,0,22464,-18006,4458,-6253,0,1964,242,7051,-1142,2782,9833,-3869,9995
17,2015,11302,3353,-371,-354,0,1540,0,815,2499,249,108,0,-4182,14144,-4395,273,-7191,426,0,0,0,0,-173,-11060,83,0,0,18382,-15159,3223,-7400,0,147,-3947,9833,-654,-1517,8316,-4395,9749
17,2016,9867,3153,-138,-424,0,2348,0,1786,2594,221,64,0,-3564,14121,-4749,412,-990,72,0,0,0,0,325,-4930,5,-1000,0,16237,-15780,457,-7966,0,-777,-9281,8316,-1316,-1406,6910,-4749,9372
