enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
18,1994,681,668,-524,154,0,315,293,238,0,0,0,0,-182,1405,-632,0,0,0,0,0,0,0,-748,-1380,0,0,0,0,0,0,-61,0,0,-61,36,0,-36,0,-632,773
18,1995,955,683,-308,-315,0,519,57,-47,0,0,0,0,166,1757,-694,88,0,0,0,0,0,0,-906,-1512,12,-240,0,411,0,411,-91,0,0,92,-336,-1,336,0,-694,1063
18,1996,1136,682,461,-77,0,-43,0,341,0,0,0,0,31,2190,-679,119,0,0,0,0,0,0,-1189,-1749,11,-427,0,447,0,447,-239,0,0,-208,419,-14,219,638,-679,1511
18,1997,1361,696,-319,-111,0,134,0,-296,0,0,0,0,21,1782,-771,135,0,0,0,0,0,0,-1748,-2384,10,-303,0,1015,0,1015,-289,0,0,433,638,18,-151,487,-771,1011
18,1998,1665,738,-396,-375,0,562,0,-209,0,0,0,0,-98,2096,-1106,138,0,0,0,0,0,0,-1573,-2541,11,-706,0,1305,0,1305,-338,0,0,272,487,-22,-195,292,-1106,990
18,1999,1513,865,-104,-104,0,8,0,-200,0,0,0,0,-400,1778,-1269,141,0,0,0,0,0,0,-3452,-4580,6,-567,0,3825,0,3825,-400,0,0,2864,292,6,68,360,-1269,509
18,2000,946,945,494,312,0,-95,-200,511,0,0,0,0,188,2590,-1280,215,0,0,0,0,0,0,-1975,-3040,11,-260,0,1355,0,1355,-445,0,0,661,360,-23,188,548,-1280,1310
18,2001,1053,1022,-327,-54,0,335,-90,-136,0,0,0,0,120,2059,-1388,263,0,0,0,0,0,0,-1628,-2753,4,-412,0,1413,0,1413,-462,0,0,543,548,-63,-214,334,-1388,671
18,2002,805,1169,99,-211,0,-160,-212,-484,0,0,0,0,497,1987,-1968,356,0,0,0,0,0,0,-1315,-2927,6,-43,0,1529,0,1529,-474,0,0,1018,334,-12,66,400,-1968,19
18,2003,798,1220,-6323,162,0,97,-266,-6330,0,0,0,0,350,-3962,-1045,561,-294,0,0,0,0,0,4398,3620,10,0,0,4137,-3441,696,-481,0,0,225,400,26,-91,309,-1773,-5735
18,2004,1099,1347,-8115,-286,0,542,-129,-7988,0,0,0,0,-69,-5611,-1083,761,-268,0,-425,329,0,0,5570,4884,157,-405,0,11989,-10505,1484,-491,0,0,745,309,15,33,342,-1765,-7376
18,2005,2035,1397,-7616,-1391,0,1457,240,-7310,0,0,0,0,-113,-3991,-2114,673,-290,0,0,290,0,0,3518,2077,317,-539,0,5638,-3008,2630,-534,0,0,1874,342,143,103,445,-2114,-6105
18,2006,2854,1477,-970,-568,0,532,-192,-1198,0,0,0,0,-20,3113,-1214,637,-13,0,-338,257,0,0,-2854,-3525,482,-1684,0,14593,-11620,2973,-618,0,0,1153,445,-78,663,1108,-2415,698
18,2007,3537,1602,-148,-827,0,670,768,463,0,0,0,0,197,5799,-1082,572,-513,0,-681,539,0,0,-2631,-3796,414,-3208,0,11269,-10511,758,-726,0,169,-2593,1108,12,-578,530,-2675,3124
18,2008,3578,1797,899,-745,0,618,1646,2418,0,0,0,0,162,7955,-1340,408,-229,0,-485,282,0,0,-3044,-4408,328,-2405,0,11039,-11185,-146,-845,0,79,-2989,530,34,592,1122,-3040,4915
18,2009,3585,1980,-545,-833,0,685,-555,-1248,0,0,0,0,355,4672,-1566,982,-117,0,-339,357,0,0,-5488,-6171,135,-1800,0,20004,-14439,5565,-953,0,8,2955,1122,158,1614,2736,-3886,786
18,2010,827,2336,4014,2501,0,-2917,-399,3199,0,0,0,0,137,6499,-968,1242,-19,0,-349,291,0,0,649,846,89,0,0,12291,-16571,-4280,-1029,0,5,-5215,2736,1,2131,4867,-2472,4027
18,2011,2758,2296,-2320,-2667,0,3534,939,-514,0,0,0,0,469,5009,-1011,1469,-1126,0,-1343,228,0,0,188,-1595,296,0,0,8615,-12461,-3846,-1084,0,21,-4613,4867,-76,-1275,3592,-2586,2423
18,2012,4981,2527,-1409,-2927,0,2429,899,-1008,0,0,0,0,457,6957,-1409,1354,-8184,376,-8520,247,0,0,4709,-11427,123,0,0,15460,-10583,4877,-1159,0,178,4019,3592,-84,-535,3057,-3924,3033
18,2013,5722,2813,-15,-1149,0,-2232,-344,-3740,0,0,580,0,-191,5184,-5076,1117,0,1199,-1020,306,0,0,-2716,-6190,52,0,0,16481,-11047,5434,-1617,0,-263,3606,3057,-167,2433,5490,-5076,108
