enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
21,1994,70.1,143.7,56.8,-271.3,0,205.2,-3,-12.3,-41.6,0,0,0,87.9,247.8,-474.6,67.9,0,0,0,80.8,0,0,-133.8,-459.7,11.4,-0.5,0,98.7,0,98.7,0,0,36.6,146.2,66.6,-0.9,-66.6,0,-474.6,-226.8
21,1995,217.2,142,-81.7,-160.1,0,155.9,0,-85.9,-3.6,0,0,0,8.7,278.4,-530.6,7.3,0,0,0,9.3,0,0,-22.5,-536.5,4.1,0,0,228.3,0,228.3,0,0,16.6,249,8,1.1,-8,0,-530.6,-252.2
21,1996,248.8,161.6,105.2,-82.4,0,-8.3,0,14.5,-4.5,0,0,0,6,426.4,-506.8,4.7,0,0,0,0,0,0,-41.1,-543.2,17.9,0,0,134.1,0,134.1,0,0,21.7,173.7,-56.3,-0.6,56.3,0,-506.8,-80.4
21,1997,312.2,181.8,66.3,-189.3,0,162.6,-4,35.6,-4.3,0,0,0,64.9,590.2,-553.4,40.9,0,0,0,0,0,0,-30.7,-543.2,62,0,0,0,-52,-52,0,0,15.1,25.1,102.1,1.3,73.4,175.5,-553.4,36.8
21,1998,459.8,196.3,60.3,-255.1,0,243.2,-5.4,43,20.4,0,0,0,18.1,737.6,-571.9,80.7,0,0,-75.5,0,0,0,-42.7,-609.4,74.1,0,0,0,-27.1,-27.1,0,0,19.6,66.6,175.5,-8.3,186.5,362,-571.9,165.7
21,1999,515.3,224.8,195.5,-286.9,0,284.2,-6.2,186.6,-22.7,0,0,0,36.9,940.9,-787.9,58.7,0,0,-181.1,0,0,0,-43.6,-953.9,61.9,0,0,8.8,0,8.8,0,0,15.1,85.8,362,5.8,78.6,440.6,-787.9,153
21,2000,631.437,254.397,115.909,-280.38,0,253.031,0,88.56,8.264,0,0,0,87.7,1070.358,-1228.421,62.73,0,0,0,208.959,0,0,-88.932,-1045.664,98.828,-99.946,0,1.121,0,1.121,0,0,58.602,58.605,440.586,0.62,83.919,524.505,-1228.421,-158.063
21,2001,602.089,301.297,-6.159,-271.355,0,335.11,-17.719,39.877,40.797,0,0,0,48.503,1032.563,-1447.549,110.002,0,0,0,41.599,0,0,-43.895,-1339.843,62,0,0,325.226,0,325.226,0,0,7.119,394.345,524.505,-8.985,78.08,602.585,-1447.549,-414.986
21,2002,699.983,341.781,129.883,-380.158,0,187.655,-21.485,-84.105,12.179,0,0,0,48.405,1018.243,-1038.605,32.849,0,0,0,4.928,0,0,-32.987,-1033.815,66.771,0,0,147.149,0,147.149,0,0,3.908,217.828,602.585,0.677,202.933,805.518,-1038.605,-20.362
21,2003,721,391.302,232.167,-162.759,0,226.544,0,295.952,68.693,0,0,0,30.261,1507.208,-810.665,51.829,0,0,0,0,0,0,-31.752,-790.588,34.667,0,0,0,-42.182,-42.182,0,0,6.087,-1.428,805.518,24.729,739.921,1545.439,-810.665,696.543
