enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
22,2001,-31.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2002,-29.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2003,-9.716,5.549,-3.872,0,-0.579,-0.199,9.055,4.405,0,0,0,0,4.975,5.213,-2.022,0,0,0,-27.977,20.677,0,0,-0.233,-9.555,2.131,-0.342,0,0,-0.757,-0.757,0,0,0,1.032,11.709,0.31,-3,8.709,-2.022,3.191
22,2004,3.514,11.19,-16.955,0,-2.216,1.429,23.753,6.011,0,0,0,0,1.066,21.781,-2.916,0,0,0,-39.9,21.851,0,0,-0.179,-21.144,1.647,-0.017,0,0,-0.531,-0.531,0,0,0,1.099,8.709,0.018,1.754,10.463,-2.916,18.865
22,2005,7.346,18.745,-22.338,0,0.065,0.49,46.435,24.652,0,0,0,0,5.129,55.872,-4.308,0,0,0,-282.22,136.608,0,0,0.721,-149.199,118.554,-0.254,0,0,-0.493,-0.493,0,0,1.043,118.85,10.463,-0.255,25.268,35.731,-4.308,51.564
22,2006,28.474,20.633,-27.254,0,-2.871,7.687,68.59,46.152,-7.225,0,0,0,7.859,95.893,-23.434,0,0,0,-193.165,165.603,0,0,3.191,-47.805,15.735,-0.028,0,0,-0.614,-0.614,0,0,0.727,15.82,35.731,0.203,64.111,99.842,-23.434,72.459
22,2007,0.481,35.885,-52.523,0,-8.157,-1.764,112.451,50.007,0,0,0,0,24.851,111.224,-22.123,0,0,0,-336.878,208.684,0,0,-18.279,-168.596,29.082,-0.012,0,0,-0.617,-0.617,0,0,16.574,45.027,99.842,-0.889,-13.234,86.608,-22.123,89.101
22,2008,18.356,66.414,-91.368,0,-11.376,-1.392,198.182,94.046,-0.97,0,0,0,26.429,204.275,-43.552,0,0,0,-447.296,388.139,0,0,0,-102.709,60.91,0,0,0,-0.175,-0.175,0,0,31.978,92.713,86.608,-1.792,192.487,279.095,-43.552,160.723
22,2009,48.035,35.971,-44.798,0,-4.746,63.952,47.859,62.267,0,0,0,0,83.284,229.557,-61.059,0,-27.907,0,-470.657,438.626,0,0,0,-120.997,0,0,0,0,-0.997,-0.997,0,0,97.908,96.911,279.095,-0.732,204.739,483.834,-61.059,168.498
22,2010,84.692,53.177,-54.522,0,-3.899,62.91,26.581,31.07,0,88.89,0,0,13.082,270.911,-49.501,0,-11.999,0,-1322.352,1005.236,0,0,0,-378.616,0,0,0,567.094,-8.119,558.975,0,0,78.178,637.153,483.834,-1.976,527.472,1011.306,-49.501,221.41
22,2011,69.697,75.746,-102.507,0,2.001,133.25,96.676,129.42,0,120.43,0,0,63.788,459.081,-277.944,0,-403.331,0,-1702.654,1412.262,0,0,-90.887,-1062.554,0,-171.964,0,0,-10.355,-10.355,0,0,196.393,14.074,1011.306,2.385,-587.014,424.292,-368.831,90.25
22,2012,-11.572,157.286,-244.947,0,-7.853,80.336,277.475,105.011,0,229.26,0,0,111.522,591.507,-19.655,0,-422.699,0,-660.601,764.91,0,0,-151.645,-489.69,0,0,0,0,-30.533,-30.533,0,0,106.383,75.85,424.292,5.325,182.992,607.284,-171.3,420.207
22,2013,-270.445,216.795,-183.242,0,-9.718,193.358,246.828,247.226,0,379.35,0,0,163.971,736.897,-4.106,0,-579.745,0,-1030.982,851.516,0,0,-175.601,-938.918,0,0,0,0,-31.754,-31.754,0,0,366.299,334.545,607.284,7.437,139.961,747.245,-179.707,557.19
22,2014,-232.175,369.423,-424.702,0,105.218,-29.043,347.263,-1.264,0,503.28,0,0,236.205,875.469,-299.11,0,-2617.302,0,-589.863,1074.72,0,0,0,-2431.555,0,0,0,1416.25,-47.091,1369.159,0,0,229.075,1598.234,747.245,-7.758,34.39,781.635,-299.11,576.359
22,2015,-262.688,448.296,-544.61,0,45.819,159.973,477.926,139.108,0,564.77,0,0,291.958,1181.444,-290.454,96.805,0,38.071,-874.265,331.483,0,0,0,-698.36,0,0,0,12.325,-639.525,-627.2,0,0,308.989,-318.211,781.635,-38.391,126.482,908.117,-290.454,890.99
22,2016,-47.426,525.75,-582.425,0,50.772,253.986,589.664,311.997,0,593.63,0,0,288.13,1672.081,-425.376,248.365,-58.68,0,-1525.486,557.775,0,0,-284.476,-1487.878,0,0,0,0,-382.33,-382.33,0,0,455.482,73.152,908.117,-7.109,250.246,1158.363,-709.852,962.229
22,2017,323,632,-633,0,-47,104,493,-83,0,820,0,0,470,2162,-464,0,-3193,0,-1180,2153,0,0,0,-2684,0,0,0,1245,-648,597,0,0,401,998,1158,-27,449,1607,-464,1698
22,2018,360,784,-719,0,18,353,372,24,0,997,0,0,573,2738,-534,0,-25,0,-2219,767,0,0,0,-2011,0,0,0,0,-429,-429,0,0,650,221,1607,-12,936,2543,-534,2204
22,2019,1110,982,-923,0,-58,287,522,-172,0,1283,0,0,195,3398,-595,0,-5115,0,-1430,1832,0,0,0,-5308,0,0,0,2966,-1660,1306,0,0,704,2010,2543,26,126,2669,-595,2803
22,2020,126,2135,-1000,0,-119,982,-193,-330,0,1785,0,0,615,4331,-643,0,-369,0,-4625,2657,0,0,0,-2980,0,0,0,0,-676,-676,0,0,840,164,2669,-39,1476,4145,-643,3688
22,2021,4072,2846,-1556,0,-133,1100,-603,-1192,-2003,2190,0,0,-1112,4801,-710,0,-1281,0,-5902,3922,0,0,0,-3971,0,0,0,0,-127,-127,0,0,1321,1194,4145,26,2050,6195,-710,4091
22,2022,1444,3298,-1824,0,114,507,-455,-1658,0,2779,0,0,137,6000,-717,0,-14876,0,-7392,8449,0,0,0,-14536,0,0,0,7906,-1357,6549,0,0,1289,7838,6195,-33,-731,5464,-717,5283
22,2023,208,3786,-995,0,-302,528,-1300,-2069,0,3279,0,0,1907,7111,-798,0,-439,0,-5327,4575,0,0,0,-1989,0,-4000,0,0,-423,-423,0,0,861,-3562,5464,-8,1552,7016,-798,6313
