enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
24,1994,1265,2452,187,288,-52,40,0,463,0,0,0,0,41,4221,-3323,908,0,0,0,0,0,0,30,-2385,0,-4,0,492,-854,-362,-1139,0,0,-1505,1292,21,352,1644,-3323,898
24,1995,1693,2431,-44,-57,4,-1510,-166,-1773,110,0,0,0,435,2896,-3405,731,0,0,-1943,1398,0,0,0,-3219,0,-5,0,902,-588,314,-1206,0,0,-897,1644,-11,-1231,413,-3405,-509
24,1996,930,3381,-62,-162,-148,428,-16,40,-258,0,0,0,-18,4075,-3529,0,0,0,-2759,2903,0,0,581,-2804,0,-4,0,536,-330,206,-1255,0,0,-1053,413,-10,208,621,-3529,546
24,1997,2607,2216,30,60,15,369,167,641,359,0,0,0,-26,5797,-3424,0,0,0,-3443,3531,0,0,734,-2602,0,-4,0,95,-1655,-1560,-1358,0,0,-2922,621,-2,271,892,-3424,2373
24,1998,3256,2300,439,-11,59,-685,-90,-288,622,0,0,0,-1307,4583,-3899,0,0,0,-2724,2926,0,0,1134,-2563,173,0,0,26,-584,-558,-1493,0,0,-1878,892,-19,123,1015,-3899,684
24,1999,1339,2320,0,0,0,0,0,-809,266,0,0,0,615,3731,-3880,0,0,0,0,0,0,0,21,-3859,0,-261,0,1937,-388,1549,-1596,0,0,-308,1015,-10,-446,569,-3880,-149
24,2000,3249,4934,-2057,32,-61,1718,634,266,23,0,0,0,-701,7771,-7895,1578,0,0,0,597,0,0,110,-5610,108,0,0,1434,0,1434,-2672,0,0,-1130,996,-30,1001,1997,-7895,-124
24,2001,7727,5321,-2162,120,73,1327,733,91,521,0,0,0,-193,13467,-7629,1229,0,0,-84,80,0,0,762,-5642,0,-1498,0,0,-3202,-3202,-2789,0,0,-7489,1997,-5,331,2328,-7629,5838
24,2002,3288,7059,2472,-294,-211,-742,-582,643,-768,0,0,0,1235,11457,-9713,298,0,0,-183,56,0,0,0,-9542,140,-763,0,1386,0,1386,-2858,0,0,-2095,2328,-31,-211,2117,-9713,1744
24,2003,1132,5169,-1135,185,92,1845,138,1125,-81,0,0,0,2598,9943,-7597,2341,0,0,0,209,0,0,0,-5047,41,0,0,0,-1121,-1121,-2991,0,0,-4071,2117,15,840,2957,-7597,2346
24,2004,7230,5326,-265,115,261,242,-191,162,164,0,0,0,-567,12315,-5625,1107,0,0,0,153,0,0,293,-4072,57,-75,0,0,-3941,-3941,-3070,0,0,-7029,2957,95,1309,4266,-5625,6690
24,2005,13328,4935,-2515,-298,-76,2175,1144,430,-224,0,0,0,-3779,14690,-6310,3671,0,0,-450,0,0,0,-410,-3499,0,-1663,0,0,-1284,-1284,-3277,0,0,-6224,4266,58,5025,9291,-6310,8380
24,2006,14099,5913,-191,0,0,0,668,477,1393,0,0,0,-1777,20105,-8701,2681,0,0,0,336,0,0,-5877,-11561,0,-2737,0,0,-1055,-1055,-3876,0,0,-7668,9291,-124,752,10043,-8701,11404
24,2007,17138,7506,17,-536,-31,1246,-320,376,614,0,0,0,-1311,24323,-13813,989,0,0,0,142,0,0,463,-12219,0,-4491,0,0,-2901,-2901,-4396,0,-60,-11848,10043,194,450,10493,-13813,10510
24,2008,18688,8708,-3867,-749,-370,4930,129,73,261,0,0,0,-2753,24977,-16678,3338,0,0,-799,185,0,0,21,-13933,0,-6389,0,0,-3038,-3038,-4791,0,-77,-14295,10493,120,-3131,7362,-16678,8299
24,2009,24031,9528,5869,-1545,-621,-5537,-84,-1918,598,0,0,0,-2607,29632,-19666,1491,0,0,0,915,0,0,179,-17081,0,-6821,0,2647,-965,1682,-5162,0,-99,-10400,7362,-166,1985,9347,-19666,9966
24,2010,10563,12110,-1734,1213,-264,-1774,201,-2358,0,0,0,0,-942,19373,-19843,0,0,0,0,371,0,0,2900,-16572,0,168,0,5347,-3688,1659,-5302,0,-71,-3546,9347,114,-631,8716,-19843,-470
24,2011,19136,13559,-2767,15,-542,3370,0,76,559,0,0,0,-1976,31354,-19612,0,0,0,-5882,2246,0,0,2333,-20915,0,-306,0,1250,-368,882,-5669,0,-72,-5165,8716,70,5344,14060,-19612,11742
24,2012,27008,13288,-2156,-404,-853,5731,0,2318,1589,0,0,0,-3108,41095,-26500,0,-3009,0,-6806,5373,0,0,3453,-27489,0,-3193,0,400,-2769,-2369,-6136,0,-71,-11769,14060,-33,1804,15864,-26500,14595
24,2013,26336,13968,1153,-233,-471,-86,0,363,2015,0,0,0,-3870,38812,-30938,0,0,0,-962,3999,0,0,3105,-24796,0,-4142,0,4271,-2224,2047,-6844,0,-41,-8980,15864,39,5075,20939,-30938,7874
24,2014,21597,14869,-1101,-237,834,-827,0,-1331,1876,0,0,0,-2009,35002,-37985,0,0,0,-2108,3027,0,0,1457,-35609,0,-4494,0,8378,-132,8246,-7474,0,-99,-3821,20939,-266,-4694,16245,-37985,-2983
24,2015,19310,17668,4491,-146,-407,-4478,0,-540,1572,0,0,0,-6535,31475,-35407,0,0,0,-686,331,0,0,5869,-29893,0,-4412,0,7431,-43,7388,-7928,0,-47,-4999,16245,-43,-3460,12785,-35407,-3932
24,2016,4710,23346,3631,85,713,-6408,0,-1979,-1861,0,0,0,-4760,19456,-29504,0,0,0,-6,180,0,0,5522,-23808,0,211,0,11091,-367,10724,-7992,0,-128,2815,12785,-226,-1763,11022,-29504,-10048
24,2017,-431,19946,-2121,603,829,362,0,-327,-3835,0,0,0,-2663,12690,-18109,0,0,322,-9,306,0,0,1120,-16370,0,650,0,21702,-14232,7470,-8032,0,-63,25,12122,-53,-3708,8414,-18109,-5419
24,2018,9269,19547,-915,-267,173,1529,0,520,-3203,0,0,0,-5795,20338,-13404,0,0,166,-3,7,0,0,4914,-8320,0,-1,0,9042,-16503,-7461,-8132,0,1040,-14554,8414,65,-2471,5943,-13404,6934
24,2019,14860,20106,437,-424,-149,-582,0,-718,1050,0,0,0,-4680,30618,-13792,0,0,392,-1001,0,0,0,2111,-12290,0,-1751,0,6375,-10877,-4502,-8502,0,1056,-13699,5943,-91,4538,10481,-13792,16826
24,2020,2845,29390,1852,7,-323,-42,0,1494,-1966,0,0,0,-4449,27314,-14116,0,0,142,-1,953,0,0,1564,-11458,0,-4039,0,2586,-10432,-7846,-8959,0,1086,-19758,10481,332,-3570,6911,-14116,13198
24,2021,-5561,20544,2423,284,-87,-4272,0,-1652,-3604,0,0,0,850,10577,-8922,0,0,450,0,35,0,0,1472,-6965,0,-1757,0,23154,-15684,7470,-9651,0,202,-3736,6911,-50,-174,6737,-8922,1655
24,2022,15689,18043,-7548,-530,19,6698,0,-1361,700,0,0,0,-3884,29187,-8056,0,0,439,-4,3,0,0,1753,-5865,0,-1383,0,4448,-17384,-12936,-10179,0,1385,-23113,6737,-151,58,6795,-8056,21131
