enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
25,1994,53.7,40.9,-7.6,5.3,0,7.3,36.2,41.2,0,0,0,0,0,135.8,-40.3,0,0,0,0,0,0,0,-54,-94.3,1.3,0,0,0,-35.2,-35.2,-2.6,0,0.1,-36.4,-5.1,0,5.1,0,-40.3,95.5
25,1995,81.7,44.6,-20.3,-1.3,0,9,0,-12.6,0,0,0,0,30.7,144.4,-54.5,13.9,0,0,0,0,0,0,-158.1,-198.7,1,0,0,51.7,0,51.7,-3.4,0,0,49.3,4.7,0.3,-4.7,0,-54.5,89.9
25,1996,108.4,58.5,-20.1,-15.6,0,0.6,0,-35.1,0,0,0,0,42.4,174.2,-59.2,0,0,0,0,0,0,0,-207.9,-267.1,3.6,0,0,98.3,0,98.3,-4.7,0,0,97.2,-4.4,0.1,4.4,0,-59.2,115
25,1997,234.2,82.4,-18.2,40.2,0,11.1,0,33.1,0,0,0,0,-95.7,254,-310.4,155,0,0,0,0,0,0,0,-155.4,8.9,-12.1,0,0,-55.4,-55.4,-11.2,0,0,-69.8,-28.5,-0.3,28.5,0,-310.4,-56.4
25,1998,188.6,98.3,-51,10.7,0,23,73.5,56.2,0,0,0,0,0.1,343.2,-244.2,0,0,0,0,0,0,0,0,-244.2,9.1,-80.2,0,0,-10.8,-10.8,-14.5,0,-0.1,-96.5,79.6,-1.5,1,80.6,-244.2,99
25,1999,192.2,114.5,4.4,13.9,0,-13.9,41.6,46,0,0,0,0,0,352.7,-634,16.3,0,0,0,0,0,0,0,-617.7,30.5,-2.1,0,214.9,0,214.9,-12.8,0,0,230.5,80.6,1.7,-32.8,47.8,-634,-281.3
25,2000,261.6,126.4,-60.3,11.1,0,45.9,34.4,31.1,0,0,0,0,0,419.1,-153.7,0,0,0,0,0,0,0,0,-153.7,87.9,0,0,0,-129.9,-129.9,-9.9,0,0.1,-51.8,47.8,-1.1,212.5,260.3,-153.7,265.4
25,2001,324.213,149.721,-15.926,-38.451,0,-0.081,92.769,38.311,0,0,0,0,0,512.245,-88.503,0,0,0,0,0,0,0,-706.794,-795.297,26.58,-82.174,0,266.09,0,266.09,-10.015,0,0,200.481,260.281,-0.786,-83.357,176.924,-88.503,423.742
25,2002,297.665,178.39,142.308,66.833,0,-38.138,-38.587,132.416,0,0,0,0,0,608.471,-80.585,0,0,0,0,0,0,0,-406.988,-487.573,28.169,-17.299,0,410.516,0,410.516,-11.676,0,0,409.71,176.924,-0.973,529.635,706.559,-80.585,527.886
25,2003,290.391,129.565,59.03,77.544,0,54.008,-43.941,146.641,0,0,0,0,143.75,710.347,-65.43,79.028,0,0,0,0,0,0,-1158.129,-1144.531,512.105,0,0,17.708,0,17.708,-13.516,0,0,516.297,706.559,21.791,103.904,810.463,-65.43,644.917
