enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
27,1994,1110.4,1608.3,-280.2,-59.4,0,146.7,-542.7,-735.6,0,0,0,0,824.2,2807.3,-1026.1,0,0,0,-1923.8,1494.1,0,0,-1430.9,-2886.7,0,-570.7,0,551.1,0,551.1,-153.2,0,76.1,-96.7,176.1,0,-176.1,0,-1026.1,1781.2
27,1995,1380,1853,-122,-156,0,415,-126,11,133,0,0,0,133,3510,-896,0,0,0,-1033,1460,0,0,-1819,-2288,183,-349,0,14,0,14,-180,0,0,-332,-890,0,890,0,-896,2614
27,1996,1214,3735,-426,-95,0,-246,199,-568,-78,0,0,0,322,4625,-1745,0,0,0,-18,409,0,0,-12110,-13464,85,-462,0,8688,0,8688,-271,0,0,8040,799,0,-799,0,-1745,2880
27,1997,1966,3172,-177,8,0,608,-620,-181,292,0,0,0,-150,5099,-2102,1601,0,0,-56,31,0,0,-3410,-3936,180,-633,0,0,-1641,-1641,-342,0,1312,-1124,278,0,39,317,-2102,2997
27,1998,1850,3754,-664,-46,0,218,-374,-866,346,0,0,0,31,5115,-2527,0,0,0,-13,238,0,0,-3363,-5665,184,-30,0,618,0,618,-412,0,0,360,317,0,-190,127,-2527,2588
27,1999,1300,3779,376,103,0,477,-484,472,-20,0,0,0,57,5588,-2453,0,0,0,-39,202,0,0,-3020,-5310,204,-19,0,0,-176,-176,0,0,0,9,127,0,287,414,-2453,3135
27,2000,920,2195,223,65,0,436,438,1162,22,0,0,0,-544,3755,-2013,913,0,0,-82,207,0,0,-116,-1091,482,-166,0,0,-2118,-2118,-434,0,0,-2236,414,0,428,842,-2013,1742
27,2001,-158,1754,279,54,0,-435,-143,-245,1,0,0,0,1696,3048,-1795,137,0,0,-88,235,0,0,-504,-2015,177,-1073,0,77,0,77,-438,0,0,-1257,842,0,-224,618,-1795,1253
27,2002,1236,1042,-535,-35,0,225,318,-27,-74,0,0,0,109,2286,-1086,200,0,0,-9,601,0,0,-2882,-3176,47,0,0,1892,0,1892,-428,0,0,1511,618,0,621,1239,-1086,1200
27,2003,1267,1077,-194,-6,0,159,273,232,441,0,0,0,-116,2901,-1049,166,0,0,-14,40,0,0,-177,-1034,51,0,0,0,-1145,-1145,-429,0,0,-1523,1239,0,344,1583,-1049,1852
27,2004,2345,1210,-16,-40,0,560,-240,264,-98,0,0,0,923,4644,-1427,0,0,0,-67,14,0,0,-4,-1484,201,-335,0,0,-2203,-2203,-430,0,66,-2701,1583,0,459,2042,-1427,3217
27,2005,2533,1341,-156,22,0,-255,601,212,-265,0,0,21,427,4269,-1826,53,0,0,0,0,0,-9,91,-1691,394,-2420,0,0,-699,-699,-490,0,318,-2897,2042,0,-319,1723,-1826,2443
27,2006,3374,1437,-85,-63,0,304,785,941,-139,0,0,28,417,6058,-1319,0,0,0,0,1154,0,-7,-55,-227,1259,-6898,0,941,0,941,-519,0,74,-5143,1723,0,688,2411,-1319,4739
27,2007,4687,1491,-355,52,0,77,190,-36,-260,0,0,10,-471,5421,-1566,1,0,0,0,1535,0,-3,-588,-621,1245,-6923,0,2696,0,2696,-637,0,78,-3541,2411,0,1259,3670,-1566,3855
27,2008,4729,1582,-594,-329,0,438,-64,-549,-128,402,39,0,-629,5446,-1578,0,-660,0,0,84,0,0,-8,-2162,636,-4453,0,1706,-1178,528,-664,0,0,-3953,3670,0,-669,3001,-1578,3868
27,2009,3609,1631,468,-117,0,-242,-565,-456,323,457,279,0,-524,5319,-1753,0,-176,185,0,46,0,0,-57,-1755,0,-138,0,1750,-3602,-1852,-648,0,-510,-3148,3001,0,416,3417,-1753,3566
27,2010,4313,1713,-686,-127,0,649,-102,-266,133,391,132,0,162,6578,-2110,0,-2493,170,0,0,0,0,-90,-4523,0,-2669,0,1190,-1371,-181,-653,0,840,-2663,3417,-87,-695,2722,-2110,4468
27,2011,5258,1841,-518,-199,0,-367,277,-807,127,423,16,0,136,6994,-3559,0,-184,564,0,0,0,0,-107,-3286,0,-4993,0,2743,-1096,1647,-756,0,869,-3233,2722,-12,463,3185,-3559,3435
27,2012,6173,1987,-108,18,0,-608,-445,-1143,472,408,22,0,47,7966,-3784,0,-1088,110,0,0,0,0,3,-4759,0,-3015,0,4246,-3822,424,-1076,0,682,-2985,3185,-20,202,3387,-3784,4182
27,2013,6636,2192,-374,51,0,367,10,54,92,402,0,0,76,9452,-2796,0,-2443,479,0,0,0,0,84,-4676,0,-4087,0,3931,-3552,379,-1324,0,818,-4214,3387,-18,544,3931,-2796,6656
27,2014,8004,2288,-480,-81,0,536,-1211,-1236,517,408,0,0,-201,9780,-3311,0,-402,395,0,0,0,0,-27,-3345,0,-6527,0,2281,-1648,633,-1508,0,692,-6710,3931,-235,-510,3421,-3311,6469
27,2015,8852,2354,-211,1,0,-49,-345,-604,-102,410,0,0,475,11385,-4265,0,0,166,0,0,0,0,-146,-4245,0,-6095,0,4926,-2221,2705,-3063,0,652,-5801,3688,-302,1037,4725,-4265,7120
27,2016,9790,2527,-393,186,0,40,-1142,-1309,1214,393,0,0,521,13136,-4773,0,-850,45,0,0,0,0,-180,-5758,0,-7499,0,6065,-3125,2940,-2313,0,-348,-7220,4725,-123,35,4760,-4773,8363
27,2017,9366,2782,107,-5,0,-368,-919,-1185,334,364,0,0,682,12343,-3623,0,-417,0,0,0,0,0,-71,-4111,0,-9368,0,6067,-2364,3703,-2445,0,-849,-8959,4760,31,-696,4064,-3623,8720
27,2018,13066,3011,-720,-17,0,235,-335,-837,-1573,393,0,0,235,14295,-4465,0,-1581,0,0,0,0,0,710,-5336,0,-3577,0,1056,-3639,-2583,-2515,0,-168,-8843,4064,-25,91,4155,-4465,9830
27,2019,10897,4167,55,-223,0,191,-5667,-5644,117,711,0,622,-4264,6606,-4876,0,-9901,0,0,0,0,10978,-319,-4118,0,0,0,42558,-38881,3677,-2895,0,-1872,-1090,4155,-98,1300,5455,-4876,1730
27,2020,-2442,5345,1943,14,0,-2293,-309,-645,-392,525,4953,2,272,7618,-4022,0,0,0,0,0,0,213,172,-3637,0,0,0,18120,-6887,11233,-1587,0,-1166,8480,5455,38,12499,17954,-4022,3596
27,2021,2536,5111,-357,252,0,2410,-111,2194,-1241,600,0,1,-3634,5567,-3578,0,0,0,0,337,0,8,70,-3163,0,0,0,64,-3763,-3699,0,0,-686,-4385,17954,30,-1951,16003,-3578,1989
27,2022,3553,5163,605,-420,0,964,-661,488,200,977,0,8,-4379,6010,-4943,0,0,0,0,52,0,0,-117,-5008,0,0,0,333,-4350,-4017,0,0,-724,-4741,16003,-603,-4342,11661,-4943,1067
27,2023,3390,5369,358,-183,0,-1142,1144,177,-1346,1143,2987,0,-1854,9866,-4969,0,0,0,0,458,0,0,-130,-4641,0,0,0,83,-1866,-1783,0,0,-941,-2724,11661,73,2574,14235,-4969,4897
