enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
28,1994,5177,3261,416,750,0,3345,1861,6372,461,0,0,76,-5160,10187,-4739,1155,0,0,-4164,0,0,0,-7843,-15591,406,-770,0,8079,0,8079,-2153,0,-69,5493,3129,0,89,3218,-4739,5448
28,1995,4726,3207,1541,-56,0,697,1624,3806,1228,0,0,1635,-1210,13392,-7492,2506,0,0,0,0,0,0,-11425,-16411,771,-1124,0,7357,0,7357,-2462,0,-1988,2554,3056,0,-465,2591,-7492,5900
28,1996,6573,3594,485,55,0,244,2490,3274,1047,0,0,0,458,14946,-6447,1542,0,0,0,0,0,0,-20312,-25217,0,-2523,0,15537,0,15537,-2770,0,259,10503,2591,0,232,2823,-6447,8499
28,1997,7280,3785,1151,-76,0,641,1491,3207,1145,0,0,0,2434,17851,-7760,1363,0,0,0,0,0,0,-13815,-20212,0,-2323,0,9074,0,9074,-3050,0,28,3729,2823,0,1368,4191,-7760,10091
28,1998,8203,4082,1671,-386,0,200,1669,3154,284,0,0,0,-1483,14240,-8388,2251,0,0,0,0,0,0,-12138,-18275,0,-2815,0,11146,0,11146,-3411,0,785,5705,4191,0,1670,5861,-8388,5852
28,1999,9296,5860,649,150,0,1576,3670,6045,1143,0,0,0,-2984,19360,-8982,4043,-18610,0,0,0,0,0,-16584,-40133,0,-2819,0,58889,0,58889,-3913,0,-32928,19229,5861,0,-1544,4317,-8982,10378
28,2000,10717,6691,143,266,0,820,4584,5813,1502,0,0,0,-130,24593,-15502,6262,-11654,0,0,0,0,0,-21285,-42179,0,-1002,0,54329,0,54329,-4587,0,-26917,21823,4317,0,4237,8554,-15502,9091
28,2001,12735,6385,-537,-924,0,3297,2246,4082,1153,0,0,0,-1665,22690,-13967,6767,-2332,0,0,0,0,0,-28167,-37699,0,469,0,47645,-8243,39402,-5401,0,-19820,14650,7905,0,-359,7546,-13967,8723
28,2002,14128,7125,197,-485,0,4676,11640,16028,1426,0,0,0,-5815,32892,-16394,7591,-12429,0,0,0,0,0,-19579,-40811,0,-2435,0,52553,0,52553,-6358,0,-34954,8806,7546,0,887,8433,-16394,16498
28,2003,15133,6511,-409,-87,0,227,4392,4123,2414,0,0,0,585,28766,-14056,6357,-21570,0,0,0,0,0,-31958,-61227,0,-985,0,95008,-17347,77661,-7157,0,-36581,32938,8433,0,477,8910,-14056,14710
