enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
29,2002,6.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2003,99.656,28.983,-43.877,0,-5.875,34.138,20.605,4.991,0,21.64,0,0,-0.005,155.265,-37.198,0,0,0,-93.061,20.443,0.099,0,0,-109.717,0,0,0,0,-7.735,-7.735,0,0,2.262,-5.473,17.677,0,40.075,57.752,-37.198,118.067
29,2004,105.648,55.049,-90.385,0,-58.913,142.406,0.661,-6.231,0,229.36,0,0,11.619,395.445,-176.801,0,-39.958,0,-316.599,219.404,0,0,0,-313.954,0,0,0,0,-7.386,-7.386,0,0,15.476,8.09,57.752,1.662,91.243,148.995,-176.801,218.644
29,2005,399.119,148.473,-156.928,0,-99.779,106.73,-103.23,-253.207,191.57,278.75,0,0,212.339,977.044,-318.995,0,-21.957,0,-4134.576,2611.078,-36.906,0,0,-1901.356,1161.08,0,0,0,-4.707,-4.707,0,0,38.245,1194.618,148.995,7.572,277.878,426.873,-355.901,621.143
29,2006,1465.397,293.812,-372.29,0,-51.663,340.742,105.788,22.577,21.163,200.71,0,0,455.763,2459.422,-838.217,0,-101.31,0,-12675.88,10257.214,0,0,0,-3358.193,4287.229,0,0,0,-1.425,-1.425,0,0,85.026,4370.83,426.873,-21.758,3450.301,3877.174,-838.217,1621.205
29,2007,3077.446,571.939,-624.012,0,-289.157,526.235,527.683,140.749,-98.468,458.1,0,0,-569.258,3580.508,-1902.798,0,-402.446,0,-27701.038,23107.132,0,0,0,-6899.15,2063.549,0,0,0,0,0,0,0,902.849,2966.398,3877.174,19.741,-332.503,3544.671,-1902.798,1677.71
29,2008,4203.72,967.658,-837.247,0,-298.689,639.35,815.131,318.545,-164.212,868.65,0,0,-418.951,5775.41,-2402.84,0,-906.651,0,-16031.571,15659.473,0,0,0,-3681.589,0,0,0,0,0,0,0,0,0,403.067,3544.671,40.034,2536.922,6081.593,-2402.84,3372.57
29,2009,4227,1500,-334,0,-147,141,667,327,-225,1120,1095,0,-191,7853,-2359,0,-3320,0,-15403,15763,0,0,0,-5319,0,0,0,0,0,0,0,0,0,87,6082,-46,2575,8657,-2359,5494
29,2010,6520,1524,-504,0,262,435,293,486,-268,1164,0,0,-110,9316,-810,0,-108,0,-29204,22103,0,0,0,-8019,0,0,0,0,0,0,0,0,0,233,8657,11,1541,10198,-810,8506
29,2011,8505,1396,-1129,0,-414,1231,213,-99,9,1376,0,0,-106,11081,-4018,0,-1067,0,-45055,37099,0,0,2361,-10680,0,-801,0,10492,-7029,3463,0,0,388,3050,10198,-19,3432,13630,-4018,7063
29,2012,9737,1851,-1156,-30,-232,1155,893,630,343,1974,110,0,-80,14565,-3438,0,-1900,0,-62100,48751,0,0,-354,-19041,0,0,0,10905,-10179,726,0,0,81,807,13630,22,-3647,9983,-3438,11127
29,2013,10737,2962,-787,301,-532,562,1354,898,-266,2692,0,0,-404,16619,-3273,0,-10568,0,-34106,35225,0,0,-334,-13056,0,0,0,16109,-14781,1328,0,0,-99,1229,9983,3,4795,14778,-3273,13346
29,2014,12733,3939,-1307,-234,-930,1572,1055,156,-437,3343,0,0,-1075,18659,-7358,0,-1448,2525,-46013,38914,0,0,-299,-13679,0,0,0,10768,-11325,-557,0,0,-300,-857,14778,-3,4120,18898,-7358,11301
29,2015,14136,4979,-1641,0,459,1438,416,672,-104,4279,0,0,-938,23024,-11014,55,-4888,386,-58525,51528,0,0,1403,-21055,0,0,0,11625,-11643,-18,0,0,-2069,-2087,18898,-433,-551,18347,-11014,12010
29,2016,16348,5063,-2094,0,-318,2139,-136,-409,-179,5203,0,0,546,26572,-9950,35,-236,0,-76269,63059,0,0,-350,-23711,0,-1780,0,13705,-13728,-23,0,0,-2422,-4225,18347,-434,-1798,16549,-9950,16622
29,2017,19478,6144,-2578,0,312,2218,3348,3300,-38,6703,0,0,449,36036,-10212,240,-986,0,-85168,67389,0,0,-2428,-31165,0,-3693,0,8729,-10064,-1335,0,0,-3304,-8332,16549,-170,-3631,12918,-10212,25824
29,2018,12662,6915,-3768,0,0,6577,6437,9246,258,7679,0,0,331,37091,-13184,99,-287,0,-93940,74492,0,0,1419,-31401,800,-4846,0,4291,-4377,-86,0,0,-4166,-8298,12918,405,-2203,10715,-13184,23907
29,2019,30736,9035,-2169,0,0,10164,-3087,4908,778,9353,0,0,-6839,47971,-25139,98,-1491,0,-52231,50259,0,0,0,-28504,950,-9075,0,6766,-6827,-61,0,0,-4993,-13179,10715,-302,5986,16701,-25139,22832
29,2020,34343,11781,-4340,0,0,8871,-3712,819,173,10794,0,0,-3390,54520,-23548,0,-2515,0,-102247,98230,0,0,589,-29491,0,-18396,0,317,-585,-268,0,0,-4545,-23209,16701,-23,1797,18498,-23548,30972
29,2021,40269,13697,-6524,0,0,7837,514,1827,1390,12991,0,0,-5050,65124,-22281,0,-738,0,-143751,133929,0,0,68,-32773,0,-31149,0,11761,-2100,9661,0,0,-2920,-24408,18498,24,7967,26465,-22281,42843
29,2022,76033,12441,-9095,0,0,9269,-1697,-1523,1808,15376,0,0,-12483,91652,-24640,0,-2618,0,-138034,129228,0,0,541,-35523,0,-50274,0,20199,-21435,-1236,0,0,-9852,-61362,26465,-287,-5520,20945,-24640,67012
29,2023,59972,15928,-2317,0,0,4177,-4095,-2235,-8081,19362,0,0,6549,91495,-31485,0,-6969,0,-81405,97972,0,0,1589,-20298,0,-59296,0,52872,-54068,-1196,0,0,-9265,-69757,20945,-506,934,21879,-31485,60010
