enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
31,2001,46.012,11.868,0,0,0,40.651,10.683,51.334,0.337,0,0,0,35.667,145.218,-24.665,0.362,0,0,-3376.18,3131.539,0,0,-380.148,-649.092,1.222,0,0,725.266,-2.036,723.23,0,0,-7.534,716.918,346.855,0,213.044,559.899,-24.665,120.553
31,2002,60.551,26.778,0,0,0,0,0,17.486,-2.198,0,0,0,-8.993,93.624,-34.472,0,0,0,-6635.495,5712.947,0,0,-440.342,-1397.362,0,161.468,0,100.818,-1.299,99.519,-10.791,0,1226.901,1477.097,534.464,0,173.359,707.823,-34.472,59.152
31,2003,73.361,42.148,0,0,0,0,0,181.316,-2.187,0,0,0,8.351,302.989,-52.983,0,0,0,-9185.387,8749.791,0,0,-1013.64,-1502.219,0,1.789,0,0,-1.292,-1.292,-14.613,0,990.678,976.562,723.474,0,-222.668,500.806,-52.983,250.006
31,2004,105.736,72.935,0,0,0,0,0,684.68,-13.024,0,0,0,44.668,894.995,-47.658,0,0,0,-7659.311,6926.008,0,0,-1827.133,-2608.094,0,4.534,0,144.133,-0.675,143.458,-21.224,0,1787.867,1914.635,532.25,0,201.536,733.786,-47.658,847.337
31,2005,151.785,63.62,0,0,0,0,0,-227.026,-4.909,0,0,0,56.605,40.075,-56.105,0,0,0,-3807.952,719.752,0,0,702.419,-2441.886,0,307.878,0,873.14,-24.246,848.894,-25.949,0,1375.885,2506.708,758.224,0,104.897,863.121,-56.105,-16.03
31,2006,207.532,131.956,0,0,0,0,0,292.755,10.251,0,0,0,94.369,736.863,-83.616,0,0,0,-3849.436,2617.512,0,0,-3822.1,-5137.64,0,0,0,578.777,-0.402,578.375,-36.079,0,4392.134,4934.43,849.02,0,533.653,1382.673,-83.616,653.247
31,2007,252.641,181.318,0,0,0,0,0,132.782,-15.488,0,0,0,223.145,774.398,-73.79,0,0,0,-4912.939,4432.023,0,0,-3484.298,-4039.004,0,58.105,0,857.658,-25.254,832.404,-44.984,0,2862.017,3707.542,1400.625,0,442.936,1843.561,-73.79,700.608
31,2008,327.666,70.145,110.728,0,0,1268.269,-3463.435,-2084.438,-58.587,41.534,0,0,466.673,-1237.007,-161.175,2.436,0,0,-6471.21,4417.764,0,0,-4683.907,-6896.092,942.568,0,0,847.055,-22.827,824.228,-65.171,0,8091.987,9793.612,2006.376,0,1660.513,3666.889,-161.175,-1398.182
31,2009,297.242,136.955,6.703,0,0,1111.717,433.495,1551.915,0,38.567,0,0,443.121,2467.8,-134.571,2.3,0,402.266,-4706.251,4343.984,0,0,-4465.776,-4558.048,0,0,0,474.968,-2011.232,-1536.264,-69.051,0,4165.284,2559.969,2879.143,0,469.721,3348.864,-134.571,2333.229
31,2010,547.576,173.884,-11.558,0,0,317.353,817.223,1123.018,-29.005,78.78,0,0,505.356,2399.609,-131.54,2.724,0,0,-5091.587,5396.241,0,0,-7742.416,-7566.578,0,0,0,1781.357,-20.611,1760.746,-109.696,0,6336.622,7987.672,3767.239,-41.13,2779.573,6546.812,-131.54,2268.069
