enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
30,1994,457.4,89.8,-36.7,-353.7,0,201,26,-163.4,12.6,0,0,0,0.1,396.5,-864.2,35.1,0,0,-840.4,1214.5,0,0,5.7,-449.3,76.8,0,0,0,-2,-2,-50.3,0,6.5,31,21.8,0,-21.8,0,-864.2,-467.7
30,1995,604.5,129.6,-69,-405.2,0,268.9,8.2,-197.1,-2.5,0,0,0,0,534.5,-1100.7,49.7,0,0,0,96,0,0,200.7,-754.3,77.9,0,0,97.8,0,97.8,-67.8,0,13,120.9,98.9,0,-98.9,0,-1100.7,-566.2
30,1996,731.5,181.2,-69.9,-429.3,0,251.8,29.7,-217.7,18,0,0,0,0,713,-1278.1,29.4,0,0,0,56.9,0,0,14.8,-1177,68.5,0,0,497.2,0,497.2,-89.7,0,39.7,515.7,-52.1,0.4,52.1,0,-1278.1,-565.1
30,1997,938,232,-58,-525,0,434,25,-124,29,0,0,0,25,1100,-1194,22,0,0,-409,68,0,0,6,-1507,104,0,0,470,0,470,-110,0,36,500,-93.2,0.2,93.2,0,-1194,-94
30,1998,1160,283,-166,-885,0,577,88,-386,-28,0,0,0,0,1029,-1481,85,0,0,-194,599,0,0,20,-971,122,0,0,0,-25,-25,-139,0,10,-32,146,0,26,172,-1481,-452
30,1999,1614,373,85,-698,0,423,59,-131,7,0,0,0,54,1917,-2320,45,0,0,-2,4,0,0,2,-2271,167,0,0,238,0,238,-168,0,11,248,172,-4,-110,62,-2320,-403
30,2000,2320,463,-85,-1142,0,820,70,-337,0,0,0,0,0,2446,-2581,87,0,0,-32,30,0,0,-126,-2622,267,0,0,262,0,262,-255,0,7,281,62,1,106,168,-2581,-135
30,2001,2581,601,-246,-1075,0,754,181,-386,0,0,0,0,0,2796,-3558,95,0,0,-39,30,0,0,-58,-3530,351,0,0,757,0,757,-371,0,0,737,168,-4,-1,167,-3558,-762
30,2002,3044,764,-119,-166,0,2078,362,2155,0,0,0,0,0,5963,-3393,190,0,0,-85,25,0,0,-203,-3466,445,0,0,0,-222,-222,-396,0,0,-173,167,-14,2310,2477,-3393,2570
30,2003,3664,903,-38,-1592,0,1394,298,62,173,0,0,0,0,4802,-2749,127,0,0,-38367,38623,0,0,-235,-2601,326,-2000,0,1,0,1,-492,0,0,-2165,596,8,44,640,-2749,2053
30,2004,4304,1076,25,-693,0,790,438,560,605,0,0,0,0,6545,-3508,265,0,0,-38649,38534,0,0,-813,-4171,227,-1554,0,0,-9,-9,-595,0,0,-1931,640,20,463,1103,-3508,3037
30,2005,5001,1319,-266,-849,0,645,338,-132,319,0,0,0,125,6632,-3948,96,0,0,-25890,25990,0,0,-727,-4479,285,-3106,0,485,0,485,-719,0,272,-2783,1103,33,-597,506,-3948,2684
30,2006,5838,1579,-358,-971,0,148,740,-441,-609,0,0,0,253,6620,-3881,164,0,0,-18230,19907,0,0,-2546,-4586,414,-3040,0,1871,0,1871,-857,0,-136,-1748,506,1,287,793,-3881,2739
30,2007,5761,1886,96,-563,0,531,-394,-330,46,0,0,0,297,7660,-3542,138,0,0,-5409,5434,0,0,-4268,-7647,381,-6684,0,7526,0,7526,-1395,0,-31,-203,793,-4,-194,599,-3542,4118
30,2008,4395,1906,116,-491,0,-813,407,-781,-348,207,0,0,348,5727,-3558,318,-13,8337,-11225,10899,0,0,0,4758,276,-10815,0,1734,-20,1714,-1709,0,-105,-10639,600,-1,-155,445,-3558,2169
30,2009,2260,1902,121,743,0,-384,-33,447,0,176,743,0,0,5528,-1847,147,0,0,-168,139,0,0,0,-1729,84,-70,0,0,-2045,-2045,-1521,0,-128,-3680,445,-45,74,519,-1847,3681
30,2010,2661,1806,-23,625,0,-115,4932,5419,0,201,163,0,-5125,5125,-966,178,0,0,0,33,0,0,0,-755,73,-213,0,0,-1774,-1774,-1525,0,-64,-3503,519,35,902,1421,-966,4159
30,2011,3338,1718,-102,-355,0,-218,-10,-685,0,214,0,0,0,4585,-1096,84,0,0,0,0,0,0,0,-1012,104,-2608,0,998,-1029,-31,-1569,0,-347,-4451,1421,2,-876,545,-1096,3489
30,2012,3883,1682,-170,256,0,436,349,871,0,215,0,0,0,6651,-1221,56,-65,101,0,0,0,0,0,-1129,306,-3470,0,1994,-1028,966,-1632,0,-218,-4048,545,-32,1442,1987,-1221,5430
30,2013,4535,1684,-143,-350,0,785,149,441,0,218,97,0,0,6975,-1312,50,-170,0,0,0,0,0,0,-1432,784,-3984,0,0,-32,-32,-1743,0,-59,-5034,1987,-2,507,2494,-1312,5663
30,2014,5385,1757,-15,-455,0,724,4,258,0,228,0,0,0,7628,-1389,88,-206,0,0,0,0,0,0,-1507,241,-8546,0,5222,-1289,3933,-2243,0,-37,-6652,2494,-34,-565,1929,-1389,6239
30,2015,6345,1786,-81,-124,0,412,2,209,0,225,0,0,-323,8242,-1442,48,-200,0,0,323,0,0,0,-1271,252,-7000,0,2271,-39,2232,-2530,0,-25,-7071,1929,-106,-206,1723,-1442,6800
30,2016,7009,1863,-181,-546,0,1042,86,401,0,244,0,0,-144,9373,-1503,43,-1666,0,0,144,0,0,0,-2982,228,-7000,0,4051,-39,4012,-3031,0,4,-5787,1723,-111,493,2216,-1503,7870
30,2017,7957,1973,-138,-769,0,555,-66,-418,-117,267,0,0,121,9783,-1621,38,0,0,0,0,0,0,0,-1583,218,-6880,0,5319,-3045,2274,-3404,0,-78,-7870,2216,-8,322,2538,-1621,8162
