enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
33,1994,3257.204,473.345,-12411.987,0,0,0,25948.168,13536.181,0,0,0,0,-980.711,16286.019,-408.26,105.023,-436.365,0,-16275.664,8984.675,0,0,180.464,-7850.127,251.464,0,0,1480.682,0,1480.682,0,0,0,1732.146,41948.701,507.366,10675.404,52624.105,-408.26,15877.759
33,1995,4243.078,534.684,6108.219,0,0,0,-13063.803,-6955.584,0,0,0,0,225.131,-1952.691,-650.376,104.748,-26.578,261.088,-16501.728,18305.896,0,0,-148.523,1344.527,12.507,0,0,186.045,0,186.045,0,0,0,198.552,54780.107,-1607.179,-2016.791,52763.316,-650.376,-2603.067
33,1996,5198.096,536.189,-34490.698,0,0,0,33171.086,-1319.612,0,0,0,0,491.378,4906.051,-622.721,173.064,-247.234,10.816,-15741.084,13647.321,0,0,-194.697,-2974.535,378.577,0,0,417.207,0,417.207,0,0,0.001,795.785,5099.202,180.79,2908.091,8007.293,-622.721,4283.33
33,1997,6490.393,628.489,0,0,0,0,0,0,-1221.016,0,0,0,6889.407,12787.273,-1114.841,285.988,-49.663,56.513,-23185.601,18327.225,0,0,-1381.99,-7062.369,22.263,0,212.351,1721.067,-154.125,1566.942,0,0,-0.001,1801.555,-7526.459,0,7526.459,0,-1114.841,11672.432
33,1998,6729.816,727.369,0,0,0,0,0,0,-1482.841,0,0,0,5888.382,11862.726,-1365.47,342.194,-947.233,29.756,-32038.947,30081.664,0,0,-1687.827,-5585.863,16.531,0,-49.593,748.86,-322.357,426.503,0,0,-0.001,393.44,-6670.303,0,6670.303,0,-1365.47,10497.256
33,1999,10301.227,1521.709,-17998.149,0,0,0,22621.273,4623.124,0,0,0,0,-314.836,16131.224,-1767.503,212.653,-383.879,30.379,-99609.824,84213.218,0,0,-2228.711,-19533.667,27.617,0,0,378.356,0,378.356,0,0,0,405.973,8003.474,69.043,-2927.427,5076.047,-1767.503,14363.721
33,2000,11976.629,1614.881,20872.214,0,0,0,1180.043,22052.257,0,0,0,0,-817.948,34825.819,-1514.658,214.994,973.131,45.262,-175189.516,147723.61,0,0,-252.174,-27999.351,4991.744,0,0,2427.979,0,2427.979,0,0,0,7419.723,-7557.292,-494.648,13751.543,6194.251,-1514.658,33311.161
33,2001,14110.109,1290.477,-42169.015,0,0,0,44240.647,2071.632,0,0,0,0,5264.968,22737.186,-1987.991,253.914,-13591.833,703.489,-130822.081,268915.035,0,0,-130999.821,-7529.288,5660.773,-830.445,0,358.466,0,358.466,0,0,-0.001,5188.793,-12900.623,0,20396.691,7496.068,-1987.991,20749.195
33,2002,7153,1293,0,0,0,0,0,4167,0,0,0,0,302,12915,-1873,0,0,0,-148826,145361,0,0,-4646,-9984,0,-713,0,456,-965,-509,-3528,0,113,-4637,6185,0,-1706,4479,-1873,11042
33,2003,9035,2036,0,0,0,0,0,7272,0,0,0,0,-4910,13433,-1723,0,0,0,-130171,122559,0,0,284,-9051,0,287,0,4105,-1923,2182,-3609,0,0,-1140,4417,0,3242,7659,-1723,11710
33,2004,12297,3185,0,0,0,0,0,10141,0,0,0,0,-7296,18327,-1981,0,0,0,-218196,206099,0,0,-1366,-15444,0,639,0,2358,-1464,894,-4242,0,3846,1137,3641,0,4020,7661,-1981,16346
33,2005,18943,2225,0,0,-5329,0,47689,42360,0,450,0,0,-4081,59897,-2830,371,-4553,239,-330917,315437,-108,0,0,-22361,838,-345,0,6021,-1740,4281,-4425,0,268,617,117558,5245,43398,160956,-2938,56959
33,2006,20966,2213,0,0,7121,0,-26662,-19541,0,540,0,0,2843,7021,-2887,620,-4231,1127,-378103,368696,-849,0,0,-15627,967,-821,1298,2093,-1121,972,-5935,0,-508,-4027,160956,-7016,-19649,141307,-3736,3285
33,2007,22086,2528,0,0,-2478,0,64539,62061,0,854,0,0,-8796,78733,-2400,2504,-1770,936,-286316,273774,-852,0,2048,-12076,1229,-575,374,5948,-903,5045,-5927,0,-710,-564,141307,8086,74179,215486,-3252,75481
33,2008,24212,2522,0,0,-5069,0,78626,73557,0,870,0,0,-10123,91038,-2720,3178,-974,1856,-260980,238647,-950,0,1665,-20278,704,-636,0,5705,-689,5016,-6003,0,-718,-1637,215486,12400,81523,297009,-3670,87368
33,2009,9307,13367,0,0,4178,0,-49468,-45290,0,819,0,0,52217,30420,-2985,2467,-355,20893,-277023,223138,-1169,0,9941,-25093,2627,-1002,0,7094,-350,6744,-7303,0,-714,352,297009,-23816,-18137,278872,-4154,26266
33,2010,7079,2538,0,0,3198,0,-9356,-6158,0,683,0,0,2756,6898,-2000,4701,-739,353,-304629,241341,-956,0,4852,-57077,18410,-227,0,2959,-4637,-1678,-4533,0,-702,11270,278872,10803,-28106,250766,-2956,3942
33,2011,19037,2801,0,0,457,0,28548,29005,0,812,0,0,4087,55742,-2533,4373,-1589,254,-341202,321846,-1179,0,-14943,-34973,4074,0,0,4481,-2475,2006,-3854,0,-824,1402,250766,1139,23310,274076,-3712,52030
33,2012,21872,3135,0,0,1907,0,34693,36600,0,1162,0,0,16993,79762,-1505,300,-90,25,-319008,311702,-1571,0,216,-9931,96,-361,0,7,-3777,-3770,-5587,0,-464,-10086,274076,-8372,51373,325449,-3076,76686
33,2013,20649,2531,0,0,0,0,0,-27451,0,988,0,0,-5873,-9156,-1318,241,-1804,594,-342974,329926,-1008,0,21996,5653,569,-25,0,37,-1754,-1717,-6498,0,-561,-8232,325449,1594,-10141,315308,-2326,-11482
33,2014,22565,2295,0,0,0,0,0,15858,0,0,0,0,4259,44977,-1952,441,-26,377,-363979,342539,-834,0,16849,-6585,297,-32,0,1989,-1662,327,-6987,0,-586,-6981,315308,-438,30973,346281,-2786,42191
33,2015,18680,2251,0,0,0,0,0,-67937,0,732,0,0,24902,-21372,-1477,88,-30,0,-384199,382837,-903,0,-1277,-4961,5948,-96,-234,3500,-3163,337,-7184,0,-639,-1868,346281,-16779,-44980,301301,-2380,-23752
33,2016,18867,2181,0,0,0,0,0,-40934,0,757,0,0,18007,-1122,-1249,103,0,0,-438376,399636,-954,0,1928,-38912,4058,0,-463,3180,-2157,1023,-8195,0,0,-3577,301301,-13827,-57438,243863,-2203,-3325
33,2017,7112,5212,0,0,0,0,0,39499,0,534,0,0,16602,68959,-1151,0,0,0,-457084,430085,-906,0,13996,-15060,2024,-1987,-1825,2622,-595,2027,-9157,0,0,-8918,243863,-14294,30687,274550,-2057,66902
33,2018,17167,1862,0,0,0,0,0,-7599,0,500,0,0,-24344,-12414,-1167,0,0,0,-357264,418352,-1285,0,6921,65557,5196,-3067,0,0,-3574,-3574,-9005,0,0,-10450,263324,17701,60394,323718,-2452,-14866
