enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
34,1994,-8101,6661,1185,583,0,359,3480,5607,-1335,0,0,0,5495,8327,-3154,793,0,0,-2721,2387,-1507,0,0,-4202,1213,-1091,0,11794,-13988,-2194,-933,0,1091,-1914,4446,-796,1415,5861,-4661,3666
34,1995,3021,6295,653,1518,0,305,1959,4435,825,0,0,0,-2783,11793,-3078,900,0,1503,-3866,2476,-1361,0,0,-3426,0,318,0,5335,-11393,-6058,-662,0,-10,-6412,5861,106,2061,7922,-4439,7354
34,1996,4178,5602,-530,107,0,659,-82,154,1392,0,0,0,-618,10708,-4744,1561,-2880,0,-1315,3149,-823,0,0,-5052,0,-4656,0,9193,-9460,-267,-591,0,-870,-6384,7922,65,-663,7259,-5567,5141
34,1997,5429,5012,-650,196,0,319,1749,1614,11,0,0,0,-1791,10275,-5883,1314,-716,0,-1613,1470,-295,0,0,-5723,0,-5005,0,7670,-5911,1759,-706,0,0,-3952,7259,-172,428,7687,-6178,4097
34,1998,6093,5001,-3727,432,0,699,282,-2314,358,0,0,0,-273,8865,-6793,1130,0,0,-1617,1439,-314,0,0,-6155,0,-6250,0,9142,-5198,3944,-783,0,-1,-3090,7687,-201,-581,7106,-7107,1758
34,1999,6328,4992,-2736,73,0,362,1121,-1180,-606,0,0,0,-261,9273,-6520,905,0,0,-4211,3945,-250,0,0,-6131,0,-6278,0,8066,-5942,2124,-834,0,-5,-4993,7106,120,-1731,5375,-6770,2503
34,2000,7712,6585,-1677,301,0,-3,2697,1318,-713,0,0,0,-4791,10111,-5959,1207,0,4880,-3949,2616,-464,0,0,-1669,0,-6645,0,6409,-7510,-1101,-879,0,0,-8625,5375,-149,-332,5043,-6423,3688
34,2001,8093,4995,-4720,-55,0,2245,-521,-3051,29,0,0,0,-792,9274,-5616,1619,0,0,-1079,1393,-565,0,0,-4248,0,-6073,0,9604,-8961,643,-929,0,0,-6359,5043,-147,-1480,3563,-6181,3093
34,2002,8146,4506,2837,287,0,-918,-1621,585,664,0,0,55,65,14021,-5400,1149,0,0,-778,738,0,0,-1571,-5862,0,-3906,0,0,-437,-437,-966,0,0,-5309,3563,-83,2767,6330,-5400,8621
34,2003,5334,4493,4125,793,0,-55,-1900,2963,-67,0,0,-722,1787,13788,-4753,775,-3158,1233,-1582,1185,-597,0,0,-6897,0,-3087,0,6726,-9899,-3173,-1005,0,0,-7265,5608,148,-226,5382,-5350,8438
