enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
35,2005,1176.843,400.811,95.266,-35.668,0,0,226.788,286.386,-318.848,0,0,0,81.872,1627.064,-734.173,0,0,0,-90.487,6.037,-106.114,0,11.454,-913.283,0,0,0,108.176,-84.348,23.828,-287.906,0,-73.618,-337.696,652.147,-15.316,360.769,1012.916,-840.287,786.777
35,2006,1335.086,444.607,-84.296,-198.983,0,0,501.909,218.63,-351.867,0,0,0,75.599,1722.055,-850.799,0,-16.972,0,-37.953,0,-99.074,0,20.701,-984.097,0,0,0,31.624,-31.149,0.475,-365.829,0,-118.111,-483.465,935.567,8.007,262.5,1198.067,-949.873,772.182
35,2007,1739.53,562.892,-66.639,-175.918,0,0,120.032,-122.525,-445.178,0,0,0,80.008,1814.727,-1017.66,0,-37.257,0,-28.842,0,-102.729,0,34.496,-1151.992,0,0,0,0,-119.923,-119.923,-542.379,0,-87.199,-749.501,1283.642,-20.06,-106.826,1176.816,-1120.388,694.339
35,2008,2423.617,731.462,-129.025,-290.847,0,0,508.701,88.829,-627.89,0,0,0,60.642,2676.66,-1252.001,0,0,0,-64.839,45.231,-129.554,0,14.044,-1387.119,0,0,0,339.141,-24.32,314.822,-768.175,0,0.764,-452.589,1334.532,-12.67,824.282,2158.814,-1381.555,1295.105
35,2009,2101.903,754.128,-211.556,-95.506,0,0,189.759,-117.303,-384.197,0,0,0,-3.305,2351.226,-1128.441,0.899,-8.082,0,-31.315,28.819,-103.401,0,-0.001,-1241.522,0,0,0,15.054,-219.906,-204.852,-876.246,0,-2.648,-1083.746,1941.503,-25.354,0.604,1942.107,-1231.842,1119.384
35,2010,2470.999,891.171,232.168,69.138,0,0,71.303,372.609,0,0,0,0,-424.013,3310.766,-671.384,0,0,0,-17.96,0.539,-38.371,0,0.001,-727.175,0,0,0,15.006,-295.716,-280.71,-944.494,0,0.451,-1224.753,2091.713,1.817,1360.655,3452.368,-709.755,2601.011
35,2011,3103.723,850.643,-160,-303.583,0,0,485.309,21.726,-679.144,0,0,0,120.449,3417.397,-824.266,0,0,0,-84.41,0,-99.184,0,0,-1007.86,0,0,0,0,-44.496,-44.496,-1004.488,0,-45.616,-1094.6,3235.441,39.798,1354.735,4590.176,-923.451,2493.946
35,2012,3301.951,893.705,-103.355,-73.114,0,0,-86.977,-263.446,-894.453,0,0,0,70.193,3107.95,-1395.957,0,-136.41,0,-50.766,0,-157.17,0,-0.002,-1740.305,0,0,0,0,-48.303,-48.303,-1295.325,0,0.656,-1342.972,4430.261,18.294,42.967,4473.228,-1553.128,1554.822
35,2013,4163.523,1058.666,-384.572,-500.362,0,0,703.197,-181.737,-1087.979,0,0,0,195.07,4147.543,-1585.891,0,0,0,-346.585,0,-162.715,0,-31.793,-2126.984,0,0,0,6.201,0,6.201,-1502.352,0,0.001,-1496.15,4610.043,-24.189,500.22,5110.263,-1748.606,2398.937
35,2014,4158.989,1164.973,34.569,-193.946,0,0,-5.807,-165.184,-1220.334,0,0,0,-86.575,3851.869,-1521.888,0,0,0,-22.673,64.489,-181.661,0,-178.787,-1840.52,0,-63.343,0,0,-1.567,-1.567,-1877.008,0,0,-1941.918,5235.583,-64.243,5.188,5240.771,-1703.549,2148.32
