enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
36,1994,2295,717,-379,-303,0,146,260,-276,12,0,0,0,53,2801,-1933,0,0,0,-244,0,0,0,-1160,-3337,133,0,0,0,-46,-46,-84,0,349,352,1843,0,-184,1659,-1933,868
36,1995,2288,1047,-530,-331,0,148,362,-351,-150,0,0,0,103,2937,-2441,0,0,0,-3168,2750,0,0,0,-2859,226,-658,0,0,-33,-33,-92,0,0,-557,1659,0,-479,1180,-2441,496
36,1996,3566,1379,-1138,-835,0,289,218,-1466,346,0,0,0,191,4016,-3550,0,0,0,-685,1558,0,0,0,-2677,277,-1034,0,0,-183,-183,-116,0,0,-1056,1180,0,283,1463,-3550,466
36,1997,5157,1888,-607,711,0,105,1081,1290,179,0,0,0,229,8743,-3024,0,0,0,-4683,2439,0,0,0,-5268,317,-1302,0,360,0,360,-148,0,0,-773,1463,0,2702,4165,-3024,5719
36,1998,6945,2192,285,-404,0,438,522,841,6,0,0,0,24,10008,-4501,0,0,0,-9224,6866,0,0,0,-6859,645,-3372,0,0,-305,-305,-180,0,0,-3212,4165,0,-63,4102,-4501,5507
36,1999,6068,2863,-38,167,0,-180,228,177,77,0,0,0,262,9447,-3557,0,0,0,-10925,8882,0,0,-1162,-6762,2167,-6785,0,86,0,86,-217,0,0,-4749,4102,0,-2064,2038,-3557,5890
36,2000,7314,3597,153,169,0,79,1339,1740,-219,0,0,0,-298,12134,-3403,0,0,0,-7055,7987,0,0,-3778,-6249,563,-4612,0,187,0,187,-366,0,0,-4228,2038,0,1657,3695,-3403,8731
36,2001,10535,4835,-384,-731,0,978,465,328,-130,0,0,0,-2741,12827,-6674,0,0,0,-17188,17124,0,0,-3297,-10035,797,-4007,0,169,0,169,-470,0,0,-3511,3695,0,-719,2976,-6674,6153
36,2002,1291,6558,1561,24,0,-673,-867,45,-519,0,0,0,1414,8789,-7309,0,0,0,-7141,15398,0,0,-1278,-330,762,-4008,0,319,0,319,-538,0,0,-3465,2976,0,4994,7970,-7309,1480
36,2003,3117,5344,30,-26,0,-226,-183,-405,110,0,0,0,963,9129,-4703,0,0,0,-6309,5634,0,0,-387,-5765,681,-4014,0,0,-64,-64,-533,0,0,-3930,7970,0,-566,7404,-4703,4426
