enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
38,1994,1787,617,-310,-29,0,-3,125,-217,0,0,0,0,-19,2168,-975,66,0,0,-86,0,0,0,-266,-1261,43,-632,0,4,0,4,-659,0,0,-1244,373,-36,-373,0,-975,1193
38,1995,2006,724,-239,-162,0,462,250,311,-66,0,0,0,0,2975,-937,332,0,0,-19,0,0,0,-1932,-2556,62,-185,0,662,0,662,-727,0,0,-188,372,33,264,636,-937,2038
38,1996,2403,857,-265,-9,0,617,-158,185,-63,0,0,0,0,3382,-1256,465,0,0,-151,0,0,0,-154,-1096,112,-322,0,0,-697,-697,-827,0,0,-1734,-565,13,565,0,-1256,2126
38,1997,2887,1009,-306,-242,0,245,301,-2,-3,0,0,0,0,3891,-1373,37,0,0,-123,0,0,0,-233,-1692,149,-412,0,0,-131,-131,-974,0,0,-1368,-810,-21,810,0,-1373,2518
38,1998,3303,1067,-318,-175,0,460,127,94,-121,0,0,0,0,4343,-1391,69,0,0,-112,0,0,0,-180,-1614,225,-628,0,0,-379,-379,-1137,0,0,-1919,-742,-68,742,0,-1391,2952
38,1999,3003,1285,-163,-100,0,646,295,678,-297,0,0,0,322,4991,-1545,108,0,0,-1005,400,0,0,-4023,-6065,178,-930,0,2262,0,2262,-1305,0,0,205,2839,24,-845,1994,-1545,3446
38,2000,4273,1510,-630,-347,0,226,891,140,-26,0,0,0,23,5920,-1822,55,0,0,-3832,3057,0,0,-551,-3093,221,-840,0,0,-249,-249,-1479,0,0,-2347,2104,-72,408,2512,-1822,4098
38,2001,4953,1592,-468,128,0,41,678,379,-128,0,0,0,107,6903,-1689,166,0,0,-5676,4827,0,0,-293,-2665,387,-973,0,0,-115,-115,-1724,0,0,-2425,2512,-47,1766,4278,-1689,5214
38,2002,5668,1605,-258,-167,0,1401,517,1493,-106,0,0,0,204,8864,-1731,163,0,0,-8188,5967,0,0,-304,-4093,514,-2570,0,0,-1148,-1148,-2047,0,0,-5251,4278,-40,-520,3758,-1731,7133
38,2003,6597,1662,-510,-109,0,1420,-993,-192,-74,0,0,0,183,8176,-2099,156,0,0,-6923,7353,0,0,-684,-2197,390,-6538,0,1576,0,1576,-2381,0,0,-6953,3758,110,-864,2894,-2099,6077
