enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
42,1994,491.1,398.3,-32.1,-192.3,0,199.8,-104.5,-129.1,-231.6,0,0,0,988.2,1516.9,-633.5,5.4,0,0,-1001.7,889.3,0,0,-126.2,-866.7,19.8,-25.8,0,191.3,0,191.3,-708.4,0,0,-523.1,-107.2,-19.9,107.2,0,-633.5,883.4
42,1995,1286.1,432.2,-322.9,107.1,0,-74.9,-130.6,-421.3,172.2,0,0,0,63.1,1532.3,-576.5,58.7,0,0,-1150.5,1387,0,0,-4123.7,-4405,50.5,-111,0,3428.4,0,3428.4,-723.1,0,192.5,2837.3,539.6,32.7,-2.7,536.9,-576.5,955.8
42,1996,2290.9,553.7,-189.3,-22.1,0,93.2,-114.5,-232.7,144,0,0,0,-931.3,1824.6,-551.3,21.5,0,0,-372.9,430.8,0,0,-90.9,-562.8,54.7,-156,0,34.8,0,34.8,-747.2,0,0,-813.7,536.9,14.5,462.6,999.5,-551.3,1273.3
42,1997,1523.5,543.5,104.4,-42.2,0,-195.6,-51.7,-185.1,207.3,0,0,0,-97.8,1991.4,-443.9,11.2,0,0,-294.3,396.9,0,0,-137.9,-468,218.4,-314.5,0,0,-811.8,-811.8,-753.2,0,0,-1661.1,999.5,-48.1,-185.8,813.7,-443.9,1547.5
42,1998,-385.1,509.8,-4.7,-65.8,0,573.1,-22.2,480.4,-293,0,0,0,2088.3,2400.4,-366.3,1233,0,0,-388.5,365.7,0,0,-34.2,809.7,365.4,-351.3,0,0,-1150.7,-1150.7,-818,0,0,-1954.6,813.7,-121.7,1133.8,1947.5,-366.3,2034.1
42,1999,2105.1,490.4,-403.6,-55.6,0,649.4,-81.1,109.1,25.4,0,0,0,-100.2,2629.8,-419.9,30.6,0,0,-57.6,273.1,0,0,-120.1,-293.9,414,-2172.6,0,0,-176.4,-176.4,-877.7,0,0,-2812.7,1947.5,25,-451.8,1495.7,-419.9,2209.9
42,2000,2721,439.7,-179,16.9,0,-174.9,-88.8,-425.8,27.1,0,0,0,-142.3,2619.7,-528.3,1678.3,0,0,-162.8,216.1,0,0,-116.6,1086.7,310.2,-1453,0,690.6,0,690.6,-1000.5,0,0,-1452.7,1495.7,-49,2204.7,3700.4,-528.3,2091.4
42,2001,3057.8,435.8,-165.4,9.8,0,1143.8,-210.5,777.7,-442.7,0,0,0,-97.1,3731.5,-677.9,0,0,0,0,983.9,0,0,-1362.5,-1056.5,178.4,-1052.8,0,0,-229.1,-229.1,-1126,0,0,-2229.5,3700.4,-31,414.5,4114.9,-677.9,3053.6
42,2002,2780,454.9,167.5,-184.2,0,20.4,-81.1,-77.4,273.8,0,0,0,230.3,3661.6,-884,31.6,0,0,-3061.7,319,0,0,-369.7,-3964.8,109.5,-545.7,0,594.7,0,594.7,-1207.2,0,0,-1048.7,4114.9,-60.7,-1412.6,2702.3,-884,2777.6
42,2003,2707.9,493,-321.1,-285.1,0,-268.5,-667.4,-1542.1,346.5,0,0,0,65.4,2070.7,-1130.9,36.8,0,0,-5842.1,4777.9,0,0,-316.1,-2474.4,64.6,-385.2,0,1234.4,0,1234.4,-1335.8,0,0,-422,2702.3,69.3,-756.4,1945.9,-1130.9,939.8
