enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
46,1994,2166.2,414.7,-263.1,-46.6,0,-122.9,440.4,7.8,-167,0,0,0,626.8,3048.5,-1012.7,0,0,0,-9521.4,9863.5,0,0,-1917.1,-2587.7,83.4,-371,0,1225.2,0,1225.2,-1174.4,0,22.6,-214.2,575.1,7.7,254.3,829.4,-1012.7,2035.8
46,1995,2997,875.5,-265,-26.2,0,290.6,565,564.4,-96.5,0,0,0,-200.5,4139.9,-1009.3,0,0,0,-14814.5,15082.3,0,0,709.1,-32.4,138.6,-704.5,0,0,-1396,-1396,-1434.1,0,-6.2,-3402.2,829.4,69.3,774.6,1604,-1009.3,3130.6
46,1996,3335.2,859.2,-244.1,-271.8,0,383.1,-290.8,-423.6,0,0,0,0,-826.6,2944.2,-1005.5,1321.1,0,0,-13772.3,12430.1,0,0,-295.7,-1322.3,1283.6,-1570.9,0,481.8,0,481.8,-1539.8,0,-56.1,-1401.4,1604,22.9,243.4,1847.4,-1005.5,1938.7
46,1997,3881.3,927.1,-224.7,-267.6,0,414.2,143,64.9,0,0,0,0,554.4,5427.7,-1196.7,0,0,0,-15719.1,15079.2,0,0,-142.7,-1979.3,442.2,-2493.3,0,0,-21.3,-21.3,-1728.9,0,-36,-3837.3,1847.4,-106.1,-495,1352.4,-1196.7,4231
46,1998,4614.1,837.1,-271.7,-53.5,0,321.8,0,-3.4,0,0,0,0,868.8,6316.6,-1448.8,910,0,0,-22986.7,22075.4,0,0,-152.6,-1602.7,413.3,-3572.8,0,494.4,0,494.4,-2039.9,0,-153.9,-4858.9,1352.4,-82.3,-227.3,1125.1,-1448.8,4867.8
46,1999,5248.2,1015.1,-579.1,-409.5,0,250.1,-3.2,-741.7,0,0,0,0,-193.3,5328.3,-1973.4,2586.2,0,0,-29675.4,28618.9,0,0,432.3,-11.4,490.1,-3625.5,0,1581.7,0,1581.7,-2253.1,0,-114.1,-3920.9,1125.1,85.1,1481.1,2606.2,-1973.4,3354.9
46,2000,5890.5,1462.2,-752.9,-223,0,404.5,-150.9,-722.3,0,0,0,0,-499.7,6130.7,-2560.5,0,0,0,-42211.2,40308.7,0,0,1646,-2817,322.9,-3582.1,0,2132,0,2132,-2589.7,0,-152.5,-3869.4,2606.2,-28.6,-584.3,2021.9,-2560.5,3570.2
46,2001,6821.7,1277.3,-940.1,-210.1,0,16.6,110,-1023.6,0,0,0,0,611.9,7687.3,-2727.8,0,0,0,-28637.1,27667.5,0,0,56.1,-3641.3,2140.7,-3545.4,0,904.5,0,904.5,-2798,0,-149.2,-3447.4,2021.9,-83.7,514.9,2536.8,-2727.8,4959.5
46,2002,7281.8,1132.5,45.1,-384.9,0,-15.6,409.2,53.8,455.8,0,0,0,-580.6,8343.3,-2401.8,0,0,0,-34572.1,33192.7,0,0,-115.4,-3896.6,300.6,-3890.8,0,1943.5,0,1943.5,-3145,0,41.4,-4750.3,2536.8,-89.2,-392.8,2144,-2401.8,5941.5
46,2003,7149.5,1231.2,130.2,-41.5,0,325.4,-0.1,414,387.5,0,0,575.1,-471.6,9285.7,-2128.1,0,0,0,-37443.6,35807.4,0,0,-3.7,-3768,318.3,-2091.3,0,0,-394.8,-394.8,-3191.6,0,-172.5,-5531.9,2144,113.2,99,2243,-2128.1,7157.6
