enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
48,1994,1146,237,-146,23,0,0,333,210,0,0,0,0,0,1593,-278,0,0,0,-860,0,0,0,-64,-1202,431,-348,0,0,0,0,0,0,0,83,-464,-10,464,0,-278,1315
48,1995,1453,269,-91,15,0,0,344,268,0,0,0,0,0,1990,-495,0,0,0,-651,0,0,0,-230,-1376,332,-649,0,0,0,0,0,0,179,-138,-485,9,485,0,-495,1495
48,1996,2195,480,-71,0,0,0,1115,1044,0,0,0,0,0,3719,-494,0,0,0,-1551,0,0,0,-625,-2670,504,-1261,0,0,0,0,0,0,352,-405,-639,-5,639,0,-494,3225
48,1997,3454,557,-336,0,0,0,1014,678,0,0,0,0,0,4689,-499,0,0,0,-18216,15626,0,0,0,-3089,1819,-3101,0,0,0,0,-15,0,796,-501,2601,6,1105,3706,-499,4190
48,1998,4490,1024,-520,0,0,0,3143,2623,0,0,0,0,296,8433,-846,0,0,0,-19114,12688,0,0,0,-7272,1497,-2468,0,0,0,0,-28,0,0,-999,3706,-29,133,3839,-846,7587
48,1999,7785,926,-687,0,0,0,2166,1479,0,0,0,0,2947,13137,-583,79,0,0,-36441,25754,0,0,0,-11191,2116,-2950,0,0,0,0,-28,0,0,-862,3839,52,1136,4975,-583,12554
48,2000,9421,1250,-944,0,0,0,-1679,-2623,-425,0,0,0,3803,11426,-879,0,0,0,-42290,33777,0,0,0,-9392,2717,-4896,0,0,0,0,-13,0,0,-2192,4975,29,-129,4846,-879,10547
48,2001,7346,1536,-418,0,0,0,716,298,-420,0,0,0,4662,13422,-1103,0,0,0,-66346,58715,0,0,0,-8734,1620,-7441,0,0,0,0,0,0,235,-5586,4846,-26,-924,3922,-1103,12319
48,2002,7829,1084,-1623,0,0,0,3615,1992,-416,0,0,0,4020,14509,-770,0,0,0,-89386,79311,0,0,0,-10845,1497,-6069,0,0,0,0,0,0,0,-4572,3922,2,-906,3016,-770,13739
48,2003,7531,1393,187,0,0,0,447,634,-1348,0,0,0,7587,15797,-891,0,0,0,-91869,86328,0,0,-1063,-7495,2120,-6486,0,0,0,0,-857,0,0,-5223,2217,61,3140,5357,-891,14906
