enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
47,1994,510.5,0,-1451.7,0,0,1536.9,85.2,170.4,-110.3,0,0,0,4228.7,4799.3,-66.3,0,0,0,0,0,0,0,0,-66.3,0,0,-104.6,0,-3060.8,-3060.8,-102.9,0,-563.4,-3831.7,-901.3,0,901.3,0,-66.3,4733
47,1995,740.9,58.8,0,0,0,-89.5,1754.1,1664.6,-155.6,0,0,0,585.4,2894.1,0,0,0,0,0,0,0,0,0,-4400.7,0,-82,0,2679.2,0,2679.2,-81.1,0,-505.7,2010.4,-503.8,0,503.8,0,0,2894.1
47,1996,856.4,70,0,0,0,-26.2,195.6,169.4,-93.4,0,0,0,474.4,1476.8,0,0,0,0,0,0,0,0,0,-6025,0,-80.6,0,3531.8,0,3531.8,-102.3,0,1329.7,4678.6,-130.4,0,130.4,0,0,1476.8
47,1997,951.4,83.3,0,0,0,0,0,-62.3,-83.4,0,0,0,1319.4,2208.4,0,0,0,0,0,0,0,0,0,-2798.7,0,-581.4,0,1420.1,-601.2,818.9,-134,0,1021.5,1125,-534.7,0,534.7,0,0,2208.4
47,1998,2586,338,0,0,0,0,0,5250,-77,0,0,0,-8655,-558,-301,0,0,0,0,0,0,0,-2227,-2528,0,-275,0,6619,-5300,1319,-416,0,5327,5955,5386,0,2869,8255,-301,-859
47,1999,3393,575,0,0,0,0,0,8209,-55,0,0,0,3247,15369,-358,0,0,0,0,0,0,0,3551,3193,0,-2939,0,15391,-7069,8322,-519,0,-14803,-9939,8255,0,8623,16878,-358,15011
47,2000,4791,541,0,0,0,0,0,-35378,-160,0,0,0,1261,-28945,-1669,0,0,0,0,0,0,0,-5261,-6930,0,-2151,0,17546,-6618,10928,-575,0,23120,31322,16878,0,-4553,12325,-1669,-30614
47,2001,5456,727,0,0,0,0,0,54453,-219,0,0,0,-62801,-2384,-896,0,0,0,0,0,0,0,-1789,-2685,0,-3761,0,22475,-19914,2561,-924,0,13687,11563,12325,0,6494,18819,-896,-3280
47,2002,3521,729,0,0,0,0,0,-29765,-427,0,0,0,1851,-24091,-1998,0,0,0,0,0,0,0,1111,-887,0,-1386,810,23586,-11201,12385,-1040,0,21986,32755,18819,0,7777,26596,-1998,-26089
47,2003,2988,787,0,0,0,0,0,-10792,55,0,0,0,1908,-5054,-1124,0,0,0,0,0,0,0,-4531,-5655,0,-1156,0,28990,-6472,22518,-1000,0,-7037,13325,26596,0,2616,29212,-1124,-6178
47,2004,3787,637,0,0,0,0,0,2346,205,0,0,0,-4620,2355,-603,0,0,0,0,0,0,0,2366,1763,0,-128,0,23486,-25084,-1598,-994,0,-918,-3638,29212,0,480,29692,-603,1752
47,2005,4486,805,-17112,0,0,21314,-38388,-34186,-261,663,0,0,1035,-27458,-533,0,-758,0,0,0,0,0,-1770,-3061,322,-1132,0,45518,-11915,33603,-1096,0,1941,33638,29692,0,3119,32811,-533,-27991
47,2006,4939,815,-1598,0,0,-815,-36021,-38434,-999,820,0,0,1507,-31352,-540,0,-323,0,0,0,0,0,-3258,-4121,327,-3693,0,35768,-21918,13850,-1180,0,22772,32076,32811,0,-3397,29414,-540,-31892
47,2007,7472,876,-46287,0,0,34326,-60547,-72508,111,1923,0,0,881,-61245,0,993,-2706,0,0,0,0,0,-632,-2345,643,-3731,1097,47849,-23065,24784,-1167,0,32359,53985,29414,797,-8808,20606,0,-61245
47,2008,3249,475,-3973,0,0,71092,-94059,-26940,-1669,1927,437,0,272,-22249,-1469,0,-1169,476,-14073,4272,0,0,525,-11438,927,-4257,0,82814,-33120,49694,-1219,0,-7060,38085,20606,594,4992,25598,-1469,-23718
47,2009,1778,794,54531,0,0,-114531,133477,73477,-1224,1838,1238,0,-4484,73417,-1400,0,-174,743,0,0,0,0,0,-831,397,-1828,18997,47910,-80132,-32222,-1227,0,-1101,-16984,25598,-2546,53056,78654,-1400,72017
47,2010,1406,1224,-2445,0,0,769,-47013,-48689,-932,1265,823,0,-1048,-45951,-2877,0,-2160,565,0,0,0,0,0,-4472,6255,-50,-10950,43960,-40899,3061,-1732,0,6440,3024,78670,720,-46679,31991,-2877,-48828
47,2011,5702,1419,-6492,0,0,697,38172,32377,-129,1260,201,0,-216,40614,-1201,0,-1042,1829,-29989,999,0,0,-60,-29464,5581,-317,0,33401,-33780,-379,-1156,0,434,4163,32288,14,15327,47615,-1201,39413
47,2012,4645,1404,5899,0,0,-6985,7963,6877,413,1300,159,0,584,15382,-1304,0,0,0,-20601,19998,0,0,-8827,-10734,0,-317,0,32725,-39645,-6920,-834,0,2923,-5148,48126,-314,-814,47312,-1304,14078
47,2013,716,1581,-10030,0,0,-1283,33296,21983,-639,891,271,0,-44,24759,-1312,0,0,1725,-24477,15136,0,0,-3697,-12625,0,-227,0,23646,-43797,-20151,-469,0,8950,-11897,46786,-119,118,46904,-1312,23447
47,2014,3613,1511,6774,0,0,26697,-4603,28868,-117,1180,198,0,-244,35009,-1316,0,0,1147,-30557,16182,0,0,-9917,-24461,0,-691,1696,27943,-38742,-10799,-475,0,12902,2633,46904,-202,12979,59883,-1316,33693
47,2015,3667,1161,2204,0,0,27971,-34812,-4637,-231,1260,111,0,-245,1086,-992,0,0,989,-32623,17631,0,0,-20329,-35324,0,-1458,2782,36859,-33103,3756,-904,0,18967,23143,59883,-1804,-12899,46984,-992,94
47,2016,6279,1433,-434,0,0,4633,-18983,-14784,1189,1104,69,0,247,-4463,-1373,0,0,998,-47291,43589,0,0,-15918,-19995,0,-2773,1493,34182,-27377,6805,-1455,0,20084,24154,87591,-1735,-2039,85552,-1373,-5836
47,2017,6123,1736,-371,0,0,1913,-6775,-5233,1579,1136,130,0,-88,5383,-1276,0,0,0,-50911,42083,0,0,-9404,-19508,0,-3933,0,43626,-31596,12030,-1746,0,1012,7363,85552,-1430,-8192,77360,-1276,4107
47,2018,6216,1753,-9315,0,0,2007,-9121,-16429,2747,1026,91,0,91,-4505,-1629,0,0,0,-23962,25576,0,0,-12376,-12391,0,-4292,994,55416,-35825,19591,-2085,0,2053,16261,77360,3670,3035,80395,-1629,-6134
47,2019,8883,1844,-728,0,0,-13063,8816,-4975,449,920,0,0,184,7305,-1865,0,0,0,-27800,15876,0,0,-9092,-22881,0,-5566,0,40059,-34781,5278,-2375,0,26868,24205,80395,-1828,6801,87196,-1865,5440
47,2020,9237,2643,233,0,0,19942,7434,27609,165,1153,0,0,-34,40773,-1826,0,0,0,-42586,29163,0,0,-18312,-33561,0,-5954,497,30605,-40548,-9943,-2627,0,6061,-11966,87196,-271,-5025,82171,-1826,38947
47,2021,11179,3769,-29774,0,0,10187,-22689,-42276,-250,1312,0,0,1035,-25231,-1444,0,0,3807,-59777,38267,0,0,-18751,-37898,0,-1890,0,60726,-50484,10242,-2739,0,78171,83784,82171,2828,23483,105654,-1444,-26675
47,2022,15120,4216,774,0,0,7758,4157,12689,4,2085,0,0,-143,33971,-2308,0,-2648,0,-69571,61568,0,0,-36938,-49897,0,-12075,1275,90273,-70124,20149,-4171,0,36369,41547,105654,-3550,22071,127725,-2308,31663
47,2023,11179,3998,14664,0,0,-4897,-33265,-23498,-849,1875,0,0,898,-6397,-3078,0,0,0,-29833,45278,0,0,-23999,-11632,0,-10871,994,72460,-34898,37562,-5401,0,430,22714,127725,-4283,402,128127,-3078,-9475
