enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
52,2011,-29.705,0.369,-5.176,0,-4.851,9.813,18.518,18.304,0,0.55,0.064,0,2.886,-7.532,-1.584,0,0,0,0,0,0,0,0.129,-1.455,0,-20.814,51.245,0,0,0,0,0,0.241,30.672,7.788,-0.071,21.614,29.402,-1.584,-9.116
52,2012,9.83,1.472,-14.762,0,-3.18,8.862,28.347,19.267,-0.138,2.95,0,0,4.087,37.468,-8.733,0,0,0,0,0,0,0,0.35,-8.383,0,0,0,0,0,0,0,0,0,1.227,29.402,0.139,30.451,59.853,-8.733,28.735
52,2013,-37.348,13.506,-33.341,0,-2.904,29.789,35.67,29.214,-2.44,27.94,0.384,0,17.51,48.766,-42.066,0,0,0,-240.626,43.498,0,0,0.045,-239.149,238.193,-1.96,0,0,0,0,0,0,5.606,241.839,68.088,-0.555,50.901,118.989,-42.066,6.7
52,2014,-73.708,24.152,-29.506,0,3.471,16.005,39.462,29.432,-1.889,65.58,0,0,38.179,81.746,-55.321,0,-13.33,0,-570.679,236.712,0,0,-0.177,-402.795,0,0,0,562.941,0,562.941,0,0,5.629,568.57,118.989,-0.207,247.314,366.303,-55.321,26.425
52,2015,-179.387,42.059,-56.785,0,-5.54,8.918,94.607,41.2,-1.198,154.32,0,0,83.943,140.937,-54.379,0,-99.813,0,-521.393,358.712,0,0,-0.055,-316.928,0,0,0,0,0,0,0,0,0,68.735,366.303,-6.592,-113.848,252.455,-54.379,86.558
52,2016,-198.426,60.356,-50.855,0,-10.961,47.972,115.758,101.914,-1.282,257.71,0,0,97.482,317.754,-87.481,0,-1.1,0,-723.282,582.092,-1.75,0,0,-231.521,0,0,0,0,-0.223,-0.223,0,0,80.553,80.33,252.736,-6.513,160.05,412.786,-89.231,228.523
52,2017,-414.249,83.082,-126.415,0,-24.164,84.006,133.218,66.645,-0.658,317.65,0,0,106.611,159.081,-105.562,0,-34.297,0,-519.164,569.535,-18.75,0,0,-108.238,0,0,0,0,-2.223,-2.223,0,0,-53.529,-55.752,412.786,-5.945,-10.854,401.932,-124.312,34.769
52,2018,-116.846,113.875,-99.693,0,-34.288,61.022,178.996,106.037,-5.724,394,0,0,151.598,642.94,-150.51,0,-58.203,0,-1194.261,525.696,-6.67,0,0,-883.948,0,-55,0,772.127,-4.918,767.209,0,0,-173.317,538.892,401.932,28.013,325.897,727.829,-157.18,485.76
52,2019,-26.704,149.604,-146.148,0,-19.886,77.314,229.474,140.754,-34.18,543.95,0,0,37.665,811.089,-224.462,0,-37.44,0,-1295.782,1234.662,-24.4,0,0,-347.422,0,0,0,0,-430.578,-430.578,0,0,-176.85,-607.428,727.829,-15.53,-159.291,568.538,-248.862,562.227
52,2020,627,252,-260,0,-30,86,282,78,-576,662,0,0,193,1236,-265,0,-7,0,-1596,1193,-73,0,23,-725,0,0,0,0,0,0,0,0,0,-302,569,0,209,778,-338,898
52,2021,119,336,-152,0,-55,141,346,280,-24,870,0,0,205,1786,-419,0,-107,0,-2934,1965,-13,0,1,-1507,0,0,0,1482,-1628,-146,0,0,743,597,778,25,901,1679,-432,1354
52,2022,230,472,-401,0,-93,157,395,58,-34,1131,0,0,334,2191,-392,0,-785,0,-2556,2119,-7,0,14,-1607,0,0,0,0,-61,-61,0,0,-445,-506,1679,-25,53,1732,-399,1792
52,2023,325,433,-340,0,-39,215,338,174,15,1401,0,0,375,2723,-550,0,-91,0,-4205,2245,0,0,18,-2583,0,0,0,0,-94,-94,0,0,-250,-344,1732,-53,-257,1475,-550,2173
