enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
54,1994,213.351,119.193,-67.299,-56.758,0,39.528,3.648,-80.881,7.906,0,0,0,25.642,285.211,-357.882,0,0,0,0,0,0,0,-80.07,-437.952,30.609,0,0,99.53,0,99.53,0,0,0.71,130.849,21.892,0,-21.892,0,-357.882,-72.671
54,1995,232.324,171.233,-70.763,-20.43,0,98.397,0.001,7.205,-34.148,0,0,0,55.565,432.179,-281.967,0,0,0,0,0,0,0,-83.988,-365.955,0,0,0,95.93,0,95.93,0,0,0,95.93,-162.154,0,162.154,0,-281.967,150.212
54,1996,279.926,204.133,-34.767,19.172,0,19.37,-27.019,-23.244,-37.449,0,0,0,30.098,453.464,-286.78,105.295,0,0,0,0,0,0,154.267,-27.218,0,0,0,0,-297.906,-297.906,-33.277,0,0,-331.183,-90.394,-4.669,90.394,0,-286.78,166.684
54,1997,303.313,179.622,-119.08,-38.591,0,-5.613,-15.436,-178.72,-7.417,0,0,0,26.663,323.461,-344.61,9.422,0,0,0,0,0,0,52.223,-282.965,0,0,0,0,-116.674,-116.674,-31.374,0,0,-148.048,253.395,7.919,-99.633,153.762,-344.61,-21.149
54,1998,327.536,168.568,-36.382,-17.079,0,23.648,-5.255,-35.068,-21.122,0,0,0,7.58,447.494,-385.241,24.153,0,0,0,0,0,0,-125.314,-486.402,0,0,0,107.225,0,107.225,-41.232,0,-0.001,65.992,-30.823,3.739,30.823,0,-385.241,62.253
54,1999,379.95,155.388,-167.418,-17.043,0,128.321,-8.02,-64.16,0,0,0,0,-86.216,384.962,-277.694,19.048,0,0,0,0,0,0,-15.038,-273.684,5.013,-309.774,0,100.251,0,100.251,-67.168,0,-0.001,-271.679,271.679,0,-160.401,111.278,-277.694,107.268
54,2000,328.48,128.579,-83.376,-43.195,0,93.421,4.019,-29.131,0,0,0,0,-43.195,384.733,-184.833,13.059,0,0,0,0,0,0,-4.018,-175.792,1.005,-196.887,0,305.376,0,305.376,-76.344,0,-0.001,33.149,97.44,0,242.09,339.53,-184.833,199.9
54,2001,371.803,124.578,80.155,-45.389,0,90.778,-15.452,110.092,0,0,0,0,27.041,633.514,-284.888,27.04,0,0,0,0,0,0,-48.286,-306.134,23.177,-297.443,0,0.966,0,0.966,-83.052,0,97.538,-258.814,301.306,0,68.566,369.872,-284.888,348.626
54,2002,461.078,129.022,-140.024,-101.017,0,67.011,0.001,-174.029,0,0,0,0,100.016,516.087,-471.08,12.002,0,0,-36.006,2,0,0,-0.999,-494.083,4.001,-3.001,0,0,-5.001,-5.001,-109.018,0,0,-113.019,367.062,-3.001,-94.016,273.046,-471.08,45.007
54,2003,561.367,182.59,42.734,-155.396,0,14.568,0,-98.094,0,0,0,0,23.31,669.173,-541.942,13.597,0,0,0,0,0,0,-72.842,-601.187,5.827,-52.446,0,0,-2.914,-2.914,-159.281,0,0.001,-208.813,312.734,-2.914,-143.741,168.993,-541.942,127.231
54,2004,804.808,268.595,-119.158,-94.741,0,3.907,0,-209.992,0,0,0,0,157.249,1020.66,-415.101,32.231,0,0,0,0,0,0,0,-382.87,2.93,-268.595,0,75.207,0,75.207,-206.086,0,0,-396.544,204.133,-2.93,238.316,442.449,-415.101,605.559
54,2005,910.528,343.427,38.599,-112.826,0,94.022,-0.001,19.794,0,0,0,0,104.909,1378.658,-570.07,25.732,0,0,0,237.529,0,0,-56.412,-363.221,15.835,-360.252,0,0,-11.876,-11.876,-270.189,0,-0.001,-626.483,152.414,-2.969,385.985,538.399,-570.07,808.588
54,2006,931.894,306.953,-180.561,-98.305,0,216.673,0,-62.193,0,0,0,0,207.646,1384.3,-619.926,37.115,0,0,-163.508,0,0,0,-34.105,-780.424,33.103,-479.489,0,0,-5.016,-5.016,-252.785,0,-1.003,-705.19,471.463,24.075,-77.239,394.224,-619.926,764.374
54,2007,1143.092,379.362,-142.136,-121.116,0,81.078,0,-182.174,0,0,0,0,31.03,1371.31,-587.561,51.049,0,0,0,91.087,0,0,-1.002,-446.427,37.035,-531.508,0,0,-4.004,-4.004,-344.329,0,0.001,-842.805,439.42,7.007,89.085,528.505,-587.561,783.749
54,2008,1665.905,587.908,-136.746,-120.776,0,56.894,0.001,-200.627,0,0,0,0,-101.811,1951.375,-474.119,7.985,0,0,-105.803,0,0,0,275.488,-296.449,46.913,-945.244,0,0,-3.993,-3.993,-434.193,0,0.998,-1335.519,583.915,-0.998,318.409,902.324,-474.119,1477.256
54,2009,1749.851,443.515,-201.422,-118.142,0,217.884,0.001,-101.679,0,0,0,0,243.062,2334.749,-369.919,2.905,0,0,0,84.248,0,0,31.957,-250.809,53.261,-856.042,0,0,-28.083,-28.083,-507.428,0,0.968,-1337.324,836.675,0,746.616,1583.291,-369.919,1964.83
54,2010,2108.892,499.608,-144.928,-79.318,0,180.376,-10.772,-54.642,0,0,0,0,457.893,3011.751,-515.472,0.196,0,0,0,0,-84.802,0,3.525,-596.553,22.914,-1275.362,0,0,0,0,-714.845,0,0,-1967.293,1708.969,4.113,452.018,2160.987,-600.274,2411.477
54,2011,2555.264,437.675,-333.18,58.014,0,117.802,210.055,52.691,688.89,82.142,0,0,-325.373,3491.289,-598.943,12.064,0,204.911,-516.801,0,-91.012,0,0,-989.781,120.285,-1564.773,0,0,0,0,-780.612,0,-120.286,-2345.386,1957.564,8.161,164.283,2121.847,-689.955,2801.334
54,2012,3024.893,484.245,-145.433,45.293,0,68.116,108.81,76.786,854.196,56.439,0,0,-714.956,3781.603,-543.692,12.385,0,0,-34.854,0,-45.824,0,0,-611.985,0,-1874.525,0,0,-89.701,-89.701,-1008.475,0,0.001,-2972.7,2116.028,-2.831,194.087,2310.115,-589.515,3192.088
54,2013,3768.993,473.586,-108.856,-19.344,0,99.887,76.498,48.185,1121.799,54.164,0,0,-1560.213,3906.514,-592.994,9.32,0,0,-88.105,0,-43.965,0,0.001,-715.743,0,-2092.009,0,0,-88.281,-88.281,-1361.494,0,0,-3541.784,2296.181,-1.407,-352.42,1943.761,-636.958,3269.556
54,2014,4627.88,514.352,-186.887,-1.654,0,42.817,97.027,-48.697,1351.575,75.159,0,0,-1753.096,4767.173,-595.024,5.697,0,0,-0.551,154.361,-74.056,0,-0.001,-509.574,0,-2558.712,0,0,0,0,-1785.255,0,0,-4343.967,2031.129,-12.863,-99.231,1931.898,-669.08,4098.093
54,2015,4387.831,569.17,-402.645,-299.084,0,142.168,203.643,-355.918,1261.785,61.474,0,0,-673.062,5251.28,-661.132,0.663,0,0,-3.977,375.636,-53.189,0,0,-341.999,0,-2430.283,0,0,0,0,-1966.165,0,0.001,-4396.447,1741.976,11.267,524.101,2266.077,-714.321,4536.959
54,2016,5086.823,431.782,-284.693,-204.436,0,-3.356,177.732,-314.753,1258.281,64.497,0,0,-939.734,5586.896,-762.294,2.189,0,336.057,-516.854,223.552,-172.479,0,0,-889.829,0,-2509.266,0,0,0,0,-1883.117,0,0,-4392.383,1995.623,12.549,317.233,2312.856,-934.773,4652.123
54,2017,5377.602,452.754,-695.224,-224.463,0,153.707,240.202,-525.778,1399.949,52.181,0,0,94.009,6850.717,-1002.212,0.993,0,0,-91.175,295.928,-170.013,0,3.686,-962.793,0,-2135.018,0,0,0,0,-3378.992,0,0.001,-5514.009,2247.462,-3.687,370.228,2617.69,-1172.225,5678.492
54,2018,6063.449,506.003,8.269,-164.109,0,-245.528,-176.512,-577.88,1677.666,46.434,0,0,-1169.119,6546.553,-1212.69,1.431,0,0,-6.361,331.081,-162.519,0,4.135,-1044.923,0,-2678.699,0,0,0,0,-2996.581,0,0,-5675.28,2935.676,-33.553,-207.203,2728.473,-1375.209,5171.344
54,2019,5890.3,598.515,-500.618,-146.846,0,187.56,-53.98,-513.884,1370.408,63.13,0,0,-605.072,6803.397,-1469.373,1.982,0,56.116,-37.817,27.143,-423.001,0,2.897,-1842.053,0,-2373.778,0,14.334,0,14.334,-2904.588,0,-0.001,-5264.033,2679.212,6.709,-295.98,2383.232,-1892.374,4911.023
54,2020,5793.779,842.047,-493.24,-194.113,0,-15.321,198.725,-503.949,1428.253,53.995,0,0,-655.521,6958.604,-1328.593,0.595,-14.875,0,-52.061,22.014,-341.966,0,2.976,-1711.91,0,-2280.861,0,12.048,-122.269,-110.22,-2886.998,0,0,-5278.079,2324.74,-1.041,-32.426,2292.314,-1670.559,5288.045
54,2021,6890.473,940.74,-529.974,-146.352,0,38.918,-74.402,-711.81,1797.429,134.578,0,0,-556.299,8495.111,-952.513,1.145,-64.1,0,0,1.962,-2658.207,0,2.942,-3668.771,0,-2756.157,0,929.13,-155.346,773.784,-3290.218,0,0,-5272.591,2520.032,-74.566,-520.817,1999.215,-3610.72,4884.391
54,2022,7256.8,915.514,-2032.822,-164.869,0,476.827,405.562,-1315.302,1720.559,158.031,0,0,-378.21,8357.392,-962.62,0,-2778.149,0,-1080.839,178.088,-159.55,0,0.608,-4802.462,0,-2955.022,0,3367.269,-1016.411,2350.859,-3269.564,0,0,-3873.727,1857.773,89.804,-228.993,1628.78,-1122.17,7235.222
54,2023,7906.278,1048.285,-1549.93,-678.779,0,733.315,735.594,-759.8,1927.551,219.14,0,0,891.37,11232.824,-1729.485,0,-1007.419,0,-1386.179,946.19,-371.214,0,0,-3548.107,0,-3429.637,0,1596.919,-1939.797,-342.878,-3602.928,0,0,-7375.443,1526.292,-33.889,275.385,1801.677,-2100.699,9132.125
