enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
61,1994,2211,1134,40,25,0,98,-55,108,196,0,0,0,0,3649,-1841,105,0,0,0,23,0,0,-295,-2008,36,-14,0,0,-664,-664,-949,0,0,-1591,2322,1,51,2373,-1841,1808
61,1995,2645,1253,-161,-401,0,70,-84,-576,181,0,0,0,65,3568,-2146,310,0,0,0,96,0,0,-623,-2363,66,-114,0,0,-490,-490,-1062,0,0,-1600,2373,50,-345,2028,-2146,1422
61,1996,3046,1358,17,202,0,-948,-134,-863,328,0,0,0,289,4158,-2179,402,0,0,-331,0,0,0,-358,-2466,89,-432,0,0,-38,-38,-1202,0,0,-1583,2028,-63,46,2074,-2179,1979
61,1997,3415,1487,8,-71,0,561,503,1001,-26,0,0,0,5,5882,-2129,520,0,0,-309,0,0,0,-150,-2068,134,-1652,0,0,-660,-660,-1329,0,0,-3507,2074,-31,276,2350,-2129,3753
61,1998,3780,1598,42,-229,0,-3,-65,-255,-101,0,0,0,-137,4885,-2559,555,0,0,0,63,0,0,-3269,-5210,158,-1929,0,2853,0,2853,-1462,0,0,-380,2350,-96,-801,1549,-2559,2326
61,1999,3763,2148,-207,-96,0,792,-926,-437,-60,0,0,0,130,5544,-2828,434,0,0,0,356,0,0,-137,-2175,212,-2533,0,1341,0,1341,-1626,0,0,-2606,1549,-18,745,2294,-2828,2716
61,2000,3542,2191,64,-176,0,-883,-404,-1399,463,0,0,0,-122,4675,-3018,419,0,0,0,221,0,0,-2967,-5345,336,-1766,0,3030,0,3030,-1796,0,0,-196,2294,-13,-879,1415,-3018,1657
61,2001,2922,2271,-122,-67,0,801,57,669,-102,0,0,0,44,5804,-2486,788,0,0,-7,0,0,0,-138,-1843,141,-1250,0,38,0,38,-1943,0,0,-3014,1415,-56,891,2306,-2486,3318
61,2002,4352,1693,96,159,0,684,-98,841,389,0,0,0,467,7742,-1679,227,0,0,0,88,0,0,-5471,-6835,237,-568,0,2623,0,2623,-2095,0,0,197,2306,17,1121,3427,-1679,6063
61,2003,5186,1703,163,-56,0,936,178,1221,63,0,0,0,527,8700,-1482,143,0,0,-107,37,0,0,46,-1363,269,-1236,0,0,-1882,-1882,-2246,0,0,-5095,2799,387,2629,5428,-1482,7218
61,2004,6156,1733,-159,56,0,597,139,633,342,0,0,0,491,9355,-2024,230,0,0,-874,0,0,0,-7476,-10144,562,-4070,0,5686,0,5686,-2539,0,0,-361,5428,-46,-1196,4232,-2024,7331
61,2005,6923,1884,-86,-644,0,-101,-385,-1216,564,0,0,0,524,8679,-2181,517,0,0,-100,0,0,0,-572,-2336,521,-5026,0,3111,0,3111,-2731,0,0,-4125,4232,-61,2157,6389,-2181,6498
61,2006,8684,2627,-524,383,0,230,-498,-409,-112,0,0,0,585,11375,-2667,882,0,0,0,884,0,0,171,-730,1319,-16830,0,8636,0,8636,-3703,0,0,-10578,6389,237,304,6693,-2667,8708
61,2007,10340,3130,-729,-389,0,-273,-157,-1548,253,0,0,0,1260,13435,-2945,281,0,0,0,673,0,0,-492,-2483,1499,-5578,0,0,-4190,-4190,-4209,0,0,-12478,6693,187,-1339,5354,-2945,10490
61,2008,12075,3166,432,-1050,0,297,-1270,-1591,1214,555,0,0,-411,15008,-3046,928,-381,0,-50,0,0,0,0,-2549,1867,-10047,0,9738,-11747,-2009,-4655,0,0,-14844,5354,344,-2041,3313,-3046,11962
61,2009,13436,3082,415,721,0,-742,-758,-364,596,516,0,0,-2347,14919,-3238,1087,-368,0,0,166,0,0,0,-2353,0,-6370,0,4926,-5007,-81,-5044,0,681,-10814,3313,-284,1468,4781,-3238,11681
61,2010,12846,3108,-14,86,0,2446,-356,2162,36,453,0,0,-2474,16131,-3067,3068,-425,0,-173,0,0,0,0,-597,0,-6004,0,3830,-10344,-6514,-5458,0,662,-17314,4781,-122,-1902,2879,-3067,13064
61,2011,11927,2838,-426,-501,0,358,-1221,-1790,128,414,0,0,-187,13330,-3306,225,-474,0,0,73,0,0,0,-3482,0,-7039,0,1536,-55,1481,-5767,0,1203,-10122,2879,163,-111,2768,-3306,10024
61,2012,10904,3204,-427,77,0,-22,-444,-816,-65,377,1576,0,-1896,13284,-3964,0,-134,0,0,112,0,0,2893,-1093,0,-4024,0,3985,-5961,-1976,-6139,0,1729,-10410,2768,-113,1668,4436,-3964,9320
61,2013,11402,2982,-415,-225,0,1253,68,681,-307,346,308,0,-539,14873,-4008,0,-1145,0,-1726,0,0,0,584,-6295,0,-5986,0,5737,-3752,1985,-6519,0,3449,-7071,4436,4,1511,5947,-4008,10865
61,2014,11785,3141,87,8,0,1,-1557,-1461,-44,360,0,0,177,13958,-3848,0,-24,0,-829,24,0,0,577,-4100,0,-6005,0,7638,-4095,3543,-6911,0,2094,-7279,5930,39,2618,8548,-3848,10110
61,2015,7144,3134,349,313,0,928,-976,614,-803,337,2174,0,2008,14608,-3736,0,-1045,0,-3810,1203,0,0,4498,-2890,0,-4604,0,2138,-6092,-3954,-7287,0,2826,-13019,8548,-411,-1712,6836,-3736,10872
61,2016,10604,3078,35,116,0,1285,204,1640,-815,335,450,0,143,15435,-3314,0,-329,0,-2815,1447,0,0,-564,-5575,0,-5734,0,3916,-2631,1285,-7436,0,2672,-9213,6836,-381,266,7102,-3314,12121
61,2017,15411,2820,-322,71,0,-149,-43,-443,-601,351,0,0,-4785,12753,-3384,0,-491,0,-4869,1488,0,0,571,-6685,0,-5204,0,6330,-4931,1399,-7236,0,2473,-8568,8098,-29,-2529,5569,-3384,9369
61,2018,9861,2834,-177,-188,0,1385,2000,3020,-1844,395,0,0,601,14867,-3717,0,-109,0,-3909,3955,0,0,269,-3511,0,-7004,0,5072,-6310,-1238,-7310,0,1177,-14375,5569,19,-3000,2569,-3717,11150
61,2019,3966,2824,-276,-239,0,1856,-973,368,-411,515,8345,0,-365,15242,-3347,0,-3945,0,-220,3628,0,0,394,-3490,0,-5003,0,2367,-3184,-817,-7498,0,3324,-9994,2569,-88,1670,4239,-3347,11895
61,2020,13103,3013,634,-637,0,1923,-710,1210,-596,558,0,0,115,17403,-3073,0,-58,0,-5,6151,0,0,30,3045,0,-7405,0,20280,-15431,4849,-7789,0,1978,-8367,4239,-139,11942,16181,-3073,14330
61,2021,14352,2735,-342,-309,0,1391,-369,371,-258,540,0,0,631,18371,-2787,0,-34,0,-55,0,0,0,42,-2834,0,-11009,0,12092,-15995,-3903,-8263,0,1644,-21531,16181,101,-5893,10288,-2787,15584
61,2022,14793,2807,-694,-1247,0,1429,-635,-1147,-402,528,0,0,144,16723,-3156,0,-1381,0,0,3,0,0,110,-4424,0,-10003,0,15713,-13821,1892,-8770,0,2005,-14876,10288,-497,-3074,7214,-3156,13567
61,2023,14738,2714,-307,-119,0,313,-1107,-1220,-453,545,0,0,524,16848,-3062,0,-765,0,0,0,0,0,327,-3500,0,-7353,0,21165,-18228,2937,-8999,0,1269,-12146,7214,-170,1032,8246,-3062,13786
