enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
62,2005,4123,370,0,0,0,0,0,0,0,0,0,0,137,4630,-586,0,0,0,0,0,0,0,-923,-1509,0,0,0,0,0,0,0,0,0,-2601,-520,0,520,0,-586,4044
62,2006,5620,527,199,-441,0,-128,0,-370,-746,0,50,0,77,5158,-736,0,-4932,0,0,0,0,0,46,-5622,0,0,0,4121,-2,4119,-7682,0,599,-2964,4996,-359,-3787,1209,-736,4422
62,2007,6130,658,45,-1103,0,399,0,-659,223,0,82,0,-144,6290,-886,0,-4,520,0,0,0,0,-69,-439,0,0,0,0,-2511,-2511,-2780,0,-151,-5442,1289,87,496,1785,-886,5404
62,2008,6314,748,-828,-1277,0,505,0,-1600,-21,0,77,0,32,5550,-1072,0,-1519,87,0,0,0,0,-82,-2586,0,0,0,6322,-3381,2941,-6560,0,25,-3594,1785,346,-284,1501,-1072,4478
62,2009,7150,842,-25,-914,0,806,0,-133,5,0,-15,0,86,7935,-1099,0,-1663,0,0,0,0,0,-399,-3161,118,-5256,0,11892,-6185,5707,-5079,0,332,-4178,1501,-566,30,1531,-1099,6836
62,2010,6552,853,-187,660,0,79,0,552,129,0,-27,0,-175,7884,-715,0,-429,0,0,0,0,0,46,-1098,177,-5625,0,3233,-101,3132,-4327,0,-268,-6911,1531,134,9,1540,-715,7169
62,2011,7498,932,123,1071,0,-72,133,1255,101,0,-28,0,-321,9437,-713,0,-83,0,0,0,0,0,86,-710,229,-5030,0,1609,-671,938,-4423,0,-292,-8578,1540,14,163,1703,-713,8724
62,2012,8879,993,-251,-36,0,199,922,834,15,0,11,0,-203,10529,-897,0,-116,0,0,0,0,0,-19,-1032,75,-5372,0,4688,-2630,2058,-4788,0,-311,-8338,1703,-312,847,2550,-897,9632
62,2013,9154,898,-398,-728,0,10,455,-661,-248,0,26,0,252,9421,-1056,0,-6,0,0,0,0,0,70,-992,1,-6525,0,7634,-3457,4177,-5404,0,-349,-8100,2550,104,433,2983,-1056,8365
62,2014,8850,882,-449,-1413,0,103,1549,-210,-28,0,288,0,353,10135,-1200,0,-1418,0,0,0,0,0,-62,-2680,0,-5963,0,9181,-4686,4495,-5720,0,-1027,-8215,2983,-69,-829,2154,-1200,8935
62,2015,7658,889,-463,105,0,177,-737,-918,-62,0,175,0,-3,7739,-1153,0,-139,0,0,0,0,0,296,-996,0,-3833,0,6598,-3327,3271,-6035,0,-242,-6839,2154,-376,-472,1682,-1153,6586
62,2016,7032,754,647,-841,0,310,-50,66,-18,0,-164,0,195,7865,-960,0,-55,0,0,0,0,0,307,-708,0,-48,0,1539,-1495,44,-6250,0,1518,-4736,1682,-686,1735,3417,-960,6905
62,2017,7250,743,-1009,-695,0,373,1268,-63,182,0,-31,0,-4,8077,-1172,0,-41,0,0,0,0,0,379,-834,0,0,0,3536,-2405,1131,-6378,0,-166,-5413,3466,-965,865,4331,-1172,6905
62,2018,6341,875,-92,730,0,425,816,1879,-501,0,-10,0,328,8912,-1548,0,-111,0,0,0,0,0,-1424,-3083,0,0,0,8484,-4312,4172,-6520,0,-421,-2769,4331,1085,4145,8476,-1548,7364
62,2019,8286,989,53,-613,0,-51,775,164,-100,0,-3,0,142,9478,-1436,0,0,0,0,0,0,0,438,-998,0,0,0,255,-2484,-2229,-6885,0,-537,-9651,8476,-685,-1856,6620,-1436,8042
62,2020,7728,964,-331,-548,0,451,1183,755,-141,0,371,0,413,10090,-852,0,-1346,0,0,0,0,0,387,-1811,0,0,0,4808,-5351,-543,-7161,0,-357,-8061,6620,27,245,6865,-852,9238
62,2021,8592,981,26,-165,0,406,-139,128,-143,0,-14,0,268,9812,-602,0,0,0,0,0,0,0,-552,-1154,0,0,0,3803,-4159,-356,-7364,0,-776,-8496,6865,258,420,7285,-602,9210
62,2022,9710,998,-198,549,0,653,363,1367,-17,0,-22,0,-69,11967,-748,0,-2111,0,0,0,0,0,501,-2358,0,-775,0,0,-3042,-3042,-7580,0,-580,-11977,7285,-417,-2785,4500,-748,11219
62,2023,9527,1189,-871,-1287,0,719,1601,162,-234,0,-93,0,252,10803,-1077,0,-13976,0,0,0,0,0,-626,-15679,0,-209,0,21695,-7519,14176,-7812,0,-2349,3806,4500,-213,-1283,3217,-1077,9726
