enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
65,1994,226.193,208.852,0,0,0,0,0,-201.312,-532.308,0,0,0,1484.581,1186.006,-159.843,0,0,0,-4486.165,1307.397,0,0,-3995.326,-7333.937,0,0,461.434,1873.633,0,1873.633,-390.56,0,2503.959,4448.466,1143.03,1591.646,-107.819,1035.211,-159.843,1026.163
65,1995,865.734,248.093,0,0,0,0,0,-306.599,135.525,0,0,0,377.694,1320.447,-187.366,0,0,0,-2266.904,153.299,0,0,-4482.707,-6783.678,0,0,0,2380.952,0,2380.952,-393.987,0,3338.518,5325.483,1016.812,0,-137.748,879.064,-187.366,1133.081
65,1996,937.732,267.499,0,0,0,0,0,419.825,290.534,0,0,0,-927.33,988.26,-189.478,0,0,0,-20225.145,19537.078,0,0,-5028.236,-5905.781,0,-202.11,-202.199,148.61,-1293.654,-1145.044,-397.533,0,6808.678,4861.792,878.288,0,-55.729,822.559,-189.478,798.782
65,1997,1058.607,240.561,0,0,0,0,0,-264.33,158.459,0,0,0,-2896.041,-1702.744,-177.672,0,0,0,-25508.58,21761.116,0,0,-16756.675,-20681.811,0,-301.271,-175.494,74.08,0,74.08,-416.055,0,22970.756,22152.016,232.539,0,-232.539,0,-177.672,-1880.416
65,1998,1192.582,320.865,0,0,0,-1.422,1093.785,1092.363,141.343,0,0,0,156.472,2903.625,-211.304,0,0,0,-12747.176,18022.97,0,0,-10134.767,-5070.277,0,-93.01,0,1136.329,0,1136.329,-422.506,0,1889.855,2510.668,571.668,0,344.016,915.684,-211.304,2692.321
65,1999,1146.798,264,0,0,0,42.752,-3140.036,-3097.284,-42.052,0,0,0,-1095.656,-2824.194,-335.219,0,0,0,-10429.761,14376.781,0,0,-4985.042,-1373.241,0,11.587,189.585,323.633,-46.547,277.085,-428.414,0,4884.756,4934.599,821.867,0,737.164,1559.031,-335.219,-3159.413
65,2000,1167.949,310.656,0,0,0,329.575,-4505.515,-4175.94,-17.922,0,0,0,6026.935,3311.678,-172.255,0,0,0,-18661.295,10830.162,0,0,1191.846,-6811.542,0,-483.907,194.16,473.95,-83.638,390.312,-497.847,0,3931,3533.718,1630.946,0,33.854,1664.8,-172.255,3139.423
65,2001,1503.362,302.082,0,0,0,-286.978,-10169.091,-10456.069,-127.882,0,0,0,931.421,-7847.086,-186.284,0,0,0,-15675.04,20611.062,0,0,-7956.843,-3207.105,0,-396.735,0,793.469,-13.09,780.379,-522.602,0,10192.251,10053.293,1627.215,0,-1000.898,626.317,-186.284,-8033.37
65,2002,1533.835,428.141,0,0,0,-292.832,-6598.823,-6891.655,-105.016,0,0,0,451.366,-4583.329,-235.276,0,0,0,-28664.236,16893.39,0,0,-2450.702,-14456.824,0,-96.938,159.543,8050.867,-368.565,7682.302,-617.977,0,12450.419,19577.349,602.83,0,537.196,1140.026,-235.276,-4818.605
65,2003,1750.115,304.025,0,0,0,265.528,-4450.801,-4185.273,62.187,0,0,0,150.038,-1918.908,-265.528,0,0,0,-20971.773,20373.595,0,0,-2849.737,-3713.443,0,-674.184,0,2671.074,-317.844,2353.229,-699.849,0,5123.011,6102.207,1136.144,0,469.856,1606,-265.528,-2184.436
65,2004,2235.304,349.111,0,0,0,508.704,198.494,707.198,208.469,0,0,0,-10815.439,-7315.357,-295.248,0,0,0,-39332.763,35089.576,0,0,370.058,-4168.377,0,-999.453,0,2562.47,-75.807,2486.663,-868.786,0,11190.482,11808.906,1916.116,-57.853,267.319,2183.435,-295.248,-7610.605
65,2005,2424.413,365.707,0,0,0,-717.703,-1086.772,-1804.475,-41.703,0,0,243.003,361.696,1548.641,-352.073,0,0,351.271,-40830.059,45324.405,0,681.691,-17818.591,-12643.356,294.33,-906.247,0,2486.166,-1840.565,645.601,-1038.576,0,12774.08,11769.188,2315.342,-13.634,660.839,2976.181,-352.073,1196.568
65,2006,2919.144,394.089,0,0,0,-8.023,-28185.454,-28193.477,-409.377,0,0,80.686,130.797,-25078.138,-325.293,0,0,0,-30892.645,37420.588,0,1721.59,-14487.005,-6562.765,320.197,-233.565,142.687,679.463,-1200.951,-521.488,-1247.664,0,34379.989,32840.156,3151.859,-103.618,1095.635,4247.494,-325.293,-25403.431
65,2007,4215.33,426.23,0,0,0,-179.95,-17369.009,-17548.959,127.603,0,0,3.545,106.335,-12669.916,-452.813,0,-226.85,0,-28334.958,31665.928,0,124.058,-41705.804,-38930.439,319.008,-932.211,310.146,549.402,-844.484,-295.082,-1601.241,0,53338.946,51139.566,4431.547,-70.891,-531.68,3899.867,-452.813,-13122.729
65,2008,5630.905,543.112,0,0,0,1060.038,10897.149,11957.187,-150.326,0,98.421,0,1884.907,19964.206,-723.806,0,-382.407,0,-29764.464,27013.991,0,0,-33758.652,-37615.338,372.155,-798.647,1179.328,2366.416,-1013.486,1352.93,-2335.38,0,18041.74,17812.126,4511.706,-340.414,-179.42,4332.286,-723.502,19240.704
65,2009,3844.919,568.415,0,0,0,-2282.793,10359.354,8076.561,-383.679,0,0,0,-2456.365,9649.851,-1067.781,0,-822.149,0,-20987.691,36582.549,0,0,-51395.885,-37690.957,188.233,-110.577,263.906,1687.989,-18777.98,-17089.992,-2268.583,0,52103.813,33086.8,3566.801,745.029,5790.723,9357.524,-1067.807,8582.044
65,2010,5386.366,707.31,0,0,0,0,0,565.09,431.402,0,1386.176,-1804.305,347.019,7019.058,-653.266,0,-25.6,0,-28661.231,47038.968,0,4967.289,-7573.717,15092.443,16505.167,-14181.284,2038.494,0,-2899.403,-2899.403,-2601.688,0,-23307.1,-24445.814,10511.046,-256.945,-2591.258,7919.788,-653.266,6365.792
65,2011,5631.201,806.563,0,0,0,0,0,3982.709,116.907,0,491.207,-465.665,532.47,11095.392,-943.118,0,-80.558,0,-33981.727,47330.779,0,4039.69,-67032.126,-50667.06,6943.708,-6807.152,0,1473.622,-1357.697,115.925,-2882.405,0,43326.456,40696.532,8206.112,-165.046,959.818,9165.93,-943.118,10152.274
65,2012,6318.886,404.001,0,0,0,0,0,-4256.717,-121.592,0,535.399,-1741.518,3253.579,4392.038,-1423.809,0,-1274.76,431.457,-45966.856,52569.131,0,3410.473,-2644.636,5101,6200.235,-5961.953,0,1470.877,-999.216,471.661,-2973.132,0,-826.633,-3089.822,8372.231,74.524,6477.74,14849.971,-1423.809,2968.229
65,2013,7604.335,938.006,0,0,0,0,0,-11300.648,-206.645,0,725.284,0,571.313,-1668.355,-1337.115,0,-636.143,2711.71,-55737.439,56685.575,0,0,1605.551,3292.139,5480.146,-5329.214,0,21.272,-1019.044,-997.771,-3314.425,0,-93.193,-4254.457,15218.801,1.013,-2629.66,12589.141,-1337.115,-3005.47
65,2014,8049.793,985.236,0,0,0,0,0,-2964.393,-69.478,0,555.824,0,279.841,6836.823,-899.353,0,-2448.133,16.405,-39892.888,42435.588,0,0,1164.72,376.339,4536.331,-4802.663,-214.224,1974.332,-2019.685,-45.354,-3676.542,0,-90.706,-4293.158,11992.666,92.637,3012.641,15005.307,-899.353,5937.47
65,2015,8030.681,1046.2,0,0,0,0,0,3886.907,-184.624,0,0,0,754.55,13533.714,-1094.363,0,0,154.299,-49797.538,42838.031,0,0,570.816,-7328.755,5000.892,-4942.026,-468.248,1783.803,-1432.394,351.409,-3755.797,0,-899.038,-4712.808,13869.069,176.597,1668.748,15537.817,-1094.363,12439.351
65,2016,7669.829,953.182,0,0,0,0,0,9098.837,231.028,0,0,0,520.961,18473.837,-1022.797,0,0,195.073,-40732.864,33385.098,0,0,-11058.751,-19234.241,4801.867,-4781.212,784.119,764.994,-1380.814,-615.82,-3491.432,0,-86.445,-3388.923,13326.959,348.072,-3801.255,9525.704,-1022.797,17451.04
65,2017,7892.235,1166.704,0,0,0,0,0,10794.657,-361.482,0,0,0,775.036,20267.15,-948.608,0,-2236.812,478.454,-44134.028,33017.885,0,0,-2346.237,-16169.346,4114.406,-4243.453,913.893,2721.304,-1135.009,1586.295,-3771.036,0,-965.21,-2365.105,9397.028,136.593,1869.292,11266.32,-948.608,19318.542
65,2018,9097.327,1282.621,0,0,0,0,0,18886.333,161.022,0,0,0,496.549,29923.852,-1081.939,0,0,0,-48829.222,41465.852,0,0,-3816.133,-12261.442,3762.196,-6029.19,-237.963,0,-118.188,-118.188,-4211.153,0,-27.763,-6862.061,11841.834,-109.463,10690.886,22532.72,-1081.939,28841.913
65,2019,9559.366,1270.378,0,0,0,0,0,1395.724,352.968,0,0,0,858.968,13437.404,-1522.608,0,-49.985,10.766,-45590.588,43915.718,0,0,-2929.098,-6165.795,4467.856,-5573.67,-80.744,0,0,0,-4337.127,0,-412.95,-5936.635,21844.816,50.754,1385.728,23230.544,-1522.608,11914.796
65,2020,9758.89,1466.373,0,0,0,0,0,-1091.819,-393.51,0,0,0,1075.897,10815.831,-1714.307,0,-80.37,131.17,-54920.767,49569.338,0,0,-1420.882,-8435.818,4266.434,-4999.621,-454.925,1137.311,-1033.437,103.874,-4568.201,0,-1.515,-5653.954,22904.694,317.689,-2956.252,19948.442,-1714.307,9101.524
65,2021,8652.595,2003.329,0,0,0,0,0,91732.486,-443.335,0,0,0,3077.621,105022.696,-1988.954,0,-16.644,0,-113115.449,85705.856,0,0,-511.424,-29926.615,3667.726,-4287.335,179.301,2090.331,-2714.48,-624.149,-4791.194,0,-4.54,-5860.191,19904.676,803.45,70039.34,89944.016,-1988.954,103033.742
65,2022,12908.155,2084.607,0,0,0,0,0,34484.478,467.267,0,0,0,-850.088,49094.419,-1758.083,0,0,62.731,-99362.233,87602.541,0,0,-32666.88,-46121.924,3903.008,-3814.541,619.27,2211.678,-2521.313,-309.635,-5163.262,0,-2.413,-4767.573,95615.248,-2259.932,-4055.01,91560.238,-1758.083,47336.336
65,2023,11547.228,1937.322,0,0,0,0,0,1958.507,415.662,0,0,0,170.209,16028.928,-1826.284,0,-1724.012,0,-89826.868,72425.305,0,0,-20726.861,-41678.72,4036.087,-8128.424,433.925,7750.018,-599.752,7150.267,-5084.374,0,-3.653,-1596.172,83166.046,-3033.092,-30279.056,52886.99,-1826.284,14202.644
