enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
68,1999,350,9423,1972,1107,0,0,486,3565,0,0,0,0,1391,14729,-12859,0,-1282,362,-142,0,0,0,1421,-12500,0,0,0,3422,-1532,1890,0,0,-5472,-3582,4096,-26,-1379,2717,-12859,1870
68,2000,8584,6520,-5049,-2059,0,0,3066,-4042,0,0,0,0,-3,11059,-7409,0,-1024,549,-165,0,0,0,5026,-3023,0,0,0,1798,-2497,-699,0,0,-5557,-6256,2306,-43,1737,4043,-7409,3650
68,2001,12719,7885,-10007,-1268,0,0,9741,-1534,0,0,0,0,-711,18359,-6209,0,-1161,2283,0,0,0,0,3516,-1571,0,0,0,945,-4547,-3602,0,0,-5523,-9125,3843,-75,7588,11431,-6209,12150
68,2002,10852,6117,8519,1067,0,0,-7787,1799,0,0,0,0,-1835,16933,-9626,0,-1074,507,0,0,0,0,1085,-9108,0,0,0,180,-1909,-1729,0,0,-9833,-11562,10658,-251,-3988,6670,-9626,7307
68,2003,9722,8621,-5830,-2079,0,0,6989,-920,0,0,0,0,-1140,16283,-12102,0,-10214,501,0,0,0,0,1182,-20633,0,0,0,12325,-5610,6715,0,0,-6768,-53,5806,153,-4250,1556,-12102,4181
68,2004,12313,11711,1834,-236,0,0,-212,1386,0,0,0,0,-3691,21719,-12252,0,-983,708,0,0,0,0,4275,-8252,0,0,0,572,-5247,-4675,0,0,-7911,-12586,923,148,1029,1952,-12252,9467
68,2005,31659,12845.001,0,0,0,0,0,-5068.999,0,0,0,0,-17937.001,21498.001,-13566,5142,-1058.001,1316.001,0,1739,0,0,4652.998,-1774.002,0,-698,0,2052,-6380,-4328,-7391,0,-212.998,-12629.998,2106.999,0,7094.001,9201,-13566,7932.001
68,2006,26261,11981,0,0,0,0,0,-5664,-1515,0,0,0,-950,30113,-15904,2672,0,0,-705,5176,0,0,0,-8761,451,-4988,0,0,-1555,-1555,-12500,0,19,-18573,9201,-250,2529,11730,-15904,14209
68,2007,26311,12615,0,0,0,0,0,-4052,1833,0,0,0,-5011,31696,-22922,1611,0,0,-851,282,0,0,1019,-20861,493,-8047,0,2106,0,2106,-8142,0,-151,-13741,11730,178,-2728,9002,-22922,8774
68,2008,31926,13180,0,0,0,0,0,-6206,-773,0,0,0,-3666,34461,-24576,8566,0,0,-1852,1012,0,0,2280,-14570,876,-4387,0,1314,0,1314,-9001,0,-8195,-19393,9002,156,654,9656,-24576,9885
68,2009,26476,13656,-11160,8025,0,0,11070,7935,-1030,0,0,0,-3119,43918,-35065,4737,0,0,-1885,2286,0,0,1012,-28915,525,-3573,0,7716,-2890,4826,-9516,0,-1656,-9394,9656,-77,5532,15188,-35065,8853
68,2010,12718,14458,23679,-7138,0,0,-18872,-2331,-1925,0,0,0,-1432,21488,-26516,0,0,0,-2955,2853,0,0,384,-26234,27,0,0,19742,-9041,10701,-10717,0,-840,-829,15188,106,-5469,9719,-26516,-5028
68,2011,20474,15595,-11931,-2888,0,0,8890,-5929,14450,0,0,0,-17240,27350,-26940,3325,-2050,3591,-2050,6882,0,0,-4730,-21972,187,0,0,12496,-3240,9256,-9584,0,-1326,-1467,9719,-186,3725,13444,-26940,410
68,2012,31093,13228,-10109,-1930,0,0,5568,-6471,24869,0,0,0,-25948,36771,-26301,6990,-1886,468,-1886,468,0,0,1704,-20443,0,-2035,0,1249,-8373,-7124,-6877,0,-2095,-18131,13444,-349,-2152,11292,-26301,10470
68,2013,26960,14615,14145,-1746,0,0,-9008,3391,23063,0,0,0,-21889,46140,-32576,6346,-3028,698,0,0,0,0,107,-28453,0,-1526,0,5108,-5125,-17,-7390,0,-1697,-10630,11292,201,7258,18550,-32576,13564
68,2014,16526,21509,5648,608,0,0,-3268,2988,15881,0,0,0,-16464,40440,-39975,1212,-1538,538,0,0,0,0,-383,-40146,0,-5565,0,12272,-6877,5395,-7198,0,-1610,-8978,18550,-170,-8854,9696,-39975,465
68,2015,14730,24499,-1541,7958,0,0,-12,6405,12037,0,0,0,-12627,45044,-31676,9873,-1426,4163,0,0,0,0,-591,-19657,0,-3096,0,7778,-7421,357,-9444,0,-607,-12790,9696,-686,11911,21607,-31676,13368
68,2016,2200,26714,9852,2827,0,0,-7158,5521,1231,0,0,0,-5856,29810,-26131,4720,-896,276,0,0,0,0,-376,-22407,0,-448,0,21500,-6609,14891,-9370,0,-1261,3812,21607,-1070,10145,31752,-26131,3679
68,2017,4777,24993,-4127,-5658,0,0,1359,-8426,1143,0,0,0,-1872,20615,-22116,2072,-12751,1565,0,0,0,0,267,-30963,0,-160,0,18144,-7070,11074,-9677,0,-2008,-771,31752,-1503,-12622,19130,-22116,-1501
68,2018,18130,26223,-2577,-2079,0,0,2406,-2250,2673,0,0,0,-9126,35650,-20845,8808,-595,2177,-93,2636,0,0,-117,-8029,0,-717,0,760,-12589,-11829,-10877,0,-3663,-27086,19130,647,1182,20312,-20845,14805
68,2019,35621,22135,1955,2823,0,0,-1336,3442,10694,0,0,0,-18807,53085,-23011,4366,-880,1594,-187,4505,0,0,-46,-13659,0,-5062,0,3977,-12308,-8331,-15675,0,-3480,-32548,20312,-449,6429,26741,-23011,30074
68,2020,25485,28701,-921,-2635,0,0,-1223,-4779,0,0,0,0,-7229,42178,-22971,4803,-743,2599,-205,469,0,0,269,-15779,0,-11362,0,11185,-14600,-3415,-15198,0,-5234,-35209,26741,124,-8686,18055,-22971,19207
68,2021,-26967,52444,9625,4477,0,0,-9494,4608,0,0,0,0,4020,34105,-16585,2489,-1024,1240,-218,281,0,0,539,-13278,0,-2084,0,23033,-17448,5585,-7424,0,-3301,-7224,18055,172,13775,31830,-16585,17520
68,2022,29829,26921,-20567,-7319,0,0,17519,-10367,0,0,0,0,-1279,45104,-19000,14233,-479,584,-218,296,0,0,-177,-4761,0,-3174,0,1805,-21534,-19729,-6253,0,-5508,-34664,31830,-539,5140,36970,-19000,26104
68,2023,64815,18529,-8989,-8360,0,0,11915,-5434,0,0,0,0,-9496,68414,-22600,1431,-1973,511,-260,117,0,0,326,-22448,0,-19030,0,587,-8459,-7872,-7405,0,-7647,-41954,36970,-736,3276,40246,-22600,45814
